Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Augsburg,28,26.2,38.1,34,374,3060,34.0,45,29,42,3,5,68,2,1.32,0.85,2.18,1.24,2.09,42.1,38.2,26.2,64.4,1.24,0.77,2.01,1.12,1.90
Bayern Munich,29,26.7,65.6,34,374,3060,34.0,97,75,91,6,6,54,3,2.85,2.21,5.06,2.68,4.88,82.3,77.8,64.2,142.0,2.42,1.89,4.31,2.29,4.18
Dortmund,27,25.8,61.0,34,374,3060,34.0,84,74,82,2,2,49,1,2.47,2.18,4.65,2.41,4.59,59.2,57.9,47.1,105.1,1.74,1.39,3.13,1.70,3.09
Düsseldorf,28,27.1,45.4,34,374,3060,34.0,36,26,32,4,4,78,0,1.06,0.76,1.82,0.94,1.71,33.0,30.0,21.8,51.8,0.97,0.64,1.61,0.88,1.52
Eint Frankfurt,27,27.0,51.0,34,374,3060,34.0,57,45,55,2,2,71,4,1.68,1.32,3.00,1.62,2.94,52.5,51.0,38.3,89.4,1.54,1.13,2.67,1.50,2.63
Freiburg,26,26.4,47.9,34,374,3060,34.0,46,27,41,5,6,43,2,1.35,0.79,2.15,1.21,2.00,41.7,37.2,27.7,64.9,1.23,0.81,2.04,1.09,1.91
Hertha BSC,32,26.2,44.7,34,374,3060,34.0,46,35,43,3,3,77,4,1.35,1.03,2.38,1.26,2.29,40.6,38.3,29.3,67.7,1.19,0.86,2.06,1.13,1.99
Hoffenheim,31,26.0,51.9,34,374,3060,34.0,52,36,49,3,4,66,2,1.53,1.06,2.59,1.44,2.50,49.9,46.9,33.6,80.5,1.47,0.99,2.46,1.38,2.37
Köln,29,25.6,46.7,34,374,3060,34.0,50,38,48,2,4,79,4,1.47,1.12,2.59,1.41,2.53,47.2,44.5,31.9,76.4,1.39,0.94,2.33,1.31,2.25
Leverkusen,24,26.1,63.8,34,374,3060,34.0,57,48,55,2,2,61,6,1.68,1.41,3.09,1.62,3.03,56.6,55.1,45.0,100.2,1.67,1.32,2.99,1.62,2.95
M'Gladbach,25,26.3,52.4,34,374,3060,34.0,64,53,60,4,6,77,3,1.88,1.56,3.44,1.76,3.32,66.4,61.7,49.4,111.2,1.95,1.45,3.41,1.82,3.27
Mainz 05,25,24.6,43.2,34,374,3060,34.0,42,34,39,3,3,75,3,1.24,1.00,2.24,1.15,2.15,44.3,42.2,32.0,74.1,1.30,0.94,2.24,1.24,2.18
Paderborn 07,27,25.7,45.7,34,374,3060,34.0,37,26,35,2,4,84,3,1.09,0.76,1.85,1.03,1.79,38.4,35.4,24.1,59.5,1.13,0.71,1.84,1.04,1.75
RB Leipzig,29,24.2,55.5,34,374,3060,34.0,81,58,76,5,5,53,3,2.38,1.71,4.09,2.24,3.94,71.0,67.4,52.4,119.8,2.09,1.54,3.63,1.98,3.52
Schalke 04,29,24.6,49.0,34,374,3060,34.0,35,25,33,2,2,64,2,1.03,0.74,1.76,0.97,1.71,35.4,33.8,25.0,58.8,1.04,0.73,1.77,1.00,1.73
Union Berlin,26,27.7,41.8,34,374,3060,34.0,38,27,34,4,5,71,5,1.12,0.79,1.91,1.00,1.79,38.3,34.5,25.0,59.5,1.13,0.73,1.86,1.02,1.75
Werder Bremen,30,26.7,48.8,34,374,3060,34.0,40,30,37,3,6,80,4,1.18,0.88,2.06,1.09,1.97,41.4,36.9,27.5,64.4,1.22,0.81,2.03,1.09,1.89
Wolfsburg,26,26.0,48.3,34,374,3060,34.0,48,33,44,4,4,71,4,1.41,0.97,2.38,1.29,2.26,47.3,44.3,34.1,78.5,1.39,1.00,2.40,1.30,2.31
