Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Alavés,30,38.0,9509,13607,69.9,194777,80853,3832,4780,80.2,3923,5048,77.7,1612,3319,48.6,31,25.8,+5.2,265,813,194,69,896
Athletic Club,26,38.0,12929,17255,74.9,277959,100048,4563,5651,80.7,5744,6953,82.6,2495,4198,59.4,25,29.8,-4.8,311,1156,313,108,1250
Atlético Madrid,26,38.0,14327,18372,78.0,265300,95225,6491,7560,85.9,5741,6855,83.7,1856,3372,55.0,41,33.6,+7.4,299,1125,277,48,1279
Barcelona,25,38.0,21631,25109,86.1,396655,122195,9476,10512,90.1,9264,10287,90.1,2611,3632,71.9,74,60.0,+14.0,417,1751,514,51,1850
Betis,29,38.0,17551,21171,82.9,343320,105508,6743,7688,87.7,8263,9309,88.8,2384,3738,63.8,43,32.7,+10.3,312,1244,241,62,1245
Celta Vigo,23,38.0,16787,20791,80.7,335823,106319,6264,7252,86.4,7799,8929,87.3,2544,4119,61.8,45,37.5,+7.5,315,1158,315,95,1356
Eibar,27,38.0,12660,17789,71.2,280893,98783,4504,5667,79.5,5254,6648,79.0,2746,4959,55.4,31,25.5,+5.5,330,1233,281,123,1201
Espanyol,25,38.0,12572,16990,74.0,250057,89281,5091,6133,83.0,5299,6435,82.3,2007,3876,51.8,24,29.5,-5.5,294,955,237,97,1033
Getafe,32,38.0,8542,13131,65.1,182481,79577,3391,4401,77.1,3254,4486,72.5,1717,3720,46.2,27,25.6,+1.4,255,826,272,69,974
Girona,25,38.0,11643,15769,73.8,249918,88622,4263,5184,82.2,4955,6069,81.6,2290,4123,55.5,31,30.1,+0.9,328,972,235,103,1038
La Coruña,32,38.0,12495,16654,75.0,251740,91337,5069,6098,83.1,5218,6431,81.1,2078,3725,55.8,30,34.3,-4.3,327,1020,280,91,1170
Las Palmas,36,38.0,15464,19316,80.1,290495,100477,6709,7709,87.0,6475,7575,85.5,2033,3489,58.3,15,23.4,-8.4,295,1034,249,68,1114
Leganés,28,38.0,10262,14694,69.8,206919,84543,4338,5370,80.8,4087,5265,77.6,1698,3599,47.2,23,27.3,-4.3,289,876,201,77,969
Levante,33,38.0,10603,14519,73.0,217347,87464,4189,5116,81.9,4454,5544,80.3,1812,3406,53.2,28,28.3,-0.3,296,914,294,92,1120
Málaga,37,38.0,11280,15611,72.3,230483,90093,4547,5546,82.0,4633,5850,79.2,1931,3732,51.7,15,20.9,-5.9,281,927,218,90,983
Real Madrid,24,38.0,20387,23846,85.5,380024,119102,9225,10148,90.9,8244,9242,89.2,2663,3867,68.9,65,58.1,+6.9,544,1767,556,146,1797
Real Sociedad,27,38.0,16684,20463,81.5,333953,106359,6200,7096,87.4,7677,8742,87.8,2593,4067,63.8,47,38.3,+8.7,380,1270,336,119,1307
Sevilla,31,38.0,15991,20152,79.4,301315,108077,6803,7899,86.1,6991,8226,85.0,2009,3481,57.7,35,39.4,-4.4,388,1310,351,78,1554
Valencia,25,38.0,13926,17595,79.1,280942,97873,5125,6090,84.2,6616,7689,86.0,2050,3431,59.7,45,38.7,+6.3,357,1168,308,70,1372
Villarreal,32,38.0,14755,18568,79.5,289585,101331,5897,6813,86.6,6544,7716,84.8,2160,3585,60.3,45,37.7,+7.3,373,1079,258,75,1232
