Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Angers,31,38.0,15128,18713,80.8,289965,100913,6448,7190,89.7,6269,7187,87.2,2168,3690,58.8,23,27.4,-4.4,286,956,240,62,1203
Bordeaux,28,38.0,16031,19434,82.5,315078,102148,6502,7244,89.8,6861,7779,88.2,2394,3730,64.2,32,30.2,+1.8,308,902,200,64,995
Brest,26,38.0,15584,19278,80.8,319837,105090,5645,6480,87.1,6966,7959,87.5,2682,4136,64.8,31,33.7,-2.7,339,1060,306,115,1219
Dijon,33,38.0,14134,17866,79.1,281152,97095,5457,6246,87.4,6161,7148,86.2,2262,3836,59.0,15,20.3,-5.3,252,877,195,55,1036
Lens,27,38.0,15307,18909,81.0,308556,97897,5725,6569,87.2,6915,7912,87.4,2420,3774,64.1,35,34.7,+0.3,321,1103,278,95,1399
Lille,21,38.0,18028,21792,82.7,344587,108204,7593,8448,89.9,7616,8655,88.0,2484,3920,63.4,39,36.1,+2.9,358,1482,271,64,1527
Lorient,27,38.0,13405,17012,78.8,261419,90023,5452,6194,88.0,5710,6643,86.0,2002,3524,56.8,26,31.2,-5.2,286,853,200,59,1040
Lyon,29,38.0,17819,21299,83.7,341108,114598,7383,8248,89.5,7564,8601,87.9,2531,3681,68.8,46,55.0,-9.0,443,1391,423,76,1739
Marseille,31,38.0,16646,20480,81.3,317553,103496,7071,7962,88.8,6968,7949,87.7,2266,3781,59.9,45,34.5,+10.5,286,1153,235,55,1231
Metz,27,38.0,13269,16773,79.1,269761,90255,5103,5815,87.8,5788,6716,86.2,2173,3713,58.5,28,25.6,+2.4,308,880,203,66,963
Monaco,30,38.0,17905,21885,81.8,358194,108452,6464,7359,87.8,8383,9500,88.2,2706,4241,63.8,52,44.7,+7.3,369,1321,376,81,1521
Montpellier,25,38.0,12879,16555,77.8,277225,103048,4619,5382,85.8,5372,6350,84.6,2666,4188,63.7,42,30.7,+11.3,324,974,269,111,1151
Nantes,25,38.0,12440,16380,75.9,241957,86586,5109,5919,86.3,5282,6392,82.6,1784,3397,52.5,28,26.7,+1.3,276,1048,188,56,1101
Nice,31,38.0,18220,21525,84.6,343395,101213,7444,8261,90.1,8193,9051,90.5,2258,3495,64.6,26,26.3,-0.3,270,1166,248,71,1275
Nîmes,33,38.0,12874,16683,77.2,268417,89948,4714,5464,86.3,5563,6510,85.5,2323,4030,57.6,26,27.3,-1.3,270,843,220,61,1029
Paris S-G,33,38.0,23091,26067,88.6,401344,121576,11157,11962,93.3,9227,10116,91.2,2279,3183,71.6,52,54.6,-2.6,407,1751,448,93,1685
Reims,29,38.0,13704,17171,79.8,285192,90059,4818,5534,87.1,6293,7189,87.5,2390,3931,60.8,23,20.9,+2.1,270,865,205,57,1048
Rennes,32,38.0,20158,23827,84.6,387811,119220,8259,9195,89.8,8740,9714,90.0,2845,4166,68.3,39,37.5,+1.5,376,1496,322,87,1567
Saint-Étienne,40,38.0,13803,17582,78.5,271870,93542,5690,6516,87.3,5620,6589,85.3,2198,3766,58.4,28,30.8,-2.8,331,868,250,87,1015
Strasbourg,26,38.0,13300,17085,77.8,291033,102116,4595,5378,85.4,5725,6647,86.1,2762,4421,62.5,26,30.0,-4.0,263,1001,259,101,1087
