Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Alavés,32,38.0,9724,13753,70.7,207059,86512,3828,4695,81.5,3894,4960,78.5,1814,3529,51.4,20,23.5,-3.5,220,751,177,50,858
Athletic Club,26,38.0,12589,16607,75.8,263278,92587,4837,5640,85.8,5222,6296,82.9,2312,4050,57.1,23,23.6,-0.6,274,929,223,80,1028
Atlético Madrid,30,38.0,13709,17595,77.9,257089,96920,6091,6947,87.7,5362,6383,84.0,1871,3468,54.0,35,34.4,+0.6,329,1037,302,59,1287
Barcelona,28,38.0,24981,28212,88.5,447366,126905,11376,12316,92.4,10305,11200,92.0,2786,3644,76.5,62,48.2,+14.8,383,1884,439,51,1665
Betis,27,38.0,16291,19618,83.0,318743,95412,6579,7296,90.2,6841,7658,89.3,2509,3828,65.5,35,32.3,+2.7,348,977,340,88,1093
Celta Vigo,30,38.0,14692,18402,79.8,281402,92477,6073,6887,88.2,6253,7223,86.6,2037,3484,58.5,26,24.9,+1.1,271,932,255,52,1090
Eibar,26,38.0,10623,15315,69.4,232440,87898,3962,4793,82.7,4288,5458,78.6,2181,4486,48.6,24,23.7,+0.3,276,1036,248,102,1071
Espanyol,31,38.0,12032,16181,74.4,249539,88549,4368,5135,85.1,5453,6555,83.2,2015,3897,51.7,17,22.7,-5.7,275,950,246,79,1072
Getafe,30,38.0,8444,13358,63.2,181592,80569,3346,4341,77.1,3093,4354,71.0,1759,3913,45.0,31,25.6,+5.4,274,928,278,124,1069
Granada,27,38.0,9933,13965,71.1,216931,83075,3584,4367,82.1,4181,5192,80.5,1994,3817,52.2,34,24.9,+9.1,256,791,185,71,900
Leganés,29,38.0,10467,14585,71.8,211269,84034,4453,5225,85.2,3997,4991,80.1,1776,3721,47.7,19,23.8,-4.8,275,879,231,97,954
Levante,29,38.0,12463,16087,77.5,247502,91418,5271,5951,88.6,4931,5823,84.7,2044,3684,55.5,28,29.7,-1.7,311,892,249,77,1141
Mallorca,32,38.0,11932,15603,76.5,229905,87464,5139,5914,86.9,4684,5668,82.6,1794,3295,54.4,21,22.2,-1.2,294,822,224,80,936
Osasuna,31,38.0,11102,15680,70.8,233616,91815,4331,5242,82.6,4464,5730,77.9,2107,4051,52.0,26,29.0,-3.0,324,941,277,102,1154
Real Madrid,26,38.0,20329,23814,85.4,387839,114280,9087,9873,92.0,7796,8690,89.7,3072,4384,70.1,52,44.1,+7.9,434,1453,437,104,1479
Real Sociedad,27,38.0,16055,19938,80.5,314338,100328,6069,6985,86.9,7563,8650,87.4,2170,3584,60.5,38,32.6,+5.4,320,1085,340,92,1327
Sevilla,26,38.0,17667,21508,82.1,358713,109972,6788,7605,89.3,7656,8760,87.4,2937,4403,66.7,35,32.5,+2.5,352,1265,373,123,1397
Valencia,28,38.0,14565,18059,80.7,296827,95694,5483,6173,88.8,6518,7423,87.8,2341,3926,59.6,34,29.1,+4.9,254,1015,282,70,1151
Valladolid,30,38.0,11236,15246,73.7,230593,81657,4424,5173,85.5,4680,5634,83.1,1943,3822,50.8,19,22.4,-3.4,254,822,166,60,872
Villarreal,25,38.0,16361,19925,82.1,335324,104151,6123,6861,89.2,7166,8104,88.4,2848,4344,65.6,40,37.0,+3.0,349,1162,300,89,1226
