Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atalanta,30,38.0,18078,21650,83.5,337955,106300,7764,8604,90.2,7753,8778,88.3,2263,3514,64.4,68,53.5,+14.5,527,1296,478,111,1588
Bologna,31,38.0,14641,18276,80.1,283464,97450,5892,6697,88.0,6331,7356,86.1,2124,3490,60.9,31,36.3,-5.3,411,1183,303,73,1370
Brescia,32,38.0,11010,14650,75.2,220206,83491,4297,5040,85.3,4734,5713,82.9,1748,3214,54.4,22,25.4,-3.4,283,796,280,74,1144
Cagliari,33,38.0,13303,16870,78.9,270737,91739,5074,5728,88.6,5734,6727,85.2,2286,3827,59.7,34,28.5,+5.5,331,955,256,87,1074
Fiorentina,33,38.0,13792,17131,80.5,272633,92080,5326,6006,88.7,6097,6972,87.4,2093,3464,60.4,30,35.7,-5.7,420,1009,315,91,1190
Genoa,34,38.0,14405,18085,79.7,283053,96521,5638,6353,88.7,6350,7336,86.6,2130,3654,58.3,28,25.6,+2.4,291,959,297,100,1143
Hellas Verona,30,38.0,13381,17453,76.7,260984,89961,5434,6292,86.4,5690,6785,83.9,1976,3636,54.3,27,31.7,-4.7,326,1029,332,75,1314
Inter,29,38.0,17321,20754,83.5,346229,107736,6499,7221,90.0,7794,8865,87.9,2723,3896,69.9,57,45.7,+11.3,453,1280,423,101,1578
Juventus,30,38.0,20306,23375,86.9,373063,113674,8926,9628,92.7,8394,9223,91.0,2549,3616,70.5,47,43.9,+3.1,495,1556,367,79,1511
Lazio,27,38.0,16035,19310,83.0,315961,102766,6308,7058,89.4,6750,7658,88.1,2554,3756,68.0,45,42.2,+2.8,426,1262,409,99,1458
Lecce,30,38.0,13757,17086,80.5,277636,94291,5220,5877,88.8,5964,6859,87.0,2306,3663,63.0,30,31.1,-1.1,380,887,348,131,1158
Milan,32,38.0,17281,20763,83.2,331938,107746,7079,7943,89.1,7539,8451,89.2,2339,3634,64.4,38,41.9,-3.9,469,1281,408,99,1489
Napoli,25,38.0,21244,24509,86.7,389911,114988,9381,10155,92.4,8870,9772,90.8,2607,3720,70.1,45,47.5,-2.5,537,1647,441,96,1689
Parma,25,38.0,12330,15701,78.5,265390,94529,4254,4916,86.5,5368,6295,85.3,2462,3890,63.3,38,31.1,+6.9,327,888,238,52,1124
Roma,31,38.0,16108,19367,83.2,328727,101263,5681,6399,88.8,7654,8548,89.5,2582,3824,67.5,47,47.3,-0.3,471,1164,357,84,1317
Sampdoria,31,38.0,12022,15816,76.0,238335,86889,4839,5576,86.8,5000,6011,83.2,1916,3554,53.9,25,30.2,-5.2,388,933,301,110,1135
Sassuolo,31,38.0,18697,21783,85.8,332665,101032,8668,9478,91.5,7860,8667,90.7,1870,2946,63.5,49,39.4,+9.6,404,1207,319,45,1266
SPAL,34,38.0,13452,16904,79.6,259666,93584,5691,6353,89.6,5573,6523,85.4,1964,3400,57.8,17,23.1,-6.1,335,932,235,71,1075
Torino,27,38.0,12628,16200,78.0,260740,88045,4930,5629,87.6,5174,6107,84.7,2303,3838,60.0,29,26.6,+2.4,317,811,298,123,968
Udinese,25,38.0,13535,17002,79.6,266040,92903,5419,6062,89.4,5815,6801,85.5,2043,3464,59.0,26,30.5,-4.5,362,923,288,106,1130
