Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Amiens,26,26.5,38,3420,90,100,38.0,418,85,307,106,18,160,1.00,31,52,-21,-0.55,34.6,46.4,-11.8,-0.31
Angers,24,28.0,38,3420,90,100,38.0,418,84,304,110,20,155,1.21,44,49,-5,-0.13,47.7,46.9,+0.7,+0.02
Bordeaux,33,25.3,38,3420,90,100,38.0,418,84,303,110,22,156,1.08,34,42,-8,-0.21,40.3,53.2,-12.8,-0.34
Caen,26,25.8,38,3420,90,100,38.0,418,83,301,113,23,153,0.87,29,54,-25,-0.66,31.1,57.6,-26.5,-0.70
Dijon,26,27.1,38,3420,90,100,38.0,418,84,299,112,20,154,0.89,31,60,-29,-0.76,39.5,61.0,-21.5,-0.57
Guingamp,30,26.0,38,3420,90,100,38.0,418,84,306,107,22,158,0.71,28,68,-40,-1.05,39.9,50.1,-10.2,-0.27
Lille,25,24.1,38,3420,90,100,38.0,418,86,302,112,16,154,1.97,68,33,+35,+0.92,58.4,42.8,+15.6,+0.41
Lyon,25,24.4,38,3420,90,100,38.0,418,85,309,108,20,158,1.89,70,47,+23,+0.61,73.8,42.2,+31.6,+0.83
Marseille,24,26.9,38,3420,90,100,38.0,418,85,301,110,18,156,1.61,60,52,+8,+0.21,52.6,46.2,+6.4,+0.17
Monaco,42,25.6,38,3420,90,100,38.0,418,84,312,102,22,163,0.95,38,57,-19,-0.50,48.7,47.2,+1.6,+0.04
Montpellier,25,28.0,38,3420,90,100,38.0,418,85,308,107,17,156,1.55,53,42,+11,+0.29,45.2,43.2,+2.0,+0.05
Nantes,33,25.9,38,3420,90,100,38.0,418,86,300,112,15,154,1.26,48,48,0,0.00,47.7,47.9,-0.2,-0.01
Nice,30,24.2,38,3420,90,100,38.0,418,85,307,109,19,157,1.47,30,35,-5,-0.13,44.2,49.0,-4.8,-0.13
Nîmes,23,24.1,38,3420,90,100,38.0,418,85,302,111,19,155,1.39,57,58,-1,-0.03,47.9,55.8,-7.9,-0.21
Paris S-G,30,26.2,38,3420,90,100,38.0,418,84,305,109,21,140,2.39,105,35,+70,+1.84,91.0,35.8,+55.2,+1.45
Reims,27,26.2,38,3420,90,100,38.0,418,85,304,112,20,154,1.45,39,42,-3,-0.08,40.6,44.9,-4.3,-0.11
Rennes,28,25.7,38,3420,90,100,38.0,418,85,311,105,21,161,1.37,55,52,+3,+0.08,52.2,48.7,+3.5,+0.09
Saint-Étienne,29,27.8,38,3420,90,100,38.0,418,84,298,113,19,151,1.74,59,41,+18,+0.47,55.8,50.3,+5.5,+0.14
Strasbourg,26,26.2,38,3420,90,100,38.0,418,86,307,109,17,156,1.29,58,48,+10,+0.26,42.2,49.6,-7.4,-0.20
Toulouse,29,25.5,38,3420,90,100,38.0,418,84,312,102,21,163,1.00,35,57,-22,-0.58,44.0,58.6,-14.6,-0.38
