Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Angers,31,27.9,38,3420,90,100,38.0,418,81,247,170,21,168,1.16,40,58,-18,-0.47,41.7,50.9,-9.1,-0.24
Bordeaux,28,27.6,38,3420,90,100,38.0,418,81,245,169,22,172,1.18,42,56,-14,-0.37,41.9,56.7,-14.8,-0.39
Brest,26,24.9,38,3420,90,100,38.0,418,84,269,146,17,194,1.08,50,66,-16,-0.42,47.5,55.6,-8.2,-0.21
Dijon,33,25.7,38,3420,90,100,38.0,418,82,265,150,21,179,0.55,25,73,-48,-1.26,31.5,75.3,-43.8,-1.15
Lens,27,26.4,38,3420,90,100,38.0,418,83,249,164,18,178,1.50,55,54,+1,+0.03,56.0,47.6,+8.4,+0.22
Lille,21,25.4,38,3420,90,100,38.0,418,83,247,169,18,170,2.18,64,23,+41,+1.08,50.0,26.7,+23.4,+0.61
Lorient,27,26.8,38,3420,90,100,38.0,418,82,253,163,19,179,1.11,50,68,-18,-0.47,48.8,53.1,-4.3,-0.11
Lyon,29,25.8,38,3420,90,100,38.0,418,81,237,175,20,161,2.00,81,43,+38,+1.00,84.6,43.2,+41.4,+1.09
Marseille,31,27.2,38,3420,90,100,38.0,418,82,258,153,21,188,1.58,54,47,+7,+0.18,47.5,46.0,+1.5,+0.04
Metz,27,25.7,38,3420,90,100,38.0,418,83,281,133,22,205,1.24,44,48,-4,-0.11,41.3,49.3,-8.1,-0.21
Monaco,30,24.8,38,3420,90,100,38.0,418,81,235,180,21,160,2.05,76,42,+34,+0.89,66.9,33.1,+33.8,+0.89
Montpellier,25,28.0,38,3420,90,100,38.0,418,82,249,162,18,177,1.42,60,62,-2,-0.05,47.9,65.7,-17.8,-0.47
Nantes,25,25.8,40,3420,86,100,38.0,418,83,275,139,19,202,1.05,47,55,-8,-0.21,48.9,55.8,-6.9,-0.18
Nice,31,23.5,38,3420,90,100,38.0,418,83,277,137,21,196,1.37,50,53,-3,-0.08,46.9,52.1,-5.1,-0.14
Nîmes,33,25.8,38,3420,90,100,38.0,418,83,269,148,19,190,0.92,40,71,-31,-0.82,41.4,64.9,-23.5,-0.62
Paris S-G,33,26.7,38,3420,90,100,38.0,418,82,254,160,20,179,2.16,86,28,+58,+1.53,82.4,37.3,+45.1,+1.19
Reims,29,24.6,38,3420,90,100,38.0,418,82,266,145,21,195,1.11,42,50,-8,-0.21,33.3,61.1,-27.7,-0.73
Rennes,32,25.5,38,3420,90,100,38.0,418,82,259,154,20,187,1.53,52,40,+12,+0.32,50.0,40.0,+9.9,+0.26
Saint-Étienne,40,25.4,38,3420,90,100,38.0,418,80,242,176,23,164,1.21,42,54,-12,-0.32,48.2,48.5,-0.3,-0.01
Strasbourg,26,26.8,38,3420,90,100,38.0,418,84,271,144,17,196,1.11,49,58,-9,-0.24,52.6,46.6,+6.0,+0.16
