Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,28,26.7,38,3420,90,100,38.0,418,83,,113,26,153,1.84,73,51,+22,+0.58,59.1,53.8,+5.3,+0.14
Bournemouth,28,26.6,38,3420,90,100,38.0,418,86,,104,17,162,1.18,56,70,-14,-0.37,54.4,55.9,-1.5,-0.04
Brighton,21,27.4,38,3420,90,100,38.0,418,84,,99,22,167,0.95,35,60,-25,-0.66,34.5,56.5,-22.0,-0.58
Burnley,23,28.0,38,3420,90,100,38.0,418,86,,86,18,180,1.05,45,68,-23,-0.61,41.1,63.7,-22.6,-0.59
Cardiff City,25,27.7,38,3420,90,100,38.0,418,85,,109,18,157,0.89,34,69,-35,-0.92,39.5,62.0,-22.4,-0.59
Chelsea,24,27.3,38,3420,90,100,38.0,418,85,,113,20,153,1.89,63,39,+24,+0.63,59.3,35.4,+23.9,+0.63
Crystal Palace,26,27.4,38,3420,90,100,38.0,418,87,,92,14,174,1.29,51,53,-2,-0.05,50.7,49.0,+1.7,+0.05
Everton,23,25.7,38,3420,90,100,38.0,418,85,,111,16,155,1.42,54,46,+8,+0.21,48.2,47.4,+0.8,+0.02
Fulham,28,26.0,38,3420,90,100,38.0,418,84,,108,22,158,0.68,34,81,-47,-1.24,38.8,65.3,-26.5,-0.70
Huddersfield,31,26.2,38,3420,90,100,38.0,418,84,,107,22,159,0.42,22,76,-54,-1.42,28.9,63.4,-34.5,-0.91
Leicester City,25,25.9,38,3420,90,100,38.0,418,85,,111,18,155,1.37,51,48,+3,+0.08,49.6,45.5,+4.1,+0.11
Liverpool,23,26.1,38,3420,90,100,38.0,418,86,,109,15,157,2.55,89,22,+67,+1.76,75.3,30.8,+44.4,+1.17
Manchester City,21,26.7,38,3420,90,100,38.0,418,86,,108,17,158,2.58,95,23,+72,+1.89,84.5,25.3,+59.1,+1.56
Manchester Utd,28,26.3,38,3420,90,100,38.0,418,85,,112,20,154,1.74,65,54,+11,+0.29,58.4,46.6,+11.8,+0.31
Newcastle Utd,24,26.9,38,3420,90,100,38.0,418,86,,99,17,167,1.18,42,48,-6,-0.16,39.1,53.2,-14.1,-0.37
Southampton,30,25.4,38,3420,90,100,38.0,418,85,,107,20,159,1.03,45,65,-20,-0.53,47.2,55.4,-8.2,-0.22
Tottenham,28,26.8,38,3420,90,100,38.0,418,86,,106,15,160,1.87,67,39,+28,+0.74,58.3,45.4,+12.8,+0.34
Watford,25,28.5,38,3420,90,100,38.0,418,85,,103,18,163,1.32,52,59,-7,-0.18,47.6,54.9,-7.3,-0.19
West Ham,26,27.6,38,3420,90,100,38.0,418,84,,113,23,152,1.37,52,55,-3,-0.08,46.9,61.3,-14.4,-0.38
Wolves,21,26.1,38,3420,90,100,38.0,418,85,,110,17,156,1.50,47,46,+1,+0.03,48.7,39.2,+9.5,+0.25
