Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,30,27.3,38,3420,90,100,38.0,418,80,240,176,23,253,2.05,90,47,+43,+1.13,77.2,42.3,+34.9,+0.92
Benevento,29,28.7,38,3420,90,100,38.0,418,80,238,178,24,258,0.87,40,75,-35,-0.92,41.6,66.1,-24.5,-0.64
Bologna,37,27.2,38,3420,90,100,38.0,418,81,243,172,21,275,1.08,51,65,-14,-0.37,53.4,64.7,-11.2,-0.30
Cagliari,32,26.5,38,3420,90,100,38.0,418,84,252,163,16,277,0.97,43,59,-16,-0.42,45.5,63.1,-17.6,-0.46
Crotone,31,27.8,38,3420,90,100,38.0,418,83,277,138,21,304,0.61,45,92,-47,-1.24,38.5,71.6,-33.1,-0.87
Fiorentina,30,26.6,38,3420,90,100,38.0,418,82,256,158,19,287,1.05,47,59,-12,-0.32,45.2,55.1,-9.9,-0.26
Genoa,34,28.3,38,3420,90,100,38.0,418,79,238,180,24,272,1.11,47,58,-11,-0.29,37.8,54.5,-16.8,-0.44
Hellas Verona,32,26.2,38,3420,90,100,38.0,418,79,250,170,26,281,1.18,43,48,-5,-0.13,43.5,50.3,-6.8,-0.18
Inter,25,27.7,38,3420,90,100,38.0,418,83,257,162,19,251,2.39,89,35,+54,+1.42,74.8,38.6,+36.2,+0.95
Juventus,30,27.7,38,3420,90,100,38.0,418,83,268,146,20,265,2.05,77,38,+39,+1.03,74.2,38.2,+36.0,+0.95
Lazio,30,29.4,38,3420,90,100,38.0,418,80,228,189,22,239,1.79,61,55,+6,+0.16,59.8,47.8,+12.0,+0.32
Milan,29,24.4,38,3420,90,100,38.0,418,82,261,156,22,277,2.08,74,41,+33,+0.87,71.2,45.7,+25.5,+0.67
Napoli,25,27.1,38,3420,90,100,38.0,418,82,247,169,19,256,2.03,86,41,+45,+1.18,67.7,41.6,+26.1,+0.69
Parma,42,28.0,38,3420,90,100,38.0,418,80,251,167,24,272,0.53,39,83,-44,-1.16,40.0,61.4,-21.4,-0.56
Roma,31,26.7,38,3420,90,100,38.0,418,83,263,153,20,262,1.63,68,55,+13,+0.34,68.9,51.4,+17.5,+0.46
Sampdoria,27,27.9,38,3420,90,100,38.0,418,82,263,153,22,295,1.37,52,54,-2,-0.05,46.2,56.9,-10.7,-0.28
Sassuolo,28,26.5,38,3420,90,100,38.0,418,80,235,180,22,267,1.63,64,56,+8,+0.21,59.2,54.9,+4.3,+0.11
Spezia,35,25.2,38,3420,90,100,38.0,418,80,234,180,22,268,1.03,52,72,-20,-0.53,46.7,69.3,-22.6,-0.59
Torino,29,26.9,38,3420,90,100,38.0,418,83,269,147,20,280,0.97,50,69,-19,-0.50,50.2,59.0,-8.8,-0.23
Udinese,33,27.2,38,3420,90,100,38.0,418,83,272,146,20,272,1.05,42,58,-16,-0.42,42.9,52.1,-9.2,-0.24
