Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,2,38.0,50,7,2,7,2,53.4,0.28,+5.4,+0.14,281,666,42.2,603,85,69.0,47.2,280,89.3,60.2,419,21,5.0,12,0.32,12.9
Athletic Club,2,38.0,49,3,3,6,3,49.6,0.28,+3.6,+0.09,400,806,49.6,983,106,64.8,47.2,191,88.5,62.1,354,30,8.5,20,0.53,14.7
Atlético Madrid,2,38.0,22,1,1,2,1,31.9,0.23,+10.9,+0.29,168,508,33.1,548,79,60.8,45.5,214,81.8,57.7,383,28,7.3,8,0.21,13.5
Barcelona,2,38.0,29,2,0,1,0,37.9,0.27,+8.9,+0.24,169,347,48.7,980,151,27.4,30.0,153,51.0,43.7,289,25,8.7,21,0.55,15.1
Betis,3,38.0,61,3,0,8,4,47.0,0.29,-10.0,-0.26,233,592,39.4,1150,134,40.5,36.0,208,60.6,45.7,376,35,9.3,17,0.45,13.6
Celta Vigo,3,38.0,60,4,0,8,1,50.7,0.30,-8.3,-0.22,229,648,35.3,1086,99,46.3,40.1,198,73.2,55.8,368,39,10.6,21,0.55,14.7
Eibar,3,38.0,50,4,2,4,4,45.0,0.33,-1.0,-0.03,319,845,37.8,886,85,75.7,56.8,182,95.6,75.0,279,32,11.5,64,1.68,17.6
Espanyol,2,38.0,42,4,0,5,2,45.6,0.26,+5.6,+0.15,226,613,36.9,678,144,56.2,44.1,261,88.9,62.2,376,39,10.4,17,0.45,14.0
Getafe,2,38.0,33,2,0,5,0,37.3,0.27,+4.3,+0.11,284,856,33.2,729,71,77.5,55.9,297,98.0,69.3,372,47,12.6,26,0.68,14.6
Girona,2,38.0,59,4,3,1,3,50.6,0.28,-5.4,-0.14,256,663,38.6,713,111,66.9,48.5,205,90.7,64.3,324,31,9.6,25,0.66,14.4
La Coruña,5,38.0,76,4,3,12,3,60.2,0.32,-12.8,-0.34,189,517,36.6,588,118,56.0,43.7,233,80.7,59.4,410,35,8.5,15,0.40,13.9
Las Palmas,2,38.0,74,5,1,8,1,69.0,0.31,-4.0,-0.11,211,533,39.6,1082,193,37.2,35.4,223,58.7,47.9,341,41,12.0,38,1.00,15.7
Leganés,3,38.0,51,6,4,5,0,46.0,0.26,-5.0,-0.13,307,890,34.5,825,78,79.5,55.3,238,98.3,69.4,331,30,9.1,28,0.74,15.1
Levante,3,38.0,58,5,1,8,3,60.0,0.32,+5.0,+0.13,288,699,41.2,662,92,69.9,50.5,254,92.9,62.7,423,44,10.4,26,0.68,13.8
Málaga,2,38.0,61,6,1,3,0,56.6,0.32,-4.4,-0.12,277,703,39.4,668,66,69.5,50.8,255,93.7,66.0,382,39,10.2,17,0.45,12.4
Real Madrid,3,38.0,44,2,0,9,2,42.3,0.29,+0.3,+0.01,105,255,41.2,649,149,26.5,32.5,139,59.7,49.4,299,30,10.0,24,0.63,14.8
Real Sociedad,3,38.0,59,6,2,8,1,50.5,0.31,-7.5,-0.20,267,565,47.3,1249,108,37.4,35.4,158,62.0,46.6,324,33,10.2,28,0.74,14.9
Sevilla,2,38.0,58,5,1,6,1,50.0,0.32,-7.0,-0.18,162,416,38.9,675,152,40.3,35.6,194,74.2,53.4,358,40,11.2,13,0.34,12.9
Valencia,2,38.0,38,3,1,6,0,48.7,0.27,+10.7,+0.28,180,477,37.7,560,128,52.3,42.1,226,81.4,60.8,438,33,7.5,9,0.24,12.8
Villarreal,3,38.0,50,5,1,7,0,51.8,0.30,+1.8,+0.05,168,492,34.1,652,151,44.6,38.7,240,83.8,59.8,479,40,8.4,19,0.50,13.6
