Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,3,38.0,46,4,3,6,3,41.3,0.29,-1.7,-0.04,199,491,40.5,802,175,35.7,35.3,261,78.5,56.6,297,28,9.4,33,0.87,15.9
Bologna,1,38.0,56,4,1,5,1,50.4,0.28,-4.6,-0.12,265,607,43.7,783,221,48.5,40.8,343,66.2,51.3,406,41,10.1,9,0.24,12.3
Cagliari,1,38.0,54,8,1,5,2,56.5,0.25,+4.5,+0.12,356,766,46.5,891,172,53.5,42.0,361,80.1,58.2,449,34,7.6,11,0.29,12.9
Chievo,3,38.0,75,2,2,10,2,65.4,0.30,-7.6,-0.20,302,666,45.3,772,127,54.1,41.8,343,72.3,47.5,419,17,4.1,9,0.24,11.9
Empoli,3,38.0,70,6,0,8,2,64.7,0.27,-3.3,-0.09,193,512,37.7,847,229,41.4,37.8,345,46.7,43.5,440,30,6.8,18,0.47,13.2
Fiorentina,3,38.0,45,5,1,6,3,39.5,0.25,-2.5,-0.07,204,565,36.1,884,185,45.0,39.9,296,56.4,47.1,390,29,7.4,34,0.89,15.1
Frosinone,2,38.0,69,5,3,10,1,60.2,0.27,-7.8,-0.21,201,620,32.4,950,244,40.9,38.3,353,65.4,51.0,428,37,8.6,11,0.29,12.1
Genoa,3,38.0,57,5,0,11,2,55.8,0.32,+0.8,+0.02,275,807,34.1,763,114,66.4,51.4,339,88.5,65.0,385,23,6.0,17,0.45,13.4
Inter,1,38.0,33,3,1,3,3,35.4,0.26,+5.4,+0.14,172,360,47.8,895,201,27.6,30.1,256,44.1,39.1,337,16,4.7,13,0.34,12.6
Juventus,3,38.0,30,2,1,4,1,32.7,0.28,+3.7,+0.10,201,392,51.3,713,165,36.6,35.7,279,47.0,42.5,305,24,7.9,23,0.61,14.3
Lazio,3,38.0,46,5,2,6,1,44.6,0.27,-0.4,-0.01,231,551,41.9,915,176,44.8,38.4,265,53.2,45.4,355,22,6.2,21,0.55,15.0
Milan,2,38.0,36,4,1,5,1,39.4,0.27,+4.4,+0.12,219,424,51.7,960,213,28.8,30.7,316,46.8,40.1,400,35,8.8,16,0.42,13.8
Napoli,3,38.0,36,4,1,4,0,36.4,0.24,+0.4,+0.01,130,384,33.9,774,149,32.0,33.0,271,50.2,43.6,316,26,8.2,11,0.29,13.6
Parma,2,38.0,61,8,1,9,4,55.2,0.24,-1.8,-0.05,351,800,43.9,774,135,54.4,44.5,466,81.3,55.7,582,39,6.7,10,0.26,11.1
Roma,2,38.0,48,4,0,9,1,48.6,0.28,+1.6,+0.04,247,548,45.1,871,195,40.9,37.1,299,64.2,50.7,368,18,4.9,16,0.42,12.8
Sampdoria,2,38.0,51,7,2,6,1,52.0,0.32,+2.0,+0.05,157,458,34.3,912,194,32.7,32.1,310,51.6,42.1,402,34,8.5,25,0.66,14.9
Sassuolo,2,38.0,60,4,0,13,2,52.1,0.31,-5.9,-0.16,244,569,42.9,934,170,43.4,36.8,311,52.7,41.6,382,24,6.3,18,0.47,13.8
SPAL,4,38.0,56,5,0,11,0,52.8,0.28,-3.2,-0.08,256,638,40.1,1023,178,43.5,38.7,330,58.5,46.7,325,19,5.8,15,0.40,13.4
Torino,2,38.0,37,3,0,5,0,45.4,0.30,+8.4,+0.22,337,749,45.0,887,130,54.9,42.7,319,82.1,54.4,345,30,8.7,24,0.63,15.0
Udinese,2,38.0,53,9,0,7,1,53.6,0.28,+1.6,+0.04,322,751,42.9,729,131,57.9,42.8,405,81.2,55.3,443,31,7.0,17,0.45,12.6
