Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,51,5,0,9,0,53.6,0.34,+2.6,+0.07,207,525,39.4,930,245,39.1,37.7,251,64.1,51.7,340,37,10.9,28,0.74,14.7
Bournemouth,1,38.0,61,2,2,8,1,57.5,0.33,-2.5,-0.07,233,668,34.9,823,227,48.8,41.5,329,80.9,58.5,389,34,8.7,8,0.21,13.2
Brighton,1,38.0,54,1,1,15,5,56.1,0.32,+7.1,+0.19,376,913,41.2,821,118,70.9,50.4,352,94.0,63.5,383,19,5.0,15,0.39,12.6
Burnley,2,38.0,39,3,0,5,1,47.9,0.29,+9.9,+0.26,399,1104,36.1,1003,139,79.0,58.3,331,94.3,71.9,420,46,11.0,22,0.58,14.5
Chelsea,2,38.0,38,2,0,2,2,33.1,0.28,-2.9,-0.08,190,493,38.5,1032,216,34.0,36.1,261,54.4,48.6,306,23,7.5,21,0.55,14.1
Crystal Palace,2,38.0,55,2,1,12,2,48.3,0.28,-4.7,-0.12,322,852,37.8,778,114,72.0,53.4,316,92.4,68.1,406,23,5.7,24,0.63,13.5
Everton,1,38.0,58,3,0,7,0,59.6,0.33,+1.6,+0.04,322,985,32.7,991,155,67.9,54.1,339,92.0,72.5,367,24,6.5,32,0.84,15.1
Huddersfield,1,38.0,57,4,0,6,1,56.2,0.34,-0.8,-0.02,411,963,42.7,1080,108,65.1,50.3,307,84.7,63.1,287,25,8.7,34,0.89,15.4
Leicester City,3,38.0,60,2,3,11,2,49.4,0.30,-8.6,-0.23,361,922,39.2,969,129,65.6,50.1,310,92.3,68.8,343,23,6.7,43,1.13,16.2
Liverpool,2,38.0,38,4,0,6,0,36.6,0.33,-1.4,-0.04,152,461,33.0,1020,205,34.8,35.2,202,52.5,45.8,286,29,10.1,28,0.74,14.8
Manchester City,2,38.0,27,0,1,1,2,23.8,0.29,-1.2,-0.03,162,297,54.5,1004,169,20.1,28.7,170,55.9,49.2,171,18,10.5,51,1.34,17.9
Manchester Utd,2,38.0,28,1,1,5,2,36.0,0.25,+10.0,+0.26,265,676,39.2,812,146,54.6,44.2,299,77.9,59.2,308,20,6.5,13,0.34,13.3
Newcastle Utd,3,38.0,47,4,0,3,3,48.5,0.31,+4.5,+0.12,313,833,37.6,877,115,62.8,47.8,337,83.7,60.7,400,35,8.8,26,0.68,13.8
Southampton,2,38.0,56,1,2,8,0,48.8,0.30,-7.2,-0.19,210,712,29.5,670,119,65.1,50.3,303,91.1,65.6,368,28,7.6,12,0.32,12.5
Stoke City,2,38.0,68,5,0,12,2,64.9,0.29,-1.1,-0.03,435,1072,40.6,1003,108,73.9,54.0,361,91.7,67.6,397,33,8.3,26,0.68,14.1
Swansea City,1,38.0,56,3,1,6,2,55.8,0.29,+1.8,+0.05,329,837,39.3,913,152,56.8,46.5,359,88.6,64.5,398,39,9.8,12,0.32,12.9
Tottenham,3,38.0,36,2,1,8,1,37.0,0.29,+2.0,+0.05,214,463,46.2,975,199,34.3,35.6,246,52.4,44.5,289,26,9.0,34,0.89,16.5
Watford,2,38.0,64,6,1,9,1,52.6,0.32,-10.4,-0.27,321,835,38.4,885,154,70.1,50.5,259,83.0,61.0,340,35,10.3,23,0.61,14.1
West Brom,2,38.0,56,1,3,9,1,49.8,0.32,-5.2,-0.14,355,944,37.6,811,74,75.7,54.3,346,95.4,70.3,451,29,6.4,19,0.50,14.0
West Ham,2,38.0,68,5,1,12,1,61.7,0.32,-5.3,-0.14,335,947,35.4,826,103,76.3,54.2,342,92.7,66.0,376,27,7.2,25,0.66,13.9
