Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,3,38.0,39,1,2,4,0,33.5,0.27,-5.5,-0.14,230,497,46.3,735,184,39.7,36.8,254,80.7,56.8,300,16,5.3,20,0.53,14.8
Benevento,3,38.0,89,10,1,10,2,77.2,0.35,-4.8,-0.13,236,636,37.1,959,200,45.6,39.7,312,63.8,49.8,424,51,12.0,30,0.79,14.5
Bologna,3,38.0,52,3,1,6,3,48.3,0.28,-0.7,-0.02,412,826,49.9,1072,167,52.2,42.3,342,77.8,54.6,454,31,6.8,37,0.97,15.0
Cagliari,3,38.0,61,8,4,4,1,60.0,0.32,0.0,0.00,287,660,43.5,696,152,53.7,41.7,338,84.6,58.0,412,36,8.7,15,0.39,13.4
Chievo,1,38.0,59,4,2,13,4,56.3,0.28,+1.3,+0.03,257,653,39.4,774,170,51.0,39.7,361,71.5,46.2,434,16,3.7,14,0.37,12.6
Crotone,1,38.0,66,6,3,11,0,64.5,0.30,-1.5,-0.04,304,884,34.4,781,95,72.3,51.6,338,94.4,62.3,428,21,4.9,26,0.68,14.4
Fiorentina,2,38.0,46,2,3,6,0,46.7,0.30,+0.7,+0.02,162,420,38.6,785,190,37.7,35.4,243,51.0,42.6,338,41,12.1,12,0.32,13.7
Genoa,2,38.0,43,4,1,2,2,45.1,0.25,+4.1,+0.11,330,807,40.9,890,115,58.0,44.0,328,88.7,60.1,376,21,5.6,20,0.53,13.9
Hellas Verona,2,38.0,78,6,4,10,2,82.9,0.30,+6.9,+0.18,384,928,41.4,1024,232,58.4,44.2,382,86.4,59.6,487,50,10.3,22,0.58,13.8
Inter,1,38.0,30,2,1,2,4,33.1,0.26,+7.1,+0.19,167,321,52.0,781,234,24.7,28.5,268,47.8,39.1,369,21,5.7,10,0.26,12.9
Juventus,3,38.0,24,3,1,4,2,28.0,0.27,+6.0,+0.16,195,383,50.9,791,148,35.1,35.1,186,56.5,44.4,297,20,6.7,16,0.42,13.6
Lazio,1,38.0,49,9,2,5,2,51.2,0.29,+4.2,+0.11,248,509,48.7,854,163,45.8,37.9,250,47.2,43.2,290,12,4.1,23,0.61,15.2
Milan,1,38.0,42,2,0,4,1,40.8,0.30,-0.2,-0.01,192,402,47.8,892,136,33.0,31.5,194,55.7,42.2,305,23,7.5,14,0.37,14.4
Napoli,2,38.0,29,2,2,4,0,26.4,0.25,-2.6,-0.07,176,365,48.2,899,152,30.3,33.3,196,47.4,41.7,228,11,4.8,31,0.82,16.6
Roma,2,38.0,28,3,0,2,0,39.2,0.26,+11.2,+0.30,251,455,55.2,1024,209,35.6,35.1,187,48.1,45.0,316,25,7.9,50,1.32,17.3
Sampdoria,3,38.0,60,6,1,7,1,63.2,0.29,+4.2,+0.11,245,596,41.1,893,138,48.2,39.3,263,63.1,49.4,389,24,6.2,32,0.84,15.3
Sassuolo,2,38.0,59,2,3,10,2,52.8,0.29,-4.2,-0.11,288,646,44.6,809,167,53.6,43.2,273,77.7,52.4,425,36,8.5,19,0.50,13.2
SPAL,3,38.0,59,9,1,7,4,62.8,0.28,+7.8,+0.21,261,718,36.4,807,126,60.1,46.1,313,74.4,54.1,389,27,6.9,15,0.39,12.9
Torino,2,38.0,46,5,3,5,0,49.6,0.27,+3.6,+0.09,263,594,44.3,984,191,41.9,37.5,278,65.5,48.4,410,32,7.8,34,0.89,14.6
Udinese,2,38.0,63,2,1,11,5,50.0,0.28,-8.0,-0.21,298,711,41.9,887,155,53.4,41.3,307,77.2,53.5,358,32,8.9,14,0.37,12.9
