Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Angers,1,38.0,58,7,0,6,1,49.9,0.33,-7.1,-0.19,177,512,34.6,720,210,43.9,38.9,269,72.9,52.8,318,24,7.5,11,0.29,13.1
Bordeaux,1,38.0,57,7,2,6,1,46.6,0.27,-8.4,-0.22,318,690,46.1,1035,144,47.3,39.2,291,68.7,50.5,324,18,5.6,21,0.55,13.8
Brest,2,38.0,66,9,1,6,2,57.4,0.30,-6.6,-0.17,235,492,47.8,1050,178,37.2,36.8,304,33.2,34.8,369,29,7.9,17,0.45,13.0
Dijon,3,38.0,73,7,1,10,2,66.6,0.33,-4.4,-0.12,221,629,35.1,900,197,44.4,37.8,349,65.6,48.7,382,25,6.5,26,0.68,14.4
Lens,2,38.0,54,11,0,7,3,50.5,0.31,-0.5,-0.01,206,535,38.5,790,138,51.6,41.3,268,47.4,40.0,285,18,6.3,22,0.58,14.8
Lille,1,38.0,23,1,0,7,2,25.8,0.23,+4.8,+0.13,153,437,35.0,832,191,34.9,35.3,238,61.8,52.2,286,23,8.0,26,0.68,15.5
Lorient,2,38.0,69,10,1,6,1,52.0,0.28,-15.0,-0.39,192,556,34.5,695,151,48.8,40.4,305,71.1,52.3,291,16,5.5,20,0.53,14.1
Lyon,1,38.0,43,5,2,4,2,43.2,0.30,+2.2,+0.06,214,407,52.6,926,181,32.7,33.4,250,41.6,36.8,308,16,5.2,39,1.03,17.1
Marseille,2,38.0,47,3,1,8,1,45.3,0.34,-0.7,-0.02,203,563,36.1,1056,194,37.5,35.2,293,57.0,44.4,375,27,7.2,23,0.61,14.0
Metz,2,38.0,49,12,1,6,1,49.7,0.28,+2.7,+0.07,282,649,43.5,819,216,51.4,42.0,318,71.7,53.7,351,42,12.0,39,1.03,16.5
Monaco,3,38.0,42,5,1,2,1,31.5,0.29,-9.5,-0.25,229,553,41.4,1078,137,39.6,35.9,243,51.9,43.7,266,14,5.3,43,1.13,18.2
Montpellier,2,38.0,62,12,0,6,2,63.2,0.29,+3.2,+0.08,343,703,48.8,970,217,48.7,40.0,325,71.1,53.4,362,37,10.2,16,0.42,13.3
Nantes,1,38.0,55,10,2,8,1,52.3,0.27,-1.7,-0.04,218,675,32.3,869,128,53.4,44.5,258,81.8,57.8,327,24,7.3,25,0.66,14.9
Nice,1,38.0,53,7,0,12,0,48.5,0.26,-4.5,-0.12,129,347,37.2,924,170,25.8,29.6,302,36.1,34.7,356,25,7.0,17,0.45,13.3
Nîmes,1,38.0,71,6,1,7,0,63.8,0.29,-7.2,-0.19,298,800,37.3,1287,144,46.3,40.5,300,68.0,50.4,362,19,5.2,27,0.71,14.5
Paris S-G,3,38.0,28,1,0,3,1,33.2,0.25,+6.2,+0.16,117,222,52.7,763,163,23.2,29.0,228,19.7,27.5,267,10,3.7,19,0.50,13.3
Reims,2,38.0,50,5,0,8,1,49.8,0.28,+0.8,+0.02,249,739,33.7,1151,170,45.1,40.4,355,62.0,49.4,365,21,5.8,23,0.61,14.1
Rennes,3,38.0,40,3,0,4,0,41.0,0.31,+1.0,+0.03,205,468,43.8,982,193,32.6,32.4,260,56.9,45.4,277,27,9.7,46,1.21,16.6
Saint-Étienne,3,38.0,54,6,4,6,2,48.4,0.33,-3.6,-0.10,187,516,36.2,857,186,38.4,37.5,279,67.0,51.0,307,20,6.5,14,0.37,13.5
Strasbourg,3,38.0,58,6,2,7,1,49.2,0.31,-7.8,-0.21,309,674,45.8,838,145,52.7,41.7,299,77.6,57.1,316,21,6.6,7,0.18,11.9
