Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,48,7,0,9,0,58.0,0.27,+10.0,+0.26,128,433,29.6,971,220,29.7,32.7,312,46.5,41.4,353,23,6.5,21,0.55,13.3
Aston Villa,4,38.0,67,5,1,10,1,59.8,0.32,-6.2,-0.16,279,723,38.6,850,170,55.2,44.4,343,74.1,55.5,391,26,6.6,19,0.50,13.1
Bournemouth,2,38.0,65,5,4,5,0,64.3,0.33,-0.7,-0.02,206,668,30.8,859,189,53.1,44.5,297,71.4,58.5,328,20,6.1,17,0.45,14.2
Brighton,1,38.0,54,2,0,8,3,54.5,0.32,+3.5,+0.09,272,527,51.6,1188,232,33.8,33.8,274,45.6,38.7,314,24,7.6,19,0.50,13.9
Burnley,1,38.0,50,4,0,8,1,47.2,0.27,-1.8,-0.05,285,916,31.1,875,168,73.0,54.4,305,90.8,69.9,373,53,14.2,35,0.92,16.5
Chelsea,2,38.0,54,2,2,11,3,41.4,0.35,-9.6,-0.25,174,407,42.8,1024,160,30.5,32.3,227,41.9,38.8,258,18,7.0,23,0.61,15.4
Crystal Palace,2,38.0,50,0,1,7,2,55.6,0.34,+7.6,+0.20,256,762,33.6,844,169,59.4,45.2,312,83.7,62.5,366,33,9.0,17,0.45,13.1
Everton,1,38.0,56,3,3,6,3,48.7,0.32,-4.3,-0.11,313,784,39.9,1100,179,55.6,45.8,273,63.0,53.4,315,25,7.9,23,0.61,14.6
Leicester City,1,38.0,41,8,0,7,2,42.2,0.28,+3.2,+0.08,239,488,49.0,936,151,39.9,37.4,242,47.5,40.8,293,10,3.4,27,0.71,15.7
Liverpool,2,38.0,33,1,1,2,1,31.6,0.29,-0.4,-0.01,198,397,49.9,1001,181,29.7,33.4,238,42.0,39.2,288,24,8.3,44,1.16,16.4
Manchester City,2,38.0,35,3,1,4,1,33.7,0.30,-0.3,-0.01,146,295,49.5,1028,174,22.5,29.9,167,38.3,37.2,207,15,7.2,39,1.03,17.3
Manchester Utd,1,38.0,36,3,1,8,1,37.1,0.28,+2.1,+0.05,120,311,38.6,669,148,33.8,34.3,265,32.1,33.9,285,15,5.3,11,0.29,13.3
Newcastle Utd,1,38.0,58,2,2,11,2,66.0,0.34,+10.0,+0.26,295,778,37.9,756,121,63.6,48.4,337,88.1,64.4,384,20,5.2,14,0.37,12.3
Norwich City,3,38.0,75,4,1,13,3,70.9,0.33,-1.1,-0.03,271,765,35.4,1261,190,45.4,39.7,350,55.1,44.8,403,28,6.9,18,0.47,14.1
Sheffield Utd,2,38.0,39,1,0,2,0,42.5,0.30,+3.5,+0.09,262,892,29.4,814,103,77.6,58.7,269,96.7,75.7,296,23,7.8,17,0.45,13.7
Southampton,2,38.0,60,3,1,5,1,58.6,0.34,-0.4,-0.01,244,746,32.7,815,98,65.0,48.5,256,84.4,61.1,339,26,7.7,22,0.58,15.2
Tottenham,2,38.0,47,5,1,4,2,52.7,0.28,+7.7,+0.20,214,573,37.3,795,140,47.9,39.8,289,66.4,50.8,357,20,5.6,16,0.42,12.7
Watford,1,38.0,64,8,3,7,3,58.3,0.31,-2.7,-0.07,322,975,33.0,909,121,77.4,54.3,292,92.8,67.6,367,37,10.1,44,1.16,15.6
West Ham,4,38.0,62,5,2,7,3,58.7,0.30,-0.3,-0.01,326,815,40.0,776,129,70.1,50.4,292,92.8,64.5,372,16,4.3,12,0.32,11.7
Wolves,1,38.0,40,1,1,7,1,40.2,0.32,+1.2,+0.03,282,583,48.4,580,124,59.7,44.6,282,84.0,55.6,349,15,4.3,8,0.21,12.4
