Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,30,38.0,67,3,1,648,550,57,432,501,425,5,8,1,3702,698,563,55.4
Benevento,29,38.0,95,5,2,571,650,63,409,414,363,7,5,6,2892,549,643,46.1
Bologna,37,38.0,82,4,2,593,531,77,414,446,328,3,9,2,3167,636,615,50.8
Cagliari,32,38.0,77,3,2,577,533,60,496,379,370,4,5,0,3014,693,660,51.2
Crotone,31,38.0,89,4,2,585,529,59,370,357,374,7,5,2,3013,502,575,46.6
Fiorentina,30,38.0,86,5,0,569,593,61,469,368,362,4,11,2,2929,571,609,48.4
Genoa,34,38.0,87,2,1,587,534,81,350,476,394,2,7,2,3156,541,724,42.8
Hellas Verona,32,38.0,91,1,0,681,581,109,459,463,338,3,7,2,3733,858,878,49.4
Inter,25,38.0,61,2,1,534,498,66,481,365,326,6,7,1,2819,523,425,55.2
Juventus,30,38.0,80,6,2,581,563,94,517,370,395,8,9,2,2897,465,397,53.9
Lazio,30,38.0,107,5,3,561,486,92,466,424,395,8,10,2,3300,582,533,52.2
Milan,29,38.0,83,4,1,569,545,92,430,383,406,15,5,1,3102,577,577,50.0
Napoli,25,38.0,76,3,2,447,614,72,470,407,391,7,5,1,2756,414,417,49.8
Parma,42,38.0,91,1,0,617,530,80,407,430,369,4,3,3,2764,644,513,55.7
Roma,31,38.0,91,3,3,617,500,63,437,457,390,6,6,3,2934,488,442,52.5
Sampdoria,27,38.0,83,3,1,575,552,63,505,410,398,3,9,1,3323,659,696,48.6
Sassuolo,28,38.0,79,4,2,568,562,60,403,372,369,12,4,1,2878,440,456,49.1
Spezia,35,38.0,100,5,4,651,592,83,413,436,386,5,10,0,3130,559,630,47.0
Torino,29,38.0,78,4,3,661,675,62,489,493,377,6,10,1,3062,622,681,47.7
Udinese,33,38.0,65,2,1,585,583,83,468,399,384,3,14,0,2918,509,494,50.7
