Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,30,38.0,96,8,5,573,529,73,409,430,359,5,2,0,3047,920,690,57.1
Athletic Club,27,38.0,82,3,1,558,544,77,543,348,343,5,6,1,3166,721,632,53.3
Atlético Madrid,25,38.0,100,0,0,545,513,98,437,395,449,6,4,3,3149,606,506,54.5
Barcelona,25,38.0,72,2,2,398,612,91,411,354,351,6,5,2,2896,418,320,56.6
Betis,25,38.0,93,8,4,580,568,66,425,432,378,9,9,3,3073,626,653,48.9
Cádiz,34,38.0,81,3,2,495,534,59,432,411,385,3,10,1,2962,704,801,46.8
Celta Vigo,30,38.0,109,5,3,719,565,70,361,375,420,7,8,1,3163,621,730,46.0
Eibar,30,38.0,71,3,2,547,438,69,614,385,363,5,5,0,4018,951,1006,48.6
Elche,30,38.0,99,3,2,594,515,52,415,388,394,1,10,1,2711,521,588,47.0
Getafe,31,38.0,120,7,2,691,570,75,537,424,384,3,8,3,3472,885,1000,46.9
Granada,34,38.0,97,6,1,601,516,84,381,408,375,4,11,1,3075,734,905,44.8
Huesca,27,38.0,69,2,1,607,597,102,502,349,402,2,4,2,3172,629,655,49.0
Levante,29,38.0,68,1,0,575,459,69,489,446,368,5,4,2,2966,514,595,46.3
Osasuna,28,38.0,80,5,3,604,449,67,510,384,354,3,8,3,3627,1070,837,56.1
Real Madrid,30,38.0,59,2,1,460,544,87,577,406,353,2,7,1,2815,460,408,53.0
Real Sociedad,30,38.0,81,1,0,615,520,90,467,337,342,7,5,1,3181,709,698,50.4
Sevilla,26,38.0,79,2,2,558,546,70,555,334,389,4,6,2,2929,674,576,53.9
Valencia,30,38.0,82,5,3,527,589,90,395,321,312,6,8,2,2914,625,615,50.4
Valladolid,32,38.0,93,4,0,579,569,75,480,390,376,8,6,0,3226,708,885,44.4
Villarreal,29,38.0,67,5,1,495,564,89,466,354,340,7,9,2,2961,537,533,50.2
