Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,29,38.0,88,5,1,497,525,74,478,244,373,2,6,0,3085,499,573,46.5
Aston Villa,28,38.0,70,1,1,527,591,61,492,254,388,2,6,1,3321,668,753,47.0
Bournemouth,27,38.0,78,3,2,442,465,68,398,288,349,2,5,0,3658,747,807,48.1
Brighton,25,38.0,59,2,1,466,383,71,492,299,409,2,2,2,3557,659,563,53.9
Burnley,22,38.0,67,0,0,503,417,88,410,252,340,1,5,1,3575,928,881,51.3
Chelsea,27,38.0,60,0,0,442,477,63,567,268,449,6,2,3,3756,670,667,50.1
Crystal Palace,25,38.0,62,2,0,500,552,53,364,277,430,2,1,2,3503,720,726,49.8
Everton,24,38.0,76,3,3,537,438,58,501,279,423,0,4,3,3600,837,820,50.5
Leicester City,24,38.0,43,3,1,483,524,65,475,309,478,6,10,2,3526,673,620,52.0
Liverpool,24,38.0,38,1,0,373,389,53,569,246,375,4,1,1,3931,632,563,52.9
Manchester City,24,38.0,64,4,2,403,392,67,617,227,365,10,2,1,3452,514,468,52.3
Manchester Utd,29,38.0,73,0,0,486,526,56,392,300,359,12,3,1,3501,582,479,54.9
Newcastle Utd,28,38.0,66,3,0,438,480,75,383,293,393,0,2,2,3298,721,759,48.7
Norwich City,30,38.0,68,3,0,448,492,50,259,270,434,1,7,3,3327,515,657,43.9
Sheffield Utd,26,38.0,63,2,1,497,360,78,528,260,392,1,3,0,3676,890,857,50.9
Southampton,25,38.0,55,4,1,526,454,58,427,295,484,4,4,1,3966,794,898,46.9
Tottenham,29,38.0,84,3,1,496,503,66,387,259,445,4,7,2,3566,631,643,49.5
Watford,26,38.0,80,3,2,576,397,68,488,313,429,7,9,3,3696,803,794,50.3
West Ham,29,38.0,64,1,1,465,415,66,470,291,470,3,6,3,3536,808,781,50.8
Wolves,21,38.0,61,2,2,473,445,49,476,263,423,4,3,1,3569,719,701,50.6
