Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Amiens,30,38.0,72,5,2,519,483,69,395,502,369,4,4,0,3671,289,314,47.9
Angers,27,38.0,68,3,2,501,443,60,434,402,357,3,6,4,3534,230,275,45.5
Bordeaux,31,38.0,73,2,1,545,492,79,476,432,413,5,6,1,3415,234,259,47.5
Caen,26,38.0,68,4,0,545,453,82,602,515,372,5,5,4,3930,343,311,52.4
Dijon,26,38.0,69,5,1,516,483,73,404,474,384,4,12,3,3443,219,289,43.1
Guingamp,23,38.0,65,2,2,541,540,101,498,482,346,6,5,1,3460,268,255,51.2
Lille,25,38.0,59,6,2,501,458,90,445,445,367,2,7,3,3431,217,177,55.1
Lyon,26,38.0,71,2,1,496,561,80,429,437,362,6,8,3,3340,252,204,55.3
Marseille,26,38.0,81,2,0,537,512,80,613,405,406,8,5,2,3622,275,269,50.6
Metz,36,38.0,78,7,2,550,456,57,495,414,403,2,5,2,3583,242,295,45.1
Monaco,32,38.0,70,4,1,523,543,76,577,424,373,8,3,1,3472,249,257,49.2
Montpellier,23,38.0,72,1,0,468,548,87,578,415,373,2,6,0,3567,248,213,53.8
Nantes,30,38.0,63,6,5,505,419,88,587,457,403,4,4,1,3720,255,278,47.8
Nice,31,38.0,80,4,2,451,556,62,398,414,319,9,5,3,2837,177,157,53.0
Paris S-G,28,38.0,65,6,4,436,517,94,563,299,376,7,4,0,2967,171,115,59.8
Rennes,28,38.0,64,5,3,503,541,90,520,434,315,6,6,2,3595,273,257,51.5
Saint-Étienne,30,38.0,71,8,1,519,515,91,471,380,352,10,6,1,3393,265,245,52.0
Strasbourg,25,38.0,71,4,1,548,452,78,490,473,442,6,6,0,3499,288,273,51.3
Toulouse,25,38.0,92,3,1,617,512,78,564,430,338,8,5,1,3654,325,285,53.3
Troyes,25,38.0,76,7,2,516,393,62,454,446,317,3,4,1,3482,252,344,42.3
