Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,29,38.0,510,315,242,194,74,175,516,33.9,341,4685,1331,28.4,1499,1897,1289,562,136,1,426,337,847,816,6
Aston Villa,24,38.0,590,358,268,234,88,204,557,36.6,353,5446,1473,27.0,1888,2277,1281,603,178,1,425,377,967,954,12
Brighton,27,38.0,664,415,336,253,75,218,602,36.2,384,5179,1638,31.6,1732,2164,1283,579,121,3,458,395,1059,704,5
Burnley,25,38.0,562,320,267,211,84,201,551,36.5,350,4654,1282,27.5,1381,2041,1232,650,193,5,457,399,961,1035,8
Chelsea,27,38.0,676,413,302,285,89,210,578,36.3,368,5376,1668,31.0,1692,2388,1296,582,100,1,482,444,1120,830,13
Crystal Palace,24,38.0,694,386,383,233,78,251,645,38.9,394,5700,1502,26.4,2314,2378,1008,659,151,2,508,460,1154,893,11
Everton,29,38.0,684,426,380,232,72,240,653,36.8,413,5660,1604,28.3,2220,2364,1076,669,176,1,493,398,1082,927,11
Fulham,28,38.0,672,415,313,263,96,217,562,38.6,345,5145,1537,29.9,1720,2157,1268,569,114,1,455,502,1174,1063,6
Leeds United,23,38.0,825,493,437,297,91,274,798,34.3,524,6661,1972,29.6,2341,2885,1435,577,163,2,414,477,1302,791,13
Leicester City,27,38.0,734,445,347,286,101,227,633,35.9,406,5142,1629,31.7,1797,2214,1131,605,112,3,493,434,1168,844,4
Liverpool,28,38.0,560,358,221,233,106,197,562,35.1,365,5394,1707,31.6,1339,2329,1726,504,77,4,427,385,945,769,21
Manchester City,24,38.0,554,365,222,228,104,214,610,35.1,396,4560,1462,32.1,1167,2030,1363,438,97,0,341,339,893,585,6
Manchester Utd,29,38.0,590,371,283,227,80,191,553,34.5,362,5041,1490,29.6,1537,2164,1340,608,135,0,473,455,1045,806,7
Newcastle Utd,27,38.0,607,363,317,233,57,205,586,35.0,381,5423,1346,24.8,2148,2247,1028,641,173,5,468,415,1022,1038,13
Sheffield Utd,27,38.0,669,368,346,252,71,248,713,34.8,465,6123,1518,24.8,2080,2631,1412,630,165,9,465,440,1109,1015,19
Southampton,29,38.0,784,455,380,319,85,296,747,39.6,451,5724,1785,31.2,1972,2505,1247,623,111,1,512,436,1220,856,10
Tottenham,24,38.0,694,425,349,261,84,257,689,37.3,432,5871,1643,28.0,2124,2563,1184,582,160,2,422,370,1064,1010,4
West Brom,30,38.0,662,398,365,226,71,227,650,34.9,423,5491,1531,27.9,2119,2268,1104,678,172,9,506,447,1109,1025,12
West Ham,24,38.0,559,346,308,197,54,190,614,30.9,424,4989,1342,26.9,1882,2133,974,603,143,4,460,426,985,988,9
Wolves,27,38.0,617,397,351,204,62,228,621,36.7,393,5195,1558,30.0,2105,2187,903,539,133,5,406,388,1005,898,6
