Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Alavés,32,38.0,613,370,295,269,49,194,580,33.4,386,5609,1464,26.1,1757,2820,1032,576,120,0,456,214,827,1085,8
Athletic Club,26,38.0,578,353,286,219,73,191,618,30.9,427,5431,1547,28.5,1706,2478,1247,573,99,2,474,238,816,1130,8
Atlético Madrid,30,38.0,670,431,310,272,88,261,682,38.3,421,5111,1532,30.0,1616,2385,1110,659,124,1,535,221,891,990,6
Barcelona,28,38.0,545,368,224,228,93,166,462,35.9,296,4843,1487,30.7,1268,2305,1270,493,93,4,400,239,784,638,9
Betis,27,38.0,534,331,285,190,59,160,495,32.3,335,4932,1308,26.5,1590,2228,1114,562,141,1,421,208,742,941,5
Celta Vigo,30,38.0,619,371,351,217,51,191,563,33.9,372,5389,1542,28.6,2040,2314,1035,521,102,0,419,263,882,985,4
Eibar,26,38.0,618,370,263,255,100,216,622,34.7,406,5515,1618,29.3,1386,2572,1557,580,96,3,484,264,882,1046,7
Espanyol,31,38.0,640,402,321,254,65,237,685,34.6,448,5907,1660,28.1,1928,2845,1134,551,98,1,453,251,891,1003,8
Getafe,30,38.0,644,391,260,294,90,203,580,35.0,377,6261,1865,29.8,1633,3179,1449,526,72,2,454,269,913,1145,4
Granada,27,38.0,590,351,258,264,68,183,532,34.4,349,5811,1577,27.1,1731,2884,1196,588,126,0,462,214,804,1005,4
Leganés,29,38.0,640,389,339,230,71,221,603,36.7,382,5723,1585,27.7,1855,2620,1248,543,79,1,464,249,889,1063,4
Levante,29,38.0,548,319,301,190,57,185,543,34.1,358,4990,1312,26.3,1706,2244,1040,539,119,0,420,264,812,1005,7
Mallorca,32,38.0,607,389,324,225,58,215,592,36.3,377,5626,1526,27.1,2031,2512,1083,561,125,1,436,242,849,776,8
Osasuna,31,38.0,641,389,297,278,66,225,596,37.8,371,5491,1662,30.3,1525,2722,1244,611,105,2,506,255,896,1117,15
Real Madrid,26,38.0,625,415,272,267,86,207,597,34.7,390,5071,1507,29.7,1469,2469,1133,562,88,3,474,284,909,603,14
Real Sociedad,27,38.0,584,362,259,260,65,221,598,37.0,377,5055,1496,29.6,1450,2411,1194,528,89,1,439,226,810,971,6
Sevilla,26,38.0,614,398,293,259,62,265,670,39.6,405,5071,1540,30.4,1522,2421,1128,519,110,3,409,208,822,1003,9
Valencia,28,38.0,507,339,264,189,54,182,575,31.7,393,5278,1356,25.7,1909,2304,1065,546,139,1,407,221,728,956,10
Valladolid,30,38.0,616,400,349,224,43,212,677,31.3,465,5770,1529,26.5,2084,2688,998,624,123,2,501,268,884,1014,13
Villarreal,25,38.0,575,358,261,258,56,214,625,34.2,411,5610,1540,27.5,1816,2770,1024,591,128,1,463,213,788,992,8
