Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arminia,26,34.0,630,395,305,260,65,191,587,32.5,396,5767,1653,28.7,1887,2709,1171,623,131,2,492,305,935,939,9
Augsburg,25,34.0,579,338,272,244,63,192,544,35.3,352,5110,1524,29.8,1781,2376,953,646,127,3,519,437,1016,1016,12
Bayern Munich,29,34.0,584,377,215,255,114,189,533,35.5,344,4986,1711,34.3,1244,2216,1526,534,82,0,452,415,999,549,7
Dortmund,26,34.0,593,411,259,231,103,202,524,38.5,322,4787,1615,33.7,1412,2145,1230,518,110,1,408,401,994,629,7
Eint Frankfurt,25,34.0,664,408,319,254,91,232,659,35.2,427,5437,1696,31.2,1744,2400,1293,573,99,3,474,426,1090,699,10
Freiburg,24,34.0,500,298,224,206,70,141,503,28.0,362,5046,1356,26.9,1514,2323,1209,548,130,1,418,387,887,757,9
Hertha BSC,32,34.0,585,352,316,207,62,180,525,34.3,345,5427,1585,29.2,1877,2387,1163,581,97,2,484,409,994,869,16
Hoffenheim,30,34.0,590,355,278,232,80,201,558,36.0,357,4769,1573,33.0,1429,2120,1220,560,105,5,455,346,936,759,10
Köln,28,34.0,647,382,335,247,65,204,568,35.9,364,5101,1553,30.4,1831,2219,1051,558,113,3,445,427,1074,857,9
Leverkusen,30,34.0,558,342,248,237,73,176,519,33.9,343,4792,1602,33.4,1344,2280,1168,516,98,3,418,377,935,677,5
M'Gladbach,23,34.0,560,346,257,235,68,213,600,35.5,387,4816,1433,29.8,1391,2268,1157,610,133,4,477,455,1015,833,6
Mainz 05,31,34.0,688,405,329,256,103,208,592,35.1,384,5385,1686,31.3,1727,2411,1247,584,127,2,457,454,1142,941,9
RB Leipzig,25,34.0,586,352,233,265,88,157,482,32.6,325,5271,1778,33.7,1227,2523,1521,503,76,0,427,380,966,676,6
Schalke 04,42,34.0,626,375,326,242,58,196,582,33.7,386,5325,1572,29.5,2032,2328,965,617,160,2,457,467,1093,789,10
Stuttgart,29,34.0,570,350,288,207,75,205,555,36.9,350,4667,1442,30.9,1539,1923,1205,601,129,3,472,382,952,777,6
Union Berlin,27,34.0,585,349,298,230,57,189,502,37.6,313,4970,1580,31.8,1641,2370,959,529,104,2,425,428,1013,775,9
Werder Bremen,27,34.0,608,375,306,223,79,197,573,34.4,376,5537,1585,28.6,1949,2431,1157,609,113,0,496,477,1085,954,6
Wolfsburg,26,34.0,710,430,336,296,78,240,626,38.3,386,5830,1939,33.3,1708,2617,1505,622,96,3,526,461,1171,891,9
