Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Augsburg,27,34.0,605,392,304,242,59,201,562,35.8,361,5318,1525,28.7,1700,2444,1174,513,111,2,402,316,921,931,10
Bayern Munich,28,34.0,523,343,241,207,75,185,478,38.7,293,4692,1626,34.7,1302,2114,1276,420,85,4,335,272,795,548,3
Dortmund,30,34.0,601,395,279,251,71,178,518,34.4,340,5218,1654,31.7,1632,2310,1276,486,81,0,405,274,875,784,7
Eint Frankfurt,28,34.0,615,414,276,271,68,196,561,34.9,365,5946,1802,30.3,1786,2837,1323,561,108,5,453,292,907,832,6
Freiburg,29,34.0,543,334,262,233,48,167,492,33.9,325,6041,1584,26.2,1900,2891,1250,522,125,1,397,255,798,1031,10
Hamburger SV,29,34.0,644,394,334,250,60,194,620,31.3,426,5766,1810,31.4,1865,2660,1241,587,118,3,469,247,891,848,8
Hannover 96,26,34.0,619,365,333,230,56,207,683,30.3,476,5860,1711,29.2,2061,2718,1081,590,142,4,448,283,902,1024,8
Hertha BSC,25,34.0,588,358,293,247,48,159,446,35.7,287,6162,1636,26.5,2121,2937,1104,544,103,5,441,301,889,1010,6
Hoffenheim,26,34.0,617,390,291,259,67,194,559,34.7,365,6035,1819,30.1,2031,2896,1108,528,106,2,422,269,886,679,9
Köln,31,34.0,605,390,316,240,49,184,551,33.4,367,5574,1539,27.6,2125,2480,969,547,126,6,421,278,883,839,4
Leverkusen,24,34.0,560,371,273,229,58,207,591,35.0,384,5569,1761,31.6,1694,2728,1147,544,90,3,454,263,823,646,7
M'Gladbach,27,34.0,597,385,302,229,66,208,532,39.1,324,5136,1434,27.9,1701,2403,1032,562,114,3,448,250,847,805,8
Mainz 05,27,34.0,626,413,303,249,74,174,539,32.3,365,5876,1753,29.8,1910,2651,1315,616,126,4,490,300,926,905,7
RB Leipzig,23,34.0,605,373,286,238,81,181,575,31.5,394,5322,1716,32.2,1565,2493,1264,577,96,1,481,279,884,810,8
Schalke 04,24,34.0,670,434,314,282,74,205,581,35.3,376,5759,1753,30.4,1691,2782,1286,579,95,2,484,315,985,764,6
Stuttgart,26,34.0,606,388,311,235,60,187,507,36.9,320,6030,1745,28.9,1976,2823,1231,560,116,3,444,302,908,806,10
Werder Bremen,25,34.0,571,353,290,224,57,185,532,34.8,347,5351,1505,28.1,1616,2673,1062,428,87,1,341,282,853,836,6
Wolfsburg,29,34.0,528,325,292,184,52,163,490,33.3,327,5173,1431,27.7,1843,2320,1010,510,124,4,386,258,786,839,5
