Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,28,38.0,623,398,305,238,80,207,570,36.3,363,5649,1670,29.6,1812,2628,1209,570,127,2,443,411,1034,932,11
Bournemouth,28,38.0,547,341,290,196,61,173,496,34.9,323,5635,1462,25.9,2042,2427,1166,615,165,4,450,464,1011,1014,7
Brighton,21,38.0,712,439,396,226,90,205,587,34.9,382,5993,1675,27.9,2373,2494,1126,621,187,3,434,502,1214,975,10
Burnley,23,38.0,618,355,301,254,63,223,587,38.0,364,5615,1473,26.2,1899,2461,1255,739,241,9,498,501,1119,1207,16
Cardiff City,25,38.0,708,417,377,252,79,200,591,33.8,391,6793,1835,27.0,2534,3050,1209,654,164,6,490,610,1318,970,10
Chelsea,24,38.0,655,426,317,251,87,204,534,38.2,330,5454,1673,30.7,1715,2352,1387,501,83,3,418,443,1098,626,3
Crystal Palace,26,38.0,777,457,428,262,87,228,618,36.9,390,6102,1707,28.0,2539,2498,1065,691,174,1,517,544,1321,1025,11
Everton,23,38.0,777,458,389,283,105,216,568,38.0,352,6153,1895,30.8,2073,2731,1349,553,104,0,449,633,1410,1042,15
Fulham,28,38.0,649,411,356,240,53,201,537,37.4,336,5908,1654,28.0,2268,2594,1046,579,162,2,417,608,1257,1012,10
Huddersfield,31,38.0,763,430,366,310,87,224,691,32.4,467,6563,1860,28.3,2286,2972,1305,628,135,4,493,599,1362,842,9
Leicester City,25,38.0,730,438,394,264,72,214,568,37.7,354,6092,1861,30.5,2175,2681,1236,655,113,0,542,477,1207,996,11
Liverpool,23,38.0,617,380,265,257,95,193,571,33.8,378,5708,1815,31.8,1623,2499,1586,501,86,1,415,424,1041,711,10
Manchester City,21,38.0,529,359,212,229,88,182,498,36.5,316,5029,1595,31.7,1273,2300,1456,430,79,2,351,402,931,669,5
Manchester Utd,28,38.0,619,378,319,230,70,205,542,37.8,337,5682,1597,28.1,2010,2486,1186,588,140,0,448,438,1057,887,8
Newcastle Utd,24,38.0,736,431,398,269,69,223,640,34.8,417,6637,1765,26.6,2606,2893,1138,754,154,3,600,539,1275,1204,7
Southampton,30,38.0,753,437,374,276,103,219,648,33.8,429,6400,1893,29.6,2175,2801,1424,712,165,4,547,586,1339,1114,12
Tottenham,28,38.0,666,408,339,220,107,215,570,37.7,355,5030,1530,30.4,1689,2152,1189,559,130,4,429,441,1107,826,6
Watford,25,38.0,689,432,365,249,75,215,617,34.8,402,6203,1795,28.9,2289,2669,1245,611,131,1,480,504,1193,1002,4
West Ham,26,38.0,748,459,406,273,69,244,729,33.5,485,6054,1687,27.9,2393,2608,1053,648,152,2,496,584,1332,891,7
Wolves,21,38.0,750,425,395,287,68,277,721,38.4,444,5925,1665,28.1,2198,2740,987,647,160,1,487,479,1229,981,6
