Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,2,38,38,3417,38.0,47,1.24,109,66,61.5,23,9,6,11,28.9,8,5,3,0,37.5
Benevento,2,38,38,3420,38.0,75,1.97,175,108,59.4,7,12,19,7,18.4,5,4,1,0,20.0
Bologna,3,38,38,3420,38.0,65,1.71,187,128,69.0,10,11,17,5,13.2,9,7,2,0,22.2
Cagliari,2,38,38,3420,38.0,59,1.55,198,140,72.7,9,10,19,7,18.4,5,5,0,0,0.0
Crotone,3,38,38,3420,38.0,92,2.42,212,123,59.0,6,5,27,3,7.9,5,5,0,0,0.0
Fiorentina,2,38,38,3420,38.0,59,1.55,138,89,63.0,9,13,16,9,23.7,11,8,3,0,27.3
Genoa,3,38,38,3419,38.0,58,1.53,182,129,72.0,10,12,16,9,23.7,7,7,0,0,0.0
Hellas Verona,3,38,38,3420,38.0,48,1.26,139,97,69.8,10,12,15,6,15.8,7,6,0,1,0.0
Inter,3,38,38,3420,38.0,35,0.92,112,82,73.2,28,7,3,14,36.8,7,5,2,0,28.6
Juventus,3,38,38,3420,38.0,38,1.00,114,82,71.9,23,9,6,8,21.1,9,6,3,0,33.3
Lazio,2,38,38,3420,38.0,55,1.45,144,99,68.8,21,5,12,12,31.6,10,10,0,0,0.0
Milan,2,38,38,3420,38.0,41,1.08,131,94,71.0,24,7,7,14,36.8,5,3,1,1,25.0
Napoli,2,38,38,3420,38.0,41,1.08,118,83,69.5,24,5,9,14,36.8,5,5,0,0,0.0
Parma,2,38,38,3420,38.0,83,2.18,186,106,57.0,3,11,24,5,13.2,3,3,0,0,0.0
Roma,3,38,38,3420,38.0,55,1.45,161,113,68.9,18,8,11,11,28.9,6,5,1,0,16.7
Sampdoria,2,38,38,3420,38.0,54,1.42,166,118,71.7,15,7,16,7,18.4,9,7,2,0,22.2
Sassuolo,2,38,38,3420,38.0,56,1.47,181,128,71.3,17,11,10,8,21.1,5,4,1,0,20.0
Spezia,3,38,38,3420,38.0,72,1.89,169,105,62.7,9,12,17,5,13.2,10,9,1,0,10.0
Torino,3,38,38,3420,38.0,69,1.82,151,90,60.3,7,16,15,8,21.1,10,9,0,1,0.0
Udinese,4,38,38,3420,38.0,58,1.53,150,106,70.7,10,10,18,8,21.1,14,14,0,0,0.0
