Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,3,38,38,3420,38.0,46,1.21,132,93,68.2,20,9,9,9,23.7,5,4,0,1,0.0
Bologna,1,38,38,3420,38.0,56,1.47,173,121,69.9,11,11,16,10,26.3,4,4,0,0,0.0
Cagliari,1,38,38,3420,38.0,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20.0
Chievo,3,38,38,3420,38.0,75,1.97,210,139,65.2,2,14,22,7,18.4,4,2,2,0,50.0
Empoli,3,38,38,3420,38.0,70,1.84,226,164,71.7,10,8,20,5,13.2,8,6,1,1,14.3
Fiorentina,3,38,38,3420,38.0,45,1.18,136,98,70.6,8,17,13,9,23.7,6,5,1,0,16.7
Frosinone,2,38,38,3420,38.0,69,1.82,209,146,69.4,5,10,23,9,23.7,5,5,0,0,0.0
Genoa,3,38,38,3420,38.0,57,1.50,163,112,68.1,8,14,16,7,18.4,6,5,1,0,16.7
Inter,1,38,38,3420,38.0,33,0.87,128,101,76.6,20,9,9,17,44.7,5,3,0,2,0.0
Juventus,3,38,38,3420,38.0,30,0.79,107,79,73.8,28,6,4,16,42.1,4,2,1,1,33.3
Lazio,3,38,38,3420,38.0,46,1.21,147,107,72.1,17,8,13,10,26.3,7,5,2,0,28.6
Milan,2,38,38,3420,38.0,36,0.95,133,102,75.9,19,11,8,12,31.6,5,4,1,0,20.0
Napoli,3,38,38,3417,38.0,36,0.95,135,103,76.3,24,7,7,14,36.8,4,4,0,0,0.0
Parma,2,38,38,3420,38.0,61,1.61,200,151,73.5,10,11,17,10,26.3,8,8,0,0,0.0
Roma,2,38,38,3420,38.0,48,1.26,160,115,72.5,18,12,8,10,26.3,7,4,1,2,20.0
Sampdoria,2,38,38,3420,38.0,51,1.34,144,100,69.4,15,8,15,13,34.2,8,7,1,0,12.5
Sassuolo,2,38,38,3415,38.0,60,1.58,156,102,64.1,9,16,13,12,31.6,8,4,3,1,42.9
SPAL,4,38,38,3417,38.0,56,1.47,174,122,70.7,11,9,18,10,26.3,5,5,0,0,0.0
Torino,2,38,38,3420,38.0,37,0.97,144,110,76.4,16,15,7,15,39.5,5,3,2,0,40.0
Udinese,2,38,38,3420,38.0,53,1.39,169,125,74.0,11,10,17,9,23.7,9,9,0,0,0.0
