Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,2,34,34,3060,34.0,46,1.35,165,121,73.3,10,11,13,9,26.5,3,2,1,0,33.3
Bayern Munich,3,34,34,3060,34.0,28,0.82,93,69,71.0,27,3,4,16,47.1,5,1,4,0,80.0
Dortmund,2,34,34,3060,34.0,47,1.38,147,102,69.4,15,10,9,12,35.3,2,2,0,0,0.0
Eint Frankfurt,1,34,34,3060,34.0,45,1.32,133,91,67.7,14,7,13,7,20.6,3,2,0,1,0.0
Freiburg,2,34,34,3060,34.0,56,1.65,149,101,65.1,8,12,14,9,26.5,5,4,0,1,0.0
Hamburger SV,2,34,34,3060,34.0,53,1.56,140,89,64.3,8,7,19,7,20.6,4,3,0,1,0.0
Hannover 96,2,34,34,3060,34.0,54,1.59,173,119,69.9,10,9,15,5,14.7,4,2,0,2,0.0
Hertha BSC,2,34,34,3060,34.0,46,1.35,142,103,71.8,10,13,11,8,23.5,7,6,0,1,0.0
Hoffenheim,1,34,34,3060,34.0,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25.0
Köln,1,34,34,3060,34.0,70,2.06,197,135,68.5,5,7,22,5,14.7,9,8,1,0,11.1
Leverkusen,2,34,34,3060,34.0,44,1.29,111,71,64.9,15,10,9,10,29.4,6,5,1,0,16.7
M'Gladbach,2,34,34,3060,34.0,52,1.53,169,120,71.6,13,8,13,7,20.6,4,4,0,0,0.0
Mainz 05,3,34,34,3060,34.0,52,1.53,136,89,65.4,9,9,16,7,20.6,7,5,1,1,16.7
RB Leipzig,2,34,34,3060,34.0,53,1.56,147,98,67.3,15,8,11,6,17.6,5,5,0,0,0.0
Schalke 04,2,34,34,3060,34.0,37,1.09,123,89,72.4,18,9,7,13,38.2,6,3,2,1,40.0
Stuttgart,1,34,34,3060,34.0,36,1.06,146,113,78.1,15,6,13,12,35.3,6,4,2,0,33.3
Werder Bremen,1,34,34,3060,34.0,40,1.18,157,119,75.8,10,12,12,8,23.5,4,2,1,1,33.3
Wolfsburg,1,34,34,3060,34.0,48,1.41,143,102,70.6,6,15,13,8,23.5,10,6,3,1,33.3
