Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,3,38,38,3420,38.0,39,1.03,118,80,67.8,16,12,10,11,28.9,2,1,1,0,50.0
Benevento,3,38,38,3418,38.0,89,2.34,203,130,61.1,6,3,29,4,10.5,13,10,0,3,0.0
Bologna,3,38,38,3420,38.0,52,1.37,164,116,70.1,11,6,21,8,21.1,4,3,0,1,0.0
Cagliari,3,38,38,3420,38.0,61,1.61,162,108,67.3,11,6,21,8,21.1,12,8,2,2,20.0
Chievo,1,38,38,3420,38.0,59,1.55,180,126,69.4,10,10,18,7,18.4,8,4,3,1,42.9
Crotone,1,38,38,3420,38.0,66,1.74,199,138,69.8,9,8,21,5,13.2,8,6,1,1,14.3
Fiorentina,2,38,38,3419,38.0,46,1.21,152,105,71.1,16,9,13,14,36.8,3,2,1,0,33.3
Genoa,2,38,38,3420,38.0,43,1.13,170,133,77.1,11,8,19,12,31.6,4,4,0,0,0.0
Hellas Verona,2,38,38,3420,38.0,78,2.05,257,186,72.0,7,4,27,7,18.4,8,6,2,0,25.0
Inter,1,38,38,3420,38.0,30,0.79,119,94,76.5,20,12,6,17,44.7,2,2,0,0,0.0
Juventus,3,38,38,3420,38.0,24,0.63,94,73,77.7,30,5,3,22,57.9,4,3,1,0,25.0
Lazio,1,38,38,3420,38.0,49,1.29,153,112,73.9,21,9,8,11,28.9,11,9,1,1,10.0
Milan,1,38,38,3420,38.0,42,1.11,131,92,69.5,18,10,10,12,31.6,3,2,0,1,0.0
Napoli,2,38,38,3420,38.0,29,0.76,99,71,72.7,28,7,3,19,50.0,2,2,0,0,0.0
Roma,2,38,38,3420,38.0,28,0.74,138,110,81.9,23,8,7,18,47.4,5,3,2,0,40.0
Sampdoria,3,38,38,3420,38.0,60,1.58,193,140,72.0,16,6,16,9,23.7,10,6,4,0,40.0
Sassuolo,2,38,38,3420,38.0,59,1.55,177,122,67.8,11,10,17,10,26.3,3,2,1,0,33.3
SPAL,3,38,38,3420,38.0,59,1.55,192,144,74.0,8,14,16,7,18.4,13,9,3,1,25.0
Torino,2,38,38,3420,38.0,46,1.21,164,123,75.0,13,15,10,10,26.3,8,5,3,0,37.5
Udinese,2,38,38,3420,38.0,63,1.66,163,107,62.6,12,4,22,9,23.7,6,2,3,1,60.0
