Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arminia,1,34,34,3060,34.0,52,1.53,166,119,71.7,9,8,17,11,32.4,6,5,1,0,16.7
Augsburg,1,34,34,3060,34.0,55,1.62,172,124,71.5,10,6,18,7,20.6,10,6,2,2,25.0
Bayern Munich,2,34,34,3060,34.0,44,1.29,130,85,66.9,24,6,4,9,26.5,3,1,1,1,50.0
Dortmund,2,34,34,3060,34.0,46,1.35,131,90,69.5,20,4,10,11,32.4,6,6,0,0,0.0
Eint Frankfurt,2,34,34,3060,34.0,53,1.56,149,102,67.1,16,12,6,4,11.8,6,4,1,1,20.0
Freiburg,2,34,34,3060,34.0,52,1.53,168,122,71.4,12,9,13,6,17.6,6,4,1,1,20.0
Hertha BSC,2,34,34,3060,34.0,52,1.53,134,90,66.4,8,11,15,9,26.5,8,7,1,0,12.5
Hoffenheim,2,34,34,3060,34.0,54,1.59,139,91,65.5,11,10,13,6,17.6,9,6,2,1,25.0
Köln,2,36,36,3060,34.0,60,1.76,152,100,65.8,8,9,17,5,13.9,9,8,1,0,11.1
Leverkusen,3,34,34,3060,34.0,39,1.15,110,74,65.5,14,10,10,9,26.5,2,1,1,0,50.0
M'Gladbach,2,34,34,3056,34.0,56,1.65,143,91,65.0,13,10,11,7,20.6,6,6,0,0,0.0
Mainz 05,2,34,34,3060,34.0,56,1.65,155,104,67.7,10,9,15,5,14.7,7,6,0,1,0.0
RB Leipzig,2,34,34,3060,34.0,32,0.94,81,50,64.2,19,8,7,15,44.1,3,3,0,0,0.0
Schalke 04,3,34,34,3060,34.0,86,2.53,227,153,65.2,3,7,24,4,11.8,8,7,1,0,12.5
Stuttgart,2,34,34,3060,34.0,55,1.62,164,113,69.5,12,9,13,5,14.7,7,5,2,0,28.6
Union Berlin,2,34,34,3060,34.0,43,1.26,128,89,69.5,12,14,8,7,20.6,5,4,1,0,20.0
Werder Bremen,1,34,34,3060,34.0,57,1.68,150,100,64.7,7,10,17,6,17.6,6,4,2,0,33.3
Wolfsburg,2,34,34,3060,34.0,37,1.09,115,81,70.4,17,10,7,14,41.2,5,3,2,0,40.0
