Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Arsenal,28,38.0,772,20.32,614,48,42,31,22,15,112,2.95,91,5,4,5,6,1
Bournemouth,28,38.0,674,17.74,484,62,39,28,48,13,98,2.58,63,7,8,6,11,3
Brighton,21,38.0,578,15.21,392,75,30,31,38,12,54,1.42,28,8,2,8,7,1
Burnley,23,38.0,527,13.87,346,78,15,41,38,9,62,1.63,41,7,1,10,2,1
Cardiff City,25,38.0,576,15.16,376,78,30,43,40,9,50,1.32,34,4,3,7,2,0
Chelsea,24,38.0,1013,26.66,791,61,55,38,53,15,111,2.92,78,6,11,7,7,2
Crystal Palace,26,38.0,757,19.92,531,65,61,47,41,12,83,2.18,48,6,7,8,12,2
Everton,23,38.0,732,19.26,478,82,52,49,51,20,81,2.13,53,4,11,10,2,1
Fulham,28,38.0,714,18.79,540,63,41,40,21,9,58,1.53,42,3,6,4,3,0
Huddersfield,31,38.0,596,15.68,422,68,21,29,32,24,31,0.82,21,5,0,2,2,1
Leicester City,25,38.0,767,20.18,535,75,50,43,42,22,80,2.11,55,2,7,6,9,1
Liverpool,23,38.0,910,23.95,666,71,72,45,41,15,136,3.58,95,9,10,9,10,3
Manchester City,21,38.0,1092,28.74,836,65,73,56,43,19,159,4.18,126,5,11,4,9,4
Manchester Utd,28,38.0,846,22.26,637,53,49,41,51,15,111,2.92,78,2,10,9,10,2
Newcastle Utd,24,38.0,638,16.79,468,56,39,28,30,17,60,1.58,43,4,1,8,2,2
Southampton,30,38.0,723,19.03,506,63,41,51,44,18,66,1.74,48,1,3,5,7,2
Tottenham,28,38.0,849,22.34,607,71,60,46,44,21,104,2.74,71,7,7,10,8,1
Watford,25,38.0,649,17.08,468,51,43,28,39,20,81,2.13,53,8,11,3,3,3
West Ham,26,38.0,687,18.08,476,78,31,48,37,17,80,2.11,55,5,3,9,7,1
Wolves,21,38.0,709,18.66,519,62,42,39,33,14,80,2.11,58,6,2,6,8,0
