Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Alavés,32,38.0,465,12.24,295,72,20,27,40,11,53,1.39,31,7,1,6,7,1
Athletic Club,26,38.0,585,15.39,384,74,42,26,47,12,57,1.50,38,3,3,5,8,0
Atlético Madrid,30,38.0,710,18.68,491,83,39,43,44,10,79,2.08,53,6,8,5,7,0
Barcelona,28,38.0,878,23.11,663,39,78,28,62,8,149,3.92,113,6,12,5,12,1
Betis,27,38.0,773,20.34,575,54,54,30,39,21,78,2.05,54,4,5,6,6,3
Celta Vigo,30,38.0,598,15.74,432,50,38,25,43,10,65,1.71,40,4,7,4,10,0
Eibar,26,38.0,604,15.89,390,78,35,38,44,19,55,1.45,32,4,3,6,8,2
Espanyol,31,38.0,592,15.58,402,71,34,35,41,9,39,1.03,25,4,2,5,3,0
Getafe,30,38.0,610,16.05,411,73,33,24,59,10,73,1.92,44,6,11,4,7,1
Granada,27,38.0,567,14.92,370,75,27,30,48,17,77,2.03,44,7,3,8,9,6
Leganés,29,38.0,613,16.13,418,66,44,32,46,7,49,1.29,34,3,1,3,7,1
Levante,29,38.0,674,17.74,492,56,42,29,39,16,77,2.03,53,3,6,6,8,1
Mallorca,32,38.0,659,17.34,458,68,44,26,58,5,63,1.66,39,1,7,5,11,0
Osasuna,31,38.0,700,18.42,504,84,31,33,34,14,68,1.79,46,7,2,5,5,3
Real Madrid,26,38.0,917,24.13,708,63,56,34,40,16,120,3.16,87,6,5,4,17,1
Real Sociedad,27,38.0,684,18.00,512,58,36,26,38,14,88,2.32,62,5,5,7,3,6
Sevilla,26,38.0,740,19.47,536,71,49,34,40,10,85,2.24,56,7,8,5,8,1
Valencia,28,38.0,548,14.42,397,52,31,14,43,11,77,2.03,55,4,9,1,8,0
Valladolid,30,38.0,584,15.37,407,44,44,24,53,12,53,1.39,33,2,3,6,7,2
Villarreal,25,38.0,783,20.61,590,56,48,36,39,14,106,2.79,70,2,9,11,13,1
