Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Atalanta,30,38.0,1027,27.03,787,62,63,52,45,18,154,4.05,120,7,12,7,5,3
Benevento,29,38.0,621,16.34,444,63,30,35,34,15,61,1.61,39,7,3,4,5,3
Bologna,37,38.0,787,20.71,576,64,42,42,42,21,76,2.00,57,5,1,6,4,3
Cagliari,32,38.0,657,17.29,461,67,33,47,36,13,72,1.89,49,4,4,9,5,1
Crotone,31,38.0,583,15.34,414,49,47,23,33,17,73,1.92,43,6,9,4,8,3
Fiorentina,30,38.0,559,14.71,399,58,33,22,39,8,73,1.92,51,4,3,8,7,0
Genoa,34,38.0,528,13.89,396,34,29,25,25,19,65,1.71,52,3,2,4,2,2
Hellas Verona,32,38.0,625,16.45,444,69,29,26,44,13,72,1.89,53,3,5,5,6,0
Inter,25,38.0,876,23.05,676,66,36,42,41,15,141,3.71,111,7,4,9,9,1
Juventus,30,38.0,1000,26.32,726,80,68,59,47,20,135,3.55,98,4,8,14,6,5
Lazio,30,38.0,850,22.37,660,47,43,45,36,19,100,2.63,71,1,7,10,8,3
Milan,29,38.0,898,23.63,630,82,49,55,67,15,128,3.37,82,10,7,9,16,4
Napoli,25,38.0,1050,27.63,771,62,72,57,53,35,138,3.63,86,6,18,11,14,3
Parma,42,38.0,628,16.53,449,58,44,30,35,12,67,1.76,50,3,5,3,6,0
Roma,31,38.0,866,22.79,628,67,49,59,34,29,116,3.05,83,9,8,7,7,2
Sampdoria,27,38.0,637,16.76,446,64,27,42,36,22,82,2.16,52,7,7,9,4,3
Sassuolo,28,38.0,857,22.55,640,57,52,37,54,17,99,2.61,65,6,5,7,15,1
Spezia,35,38.0,599,15.76,436,46,33,39,27,18,79,2.08,50,6,4,12,6,1
Torino,29,38.0,691,18.18,441,72,40,48,62,28,76,2.00,44,6,2,12,9,3
Udinese,33,38.0,622,16.37,450,53,41,27,36,15,74,1.95,50,4,8,4,5,3
