Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Arsenal,30,38.0,937,24.66,733,46,54,45,49,10,119,3.13,89,7,5,11,7,0
Bournemouth,22,38.0,709,18.66,515,72,41,32,34,15,74,1.95,46,9,5,6,6,2
Brighton,24,38.0,569,14.97,407,69,29,28,28,8,57,1.50,40,3,4,4,6,0
Burnley,24,38.0,577,15.18,366,86,34,41,41,9,55,1.45,35,4,3,12,1,0
Chelsea,26,38.0,1006,26.47,765,77,58,41,44,21,92,2.42,73,6,3,3,7,0
Crystal Palace,28,38.0,720,18.95,479,74,56,41,52,18,76,2.00,49,3,5,9,9,1
Everton,30,38.0,559,14.71,393,58,26,30,36,16,68,1.79,42,2,4,9,7,4
Huddersfield,25,38.0,515,13.55,381,38,26,21,30,19,43,1.13,30,3,4,3,3,0
Leicester City,27,38.0,600,15.79,422,62,41,29,32,14,87,2.29,62,6,5,3,7,4
Liverpool,27,38.0,1019,26.82,767,63,73,51,43,22,127,3.34,88,4,17,8,6,4
Manchester City,25,38.0,1103,29.03,868,72,49,41,55,18,188,4.95,151,9,10,7,10,1
Manchester Utd,27,38.0,803,21.13,614,47,49,39,41,13,108,2.84,79,4,8,11,5,1
Newcastle Utd,27,38.0,667,17.55,477,62,39,39,26,24,57,1.50,38,6,3,9,1,0
Southampton,26,38.0,685,18.03,511,61,43,28,27,15,65,1.71,44,3,5,5,7,1
Stoke City,30,38.0,580,15.26,404,56,37,37,33,13,60,1.58,38,8,3,5,5,1
Swansea City,26,38.0,459,12.08,309,43,44,25,24,14,34,0.89,19,5,1,6,1,2
Tottenham,25,38.0,964,25.37,710,71,51,56,54,22,109,2.87,75,9,6,11,7,1
Watford,29,38.0,653,17.18,454,62,45,35,39,18,62,1.63,34,6,6,8,5,3
West Brom,24,38.0,563,14.82,379,71,30,31,32,20,48,1.26,31,6,3,4,3,1
West Ham,27,38.0,565,14.87,394,57,47,15,42,10,74,1.95,47,5,8,7,5,2
