Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Alavés,26,38.0,590,15.53,375,77,40,36,47,15,59,1.55,36,7,3,7,5,1
Athletic Club,27,38.0,575,15.13,400,62,35,33,32,13,61,1.61,40,3,3,7,6,2
Atlético Madrid,29,38.0,709,18.66,513,67,40,32,47,10,83,2.18,58,3,5,11,5,1
Barcelona,30,38.0,947,24.92,707,38,80,38,72,12,155,4.08,112,5,12,9,15,2
Betis,25,38.0,721,18.97,537,45,44,22,64,9,78,2.05,60,0,6,5,7,0
Celta Vigo,28,38.0,736,19.37,534,49,56,38,49,10,89,2.34,64,4,5,6,10,0
Eibar,25,38.0,774,20.37,526,97,54,28,52,17,70,1.84,48,6,3,6,6,1
Espanyol,25,38.0,733,19.29,529,48,45,54,42,15,66,1.74,45,2,1,11,5,2
Getafe,26,38.0,588,15.47,369,85,41,26,51,16,72,1.89,46,6,7,4,9,0
Girona,26,38.0,607,15.97,399,74,41,35,55,3,64,1.68,42,5,2,7,7,1
Huesca,30,38.0,702,18.47,467,80,47,48,40,20,63,1.66,34,7,4,9,8,1
Leganés,29,38.0,610,16.05,432,70,32,25,38,13,54,1.42,38,6,3,5,2,0
Levante,26,38.0,637,16.76,435,51,58,25,55,13,89,2.34,55,11,9,5,9,0
Rayo Vallecano,29,38.0,716,18.84,491,74,48,40,42,21,62,1.63,44,3,1,7,7,0
Real Madrid,27,38.0,975,25.66,727,71,65,49,46,17,103,2.71,66,6,7,12,10,2
Real Sociedad,30,38.0,660,17.37,464,61,44,36,41,14,71,1.87,44,5,3,7,10,2
Sevilla,27,38.0,812,21.37,622,57,51,30,35,17,106,2.79,80,4,8,8,5,1
Valencia,25,38.0,763,20.08,564,67,43,35,43,11,85,2.24,61,6,5,5,7,1
Valladolid,28,38.0,645,16.97,452,62,43,26,49,13,48,1.26,31,4,3,2,8,0
Villarreal,26,38.0,756,19.89,545,63,58,43,26,21,75,1.97,45,7,7,10,4,2
