Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Augsburg,28,34.0,524,15.41,336,60,41,30,43,14,67,1.97,42,3,7,4,8,3
Bayern Munich,29,34.0,1013,29.79,777,70,60,46,35,25,168,4.94,129,7,12,7,9,4
Dortmund,27,34.0,732,21.53,556,58,49,40,23,6,153,4.50,128,5,12,6,1,1
Düsseldorf,28,34.0,631,18.56,416,70,50,28,49,18,56,1.65,40,6,3,3,4,0
Eint Frankfurt,27,34.0,755,22.21,517,84,51,52,39,12,94,2.76,57,15,7,12,2,1
Freiburg,26,34.0,671,19.74,449,83,40,37,53,9,72,2.12,36,9,7,5,13,2
Hertha BSC,32,34.0,564,16.59,390,57,46,29,31,11,77,2.26,49,7,11,6,4,0
Hoffenheim,31,34.0,709,20.85,481,76,49,43,49,11,81,2.38,53,7,7,10,3,1
Köln,29,34.0,639,18.79,438,73,41,34,41,12,79,2.32,49,7,8,8,7,0
Leverkusen,24,34.0,780,22.94,568,81,55,41,25,10,103,3.03,76,8,9,4,5,1
M'Gladbach,25,34.0,758,22.29,540,58,51,37,56,16,113,3.32,83,7,6,5,8,4
Mainz 05,25,34.0,681,20.03,483,71,60,25,38,4,71,2.09,49,5,8,5,4,0
Paderborn 07,27,34.0,647,19.03,441,62,55,34,37,18,57,1.68,37,3,5,9,2,1
RB Leipzig,29,34.0,895,26.32,674,66,57,47,37,14,134,3.94,91,9,16,9,7,2
Schalke 04,29,34.0,588,17.29,397,67,42,34,37,11,57,1.68,42,5,4,1,4,1
Union Berlin,26,34.0,540,15.88,363,67,35,36,29,10,59,1.74,33,8,3,8,6,1
Werder Bremen,30,34.0,667,19.62,467,61,42,42,32,23,69,2.03,41,4,4,11,5,4
Wolfsburg,26,34.0,709,20.85,482,82,50,45,40,10,76,2.24,48,5,8,7,8,0
