Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Alavés,32,38.0,13753,11751,2002,544,25,2598,458,373,136,42,51,11,6874,2348,4531,4294,6628,1070,876,203,9724,58,408,199,385
Athletic Club,26,38.0,16607,14664,1943,518,30,2732,652,474,178,60,63,22,9260,3033,4314,4000,9898,929,874,277,12589,70,437,210,417
Atlético Madrid,30,38.0,17595,15679,1916,514,49,2731,429,420,183,46,86,20,10695,2609,4291,4090,10967,914,836,226,13709,100,314,222,420
Barcelona,28,38.0,28212,26484,1728,576,109,3916,571,362,185,90,30,3,21537,3652,3023,10123,16258,640,637,307,24981,78,259,419,509
Betis,27,38.0,19618,17546,2072,701,35,3058,632,454,185,53,50,9,13183,2895,3540,7646,9874,674,802,275,16291,67,336,222,463
Celta Vigo,30,38.0,18402,16451,1951,598,30,3381,495,414,176,51,70,22,11967,2691,3744,5916,10346,692,750,240,14692,60,317,239,504
Eibar,26,38.0,15315,13212,2103,539,16,2740,711,556,189,71,87,12,6949,2787,5579,3509,8562,1239,1012,220,10623,64,515,171,426
Espanyol,31,38.0,16181,14262,1919,551,36,2533,519,441,155,49,63,19,8778,2859,4544,4884,8689,968,803,242,12032,53,406,203,427
Getafe,30,38.0,13358,11109,2249,642,12,2476,620,558,183,39,66,9,5274,2821,5263,3437,6677,1205,1092,128,8444,97,448,196,544
Granada,27,38.0,13965,11990,1975,583,18,2640,530,405,162,54,55,15,7190,2429,4346,3782,7685,852,822,219,9933,56,454,188,458
Leganés,29,38.0,14585,12591,1994,569,28,2460,577,521,157,36,85,10,7346,2604,4635,4206,7742,927,885,244,10467,69,417,201,415
Levante,29,38.0,16087,14156,1931,546,52,2468,626,444,189,75,47,19,9578,2893,3616,4417,9649,677,748,274,12463,78,391,187,431
Mallorca,32,38.0,15603,13645,1958,576,10,3022,452,454,171,58,57,11,9363,2527,3713,3421,9881,699,789,302,11932,51,345,224,455
Osasuna,31,38.0,15680,13644,2036,533,31,2645,629,533,179,62,71,7,7507,3255,4918,4783,7853,1162,925,254,11102,67,448,226,487
Real Madrid,26,38.0,23814,21985,1829,539,58,3105,1052,608,193,43,70,12,16697,3193,3924,5513,16135,707,785,378,20329,68,352,302,479
Real Sociedad,27,38.0,19938,17963,1975,600,35,3360,485,488,180,84,35,16,13156,2890,3892,7018,10366,877,868,231,16055,68,377,279,508
Sevilla,26,38.0,21508,19538,1970,552,46,2923,952,634,229,68,86,6,13919,3382,4207,4827,14267,827,835,291,17667,78,414,253,526
Valencia,28,38.0,18059,16180,1879,595,24,2741,651,485,169,49,74,13,11646,2641,3772,4544,11484,648,687,322,14565,90,370,236,373
Valladolid,30,38.0,15246,13252,1994,582,28,2566,601,450,161,53,51,16,8442,2604,4200,4257,8683,814,804,230,11236,67,405,197,425
Villarreal,25,38.0,19925,18049,1876,511,47,2792,747,467,147,40,58,12,12949,3052,3924,7290,10444,761,804,277,16361,65,336,247,425
