Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,25,38.0,20966,19111,1855,473,21,3404,731,489,228,59,68,19,13731,2959,4276,5773,12867,829,828,279,16813,68,441,375,510
Benevento,41,38.0,17812,16066,1746,490,16,2907,509,422,163,48,24,12,11931,2262,3619,6316,9705,544,665,281,14168,75,370,257,428
Bologna,30,38.0,17603,15743,1860,496,17,2899,538,303,149,79,10,10,10643,2690,4270,4608,10553,891,787,262,13639,60,422,262,459
Cagliari,29,38.0,16636,14680,1956,496,13,2616,554,446,177,44,54,13,8712,2708,5216,3436,10462,1014,835,319,12167,75,394,246,431
Chievo,25,38.0,16824,14979,1845,498,10,2494,588,522,146,52,31,24,9444,2571,4809,4053,10436,869,749,294,12575,95,374,244,417
Crotone,29,38.0,14840,13039,1801,472,9,2431,410,391,132,49,13,14,7272,2781,4787,5191,7112,1006,766,212,10311,77,412,234,486
Fiorentina,27,38.0,19375,17622,1753,421,22,2972,558,486,210,30,79,21,12230,2967,4178,5625,11372,896,802,283,15290,69,415,266,460
Genoa,33,38.0,17522,15699,1823,462,20,2485,493,464,179,54,34,16,10565,2366,4591,6313,8842,884,777,236,13218,79,391,286,480
Hellas Verona,32,38.0,15515,13725,1790,411,8,2432,581,405,139,23,33,16,8526,2826,4163,4572,8689,781,748,325,11493,69,405,244,457
Inter,22,38.0,22639,20919,1720,387,21,3462,636,691,275,59,55,37,15709,3085,3845,4231,16232,782,726,364,18750,83,334,332,489
Juventus,24,38.0,23398,21895,1503,423,25,3135,917,484,175,21,46,12,16564,3083,3751,8817,12579,788,661,256,20058,73,297,264,428
Lazio,24,38.0,20211,18624,1587,342,42,3064,616,489,212,41,41,9,13516,2770,3925,4247,13804,840,697,306,16308,87,316,325,501
Milan,23,38.0,21543,19913,1630,445,19,3428,691,579,239,42,25,15,15038,2317,4188,6180,13449,722,682,245,17744,73,345,313,458
Napoli,23,38.0,29004,27360,1644,361,55,3884,674,472,236,54,20,33,21142,4307,3555,6460,20370,833,792,288,24985,72,382,456,522
Roma,27,38.0,21399,19701,1698,418,41,3211,700,624,261,45,30,9,14338,2929,4132,7233,11806,862,773,315,17296,60,424,317,519
Sampdoria,27,38.0,20144,18275,1869,546,24,2929,546,464,220,64,52,23,13073,2841,4230,6568,11412,820,748,245,16148,45,311,315,468
Sassuolo,28,38.0,15749,13879,1870,546,17,2499,554,490,193,50,32,12,8523,2540,4686,5739,7612,929,770,244,11497,70,406,257,488
SPAL,29,38.0,16025,14112,1913,632,17,2782,496,413,172,47,53,13,9514,2236,4275,4297,9639,743,701,231,12214,82,338,193,436
Torino,27,38.0,18316,16416,1900,516,19,3042,601,418,167,41,30,10,11370,2714,4232,4983,10921,830,859,299,14425,63,398,252,487
Udinese,27,38.0,16647,14800,1847,422,21,2249,471,459,175,41,42,13,10034,2353,4260,6066,8246,835,852,271,12619,46,352,242,413
