Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Angers,31,38.0,18713,16805,1908,555,42,2441,506,401,169,55,78,15,12885,2278,3550,6767,9941,549,820,307,15128,31,287,428,415
Bordeaux,28,38.0,19434,17526,1908,537,26,2642,536,373,175,69,43,27,13889,2254,3291,6144,11196,637,810,223,16031,37,313,360,421
Brest,26,38.0,19278,17342,1936,495,27,2453,594,488,179,89,35,13,12932,2600,3746,5306,11693,633,853,241,15584,55,382,381,427
Dijon,33,38.0,17866,15934,1932,497,23,2375,492,319,146,66,68,6,12194,2259,3413,4569,11161,650,829,290,14134,50,334,417,431
Lens,27,38.0,18909,17076,1833,494,27,2549,612,475,193,95,57,14,13248,2222,3439,5412,11336,688,785,219,15307,46,355,381,451
Lille,21,38.0,21792,20004,1788,461,47,2506,601,367,184,75,85,16,15765,2514,3513,7068,12486,705,843,296,18028,59,298,495,447
Lorient,27,38.0,17012,15142,1870,481,33,2465,466,353,176,66,68,19,11169,2396,3447,3830,11183,608,802,229,13405,44,386,421,398
Lyon,29,38.0,21299,19445,1854,479,56,2705,537,515,232,49,86,14,15833,2351,3115,5034,14227,579,812,276,17819,56,289,481,483
Marseille,31,38.0,20480,18509,1971,576,33,2402,592,446,174,93,59,12,14144,2614,3722,5766,12469,694,841,280,16646,46,355,421,456
Metz,27,38.0,16773,14996,1777,501,25,2357,594,431,160,44,68,10,11144,2111,3518,3033,11735,607,712,272,13269,44,356,332,369
Monaco,30,38.0,21885,20003,1882,519,59,2748,648,469,218,92,85,15,15692,2397,3796,6323,13350,696,822,238,17905,63,345,408,442
Montpellier,25,38.0,16555,14652,1903,484,27,2172,647,490,184,66,94,15,9997,2377,4181,3660,10513,713,810,359,12879,42,331,327,457
Nantes,25,38.0,16380,14438,1942,569,22,2123,463,414,178,87,70,15,10465,2165,3750,4948,9083,785,844,221,12440,48,353,364,442
Nice,31,38.0,21525,19716,1809,492,27,2815,595,404,168,80,51,7,16422,2335,2768,5266,14485,484,757,256,18220,37,346,449,414
Nîmes,33,38.0,16683,14614,2069,593,32,1925,644,389,161,68,59,17,10673,2411,3599,4397,10121,603,898,208,12874,46,376,365,409
Paris S-G,33,38.0,26067,24426,1641,459,92,2707,455,539,219,103,47,6,21349,2324,2394,9214,15233,474,669,266,23091,58,252,507,373
Reims,29,38.0,17171,15367,1804,457,23,2035,554,315,145,62,60,10,11703,2217,3251,5055,10252,509,759,243,13704,54,362,406,337
Rennes,32,38.0,23827,21960,1867,527,36,2814,634,515,198,84,89,8,17818,2636,3373,7668,13904,749,804,277,20158,28,312,458,494
Saint-Étienne,40,38.0,17582,15546,2036,528,22,2412,635,451,191,73,79,18,11614,2294,3674,4950,10261,724,946,260,13803,39,432,383,451
Strasbourg,26,38.0,17085,15200,1885,456,27,2537,736,479,165,65,65,15,10380,2553,4152,5087,9650,662,872,267,13300,33,341,357,468
