Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,30,38.0,21650,19792,1858,574,50,3290,562,486,248,69,116,31,15276,2960,3414,6428,13169,665,713,282,18078,39,320,272,487
Bologna,31,38.0,18276,16296,1980,618,37,2905,503,468,228,131,26,23,12220,2500,3556,4700,11420,692,737,302,14641,77,344,274,494
Brescia,32,38.0,14650,12578,2072,649,17,2415,521,428,160,23,76,23,8448,2573,3629,3575,9086,557,781,321,11010,60,335,265,460
Cagliari,33,38.0,16870,14943,1927,566,28,2380,576,488,154,50,61,22,10195,2570,4105,4371,10530,621,750,261,13303,49,321,224,432
Fiorentina,33,38.0,17131,15272,1859,575,32,2622,590,467,211,67,94,20,11298,2482,3351,4350,10941,530,705,331,13792,37,316,235,445
Genoa,34,38.0,18085,16124,1961,559,21,3162,531,486,166,40,71,12,11736,2523,3826,4305,11625,647,783,265,14405,49,259,223,480
Hellas Verona,30,38.0,17453,15523,1930,560,38,2947,438,495,207,87,87,24,10511,2909,4033,4830,10404,795,730,189,13381,85,380,257,500
Inter,29,38.0,20754,18987,1767,471,40,3014,668,542,234,79,55,25,14000,3273,3481,4972,13863,565,700,355,17321,85,242,279,526
Juventus,30,38.0,23375,21586,1789,511,55,3134,701,440,235,67,93,23,17145,3291,2939,7967,13608,494,711,347,20306,67,271,260,487
Lazio,27,38.0,19310,17661,1649,449,60,2832,642,512,218,72,88,19,13312,2736,3262,5112,12440,589,608,262,16035,61,224,287,447
Lecce,30,38.0,17086,15243,1843,568,20,2578,598,582,183,7,31,6,10731,2698,3657,5775,9595,487,594,330,13757,59,252,242,455
Milan,32,38.0,20763,18897,1866,552,40,3059,526,505,208,81,76,7,14114,3114,3535,8213,10506,588,743,298,17281,52,260,302,438
Napoli,25,38.0,24509,22647,1862,606,54,3587,690,576,222,72,97,13,17943,3383,3183,7993,14803,504,709,270,21244,43,267,285,514
Parma,25,38.0,15701,13798,1903,527,31,2320,623,419,165,68,49,20,9392,2500,3809,4939,8827,570,734,209,12330,54,304,273,400
Roma,31,38.0,19367,17576,1791,527,61,3043,634,492,265,60,137,26,13431,2607,3329,4963,12579,525,662,295,16108,36,285,246,449
Sampdoria,31,38.0,15816,13919,1897,558,19,2587,527,521,195,82,70,10,9200,2640,3976,5767,7989,683,734,238,12022,47,279,242,433
Sassuolo,31,38.0,21783,19918,1865,620,64,3342,458,321,207,100,67,20,16337,2732,2714,7143,13036,421,675,274,18697,58,305,311,430
SPAL,34,38.0,16904,14978,1926,603,19,2709,421,468,158,61,61,11,10446,2667,3791,4544,10287,698,697,299,13452,42,310,166,447
Torino,27,38.0,16200,14238,1962,614,22,2492,647,585,179,48,36,10,9838,2336,4026,3238,10955,604,707,190,12628,56,330,238,438
Udinese,25,38.0,17002,15220,1782,474,22,2469,537,512,198,76,48,5,11023,2528,3451,5046,10119,548,664,278,13535,57,271,227,436
