Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Amiens,30,38.0,15245,13659,1586,412,20,2520,381,395,132,0,0,0,9323,1440,4482,4413,8432,1188,704,148,10940,60,470,371,410
Angers,27,38.0,16446,14843,1603,384,34,2661,424,434,164,0,0,0,10706,1324,4416,4967,9146,1088,805,225,12407,51,369,398,472
Bordeaux,31,38.0,17958,16471,1487,349,47,2633,554,476,165,0,0,0,12406,1742,3810,5149,10578,1085,728,201,14055,62,363,397,451
Caen,26,38.0,15797,14179,1618,396,20,2502,627,602,193,0,0,0,9265,1536,4996,3633,9466,1441,758,175,11292,67,464,392,465
Dijon,26,38.0,16820,15333,1487,381,21,2563,646,404,142,0,0,0,10820,1679,4321,4035,10483,1096,711,256,12787,57,439,357,400
Guingamp,23,38.0,17284,15748,1536,382,24,3271,454,498,180,0,0,0,11700,1400,4184,4278,10817,1065,692,180,13225,88,490,397,445
Lille,25,38.0,19286,18007,1279,275,32,3168,484,445,159,0,0,0,14410,1398,3478,6773,10666,782,618,237,15564,79,392,446,449
Lyon,26,38.0,20273,18932,1341,323,48,2759,522,429,171,0,0,0,15400,1596,3277,7288,11025,874,655,189,16846,62,342,413,425
Marseille,26,38.0,20412,18977,1435,330,46,2941,562,613,233,0,0,0,14884,1481,4047,5557,12806,918,670,189,16580,65,414,389,448
Metz,36,38.0,16396,14839,1557,377,16,2745,594,495,171,0,0,0,10209,1528,4659,3584,10477,1124,722,239,12195,47,464,388,453
Monaco,32,38.0,17911,16406,1505,405,38,3301,491,577,180,0,0,0,11907,1698,4306,4885,10789,1135,684,171,13858,66,438,373,435
Montpellier,23,38.0,17141,15580,1561,400,20,2616,694,578,176,0,0,0,11231,1436,4474,4943,9839,1055,770,257,13023,68,478,436,467
Nantes,30,38.0,15828,14282,1546,337,17,2518,485,587,167,0,0,0,9684,1532,4612,3596,9824,1167,767,236,11474,76,514,441,423
Nice,31,38.0,22513,21297,1216,296,21,3493,659,398,193,0,0,0,18123,1387,3003,6655,14366,684,491,169,19266,55,291,428,407
Paris S-G,28,38.0,25194,24024,1170,286,33,3655,548,563,221,0,0,0,20619,1680,2895,10455,13284,620,527,173,22004,84,292,517,475
Rennes,28,38.0,17389,15787,1602,408,18,2733,615,520,207,0,0,0,11669,1382,4338,3670,11494,1044,751,154,13282,73,483,415,435
Saint-Étienne,30,38.0,18272,16759,1513,338,33,2833,484,471,169,0,0,0,13069,1358,3845,4031,12128,942,758,170,14310,68,379,450,483
Strasbourg,25,38.0,16465,14880,1585,356,24,2536,581,490,181,0,0,0,10411,1380,4674,4651,9544,1073,746,152,12322,71,467,337,432
Toulouse,25,38.0,15139,13467,1672,464,15,2926,463,564,167,0,0,0,9022,1631,4486,3920,8727,1221,763,207,10831,58,433,380,481
Troyes,25,38.0,15719,14177,1542,355,13,2651,453,454,148,0,0,0,10061,1500,4158,5256,8146,1143,719,188,11486,55,462,371,464
