Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Augsburg,27,34.0,14251,12529,1722,421,13,2533,508,456,174,45,52,13,7120,2708,4423,4161,7616,958,791,252,10179,63,352,231,444
Bayern Munich,28,34.0,23840,22367,1473,404,60,3869,770,605,220,48,61,20,16852,3235,3753,6875,14915,851,639,256,20441,60,304,287,389
Dortmund,30,34.0,20322,18599,1723,493,33,2765,454,394,161,39,44,10,14091,2651,3580,5029,13061,890,765,260,16586,74,347,257,388
Eint Frankfurt,28,34.0,15528,13789,1739,528,33,2351,581,388,155,37,58,6,8546,2638,4344,3436,9649,983,764,259,11441,83,374,264,454
Freiburg,29,34.0,14766,13081,1685,462,25,2728,409,313,127,34,41,8,8474,2307,3985,3650,8732,939,710,214,11014,36,328,206,432
Hamburger SV,29,34.0,15037,13124,1913,508,30,2712,489,436,199,51,60,18,7921,2767,4349,5771,6567,1049,890,242,10768,59,351,267,502
Hannover 96,26,34.0,14890,13061,1829,532,11,2481,371,357,134,39,39,17,7661,2917,4312,2865,9271,1133,801,266,10882,48,375,242,439
Hertha BSC,25,34.0,15389,13773,1616,483,18,2387,407,339,126,14,51,18,9026,2423,3940,4121,9051,893,672,198,11673,45,315,240,408
Hoffenheim,26,34.0,17276,15705,1571,466,34,2672,423,390,154,41,45,13,11150,2621,3505,4394,10913,723,645,291,13769,65,307,284,398
Köln,31,34.0,15704,14019,1685,484,23,2544,459,381,171,33,58,15,8918,2611,4175,5022,8363,983,656,144,11700,69,327,262,446
Leverkusen,24,34.0,18413,16702,1711,492,41,2995,571,471,171,58,40,10,12103,2638,3672,5054,11140,842,744,251,14642,52,361,330,480
M'Gladbach,27,34.0,17948,16298,1650,427,34,2875,476,303,168,25,64,10,11953,2454,3541,4064,11869,743,722,210,14496,65,309,250,431
Mainz 05,27,34.0,13929,12263,1666,427,17,2453,514,342,143,45,28,15,7601,2411,3917,3158,8489,815,769,257,10117,61,355,293,390
RB Leipzig,23,34.0,18205,16408,1797,519,44,2832,302,364,164,45,49,13,11696,2901,3608,3108,12707,897,831,256,14201,76,360,346,468
Schalke 04,24,34.0,15577,13948,1629,488,20,2233,311,343,140,24,58,8,9457,2406,3714,4377,9105,820,708,196,12031,70,259,236,381
Stuttgart,26,34.0,16046,14383,1663,446,20,2501,439,402,141,32,39,25,9265,2568,4213,4926,8782,945,736,204,12101,67,315,270,390
Werder Bremen,25,34.0,16061,14308,1753,477,27,2885,577,413,180,53,56,17,8853,3034,4174,5272,8230,1012,785,275,12071,59,372,272,513
Wolfsburg,29,34.0,16363,14744,1619,508,19,2426,506,344,131,32,47,16,9932,2767,3664,5487,8695,886,634,282,12757,49,338,235,368
