Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,27,38.0,22052,20093,1959,565,64,3441,613,500,241,35,24,17,15984,2678,3390,6438,13412,821,810,245,18178,62,324,371,501
Bologna,29,38.0,16034,14024,2010,549,32,2553,443,471,201,46,10,14,9736,2275,4023,3970,9588,842,824,312,12116,68,346,256,480
Cagliari,30,38.0,18873,16877,1996,537,14,3283,554,491,189,24,30,6,11294,2720,4859,3592,12596,976,817,343,14565,55,374,286,469
Chievo,36,38.0,16534,14685,1849,522,23,2616,570,461,128,9,17,1,9760,2403,4371,4502,9701,880,748,254,12555,66,377,292,438
Empoli,29,38.0,18406,16475,1931,525,43,2796,634,434,187,16,17,11,12500,2311,3595,5775,10687,611,768,312,14685,65,370,313,451
Fiorentina,27,38.0,17251,15342,1909,545,40,2440,531,505,233,25,30,10,11233,2202,3816,4950,10124,839,753,250,13356,40,411,280,420
Frosinone,33,38.0,15516,13578,1938,577,17,2388,505,508,160,33,20,4,9124,2170,4222,4839,8542,714,742,332,11524,67,314,239,475
Genoa,31,38.0,15296,13370,1926,534,26,2735,467,538,186,17,35,11,8882,2147,4267,4115,8915,798,774,190,11178,59,317,264,424
Inter,23,38.0,23416,21461,1955,533,37,3411,709,764,303,37,35,12,16678,2735,4003,6223,15039,779,793,305,19563,50,347,321,483
Juventus,31,38.0,21842,20114,1728,481,48,3074,887,621,239,18,18,9,15403,2646,3793,7512,12329,740,662,283,18393,64,318,349,404
Lazio,30,38.0,19761,18052,1709,423,40,3332,548,485,226,22,29,10,13624,2329,3808,4828,12717,856,714,282,15879,88,314,362,417
Milan,23,38.0,20973,19076,1897,522,70,3225,649,511,230,40,14,4,15199,2297,3477,7140,11943,581,757,289,17532,54,294,344,424
Napoli,26,38.0,24768,22988,1780,465,84,3376,755,553,255,35,26,7,17957,3044,3767,7546,15361,654,720,251,21121,72,321,351,479
Parma,31,38.0,13626,11751,1875,450,26,2389,426,311,144,23,18,4,7828,2098,3700,4867,6755,708,716,213,9996,83,327,268,415
Roma,26,38.0,19067,17191,1876,494,49,3239,574,589,224,23,35,3,12635,2764,3668,5319,11467,801,775,283,15367,42,347,318,432
Sampdoria,24,38.0,21150,19273,1877,616,43,3162,556,463,167,31,13,5,15031,2708,3411,6607,12435,806,695,315,17188,66,321,422,515
Sassuolo,29,38.0,20036,18102,1934,617,34,2812,493,413,186,19,31,11,14320,2375,3341,7051,11161,556,723,253,16500,65,333,318,480
SPAL,28,38.0,17861,15894,1967,643,16,2999,436,552,194,24,21,5,11966,2322,3573,5053,10766,732,705,257,14319,32,347,266,456
Torino,25,38.0,17023,15055,1968,607,20,2588,625,622,174,17,17,1,10149,2364,4510,4105,10306,992,791,230,12929,66,406,234,458
Udinese,31,38.0,15160,13289,1871,498,24,2469,528,366,162,14,34,3,9361,2176,3623,3762,9338,685,716,228,11534,50,321,245,412
