Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Augsburg,30,34.0,15094,13433,1661,402,21,2776,488,396,147,8,25,1,8855,2199,4040,3879,8795,1058,743,239,11138,76,388,262,456
Bayern Munich,24,34.0,23861,22275,1586,379,68,3773,810,594,285,25,36,20,17820,2404,3637,6288,15522,839,700,264,20506,81,297,304,453
Dortmund,23,34.0,22100,20430,1670,443,27,2819,501,332,167,18,13,4,17215,2278,2607,6957,13215,692,746,264,18845,54,289,328,451
Düsseldorf,24,34.0,14589,12923,1666,453,40,2105,614,374,145,17,18,4,8976,2092,3521,4898,7646,841,640,218,11146,42,288,250,391
Eint Frankfurt,30,34.0,14853,13147,1706,447,28,2462,402,501,179,18,20,6,8505,2300,4048,4285,7977,1084,765,230,10628,76,316,299,450
Freiburg,28,34.0,14967,13272,1695,445,16,2483,537,334,150,34,3,4,9422,1973,3572,4866,8034,843,678,235,11490,41,315,244,363
Hannover 96,32,34.0,15090,13327,1763,476,24,2440,417,305,143,11,27,7,9194,2235,3661,4067,8720,966,740,248,11428,49,306,250,436
Hertha BSC,26,34.0,16161,14467,1694,440,27,2928,444,426,145,15,19,7,10093,2058,4010,4093,9733,963,713,220,12472,65,325,281,359
Hoffenheim,29,34.0,17950,16345,1605,406,39,2524,464,480,181,20,28,12,12229,2538,3183,4556,11347,788,687,318,14499,58,307,277,446
Leverkusen,21,34.0,22030,20388,1642,444,62,3388,587,452,188,24,28,6,16124,2523,3383,6404,13519,835,720,260,18327,58,311,340,483
M'Gladbach,22,34.0,19034,17440,1594,412,20,2945,607,384,188,11,31,7,14076,2038,2920,4320,12919,643,659,253,15778,64,328,306,382
Mainz 05,28,34.0,15270,13572,1698,394,45,2232,517,432,149,9,28,5,9408,2150,3712,4798,8339,767,768,260,11560,74,263,247,418
Nürnberg,27,34.0,14082,12417,1665,411,17,2192,466,271,148,11,30,2,8735,1879,3468,4223,7847,808,674,203,10598,45,312,247,353
RB Leipzig,23,34.0,16647,14814,1833,515,61,2579,361,439,187,16,38,5,10308,2671,3668,3280,10743,1092,848,248,12507,81,333,311,457
Schalke 04,32,34.0,14433,12773,1660,442,18,2149,449,304,154,5,39,6,8927,2063,3443,4371,7977,827,726,214,10901,69,311,251,372
Stuttgart,26,34.0,15160,13403,1757,466,25,2305,449,444,169,23,20,7,9098,2347,3715,4812,8061,964,720,203,11309,57,340,212,411
Werder Bremen,24,34.0,18269,16549,1720,445,35,2749,548,458,166,27,15,2,12206,2612,3451,6369,9681,910,720,259,14504,35,326,318,494
Wolfsburg,25,34.0,17041,15295,1746,480,31,2693,822,461,173,19,26,4,10756,2356,3929,6483,8291,905,737,285,13200,58,419,284,450
