Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Augsburg,27,26.6,45.6,34,374,3060,34.0,41,30,37,4,4,,,1.21,0.88,2.09,1.09,1.97,44.8,41.8,31.1,72.9,1.32,0.91,2.23,1.23,2.14
Bayern Munich,28,27.4,65.9,34,374,3060,34.0,90,72,84,6,8,,,2.65,2.12,4.76,2.47,4.59,77.7,71.8,56.2,128.0,2.29,1.65,3.94,2.11,3.77
Dortmund,30,25.9,59.0,34,374,3060,34.0,62,44,59,3,6,,,1.82,1.29,3.12,1.74,3.03,63.7,59.2,43.3,102.5,1.87,1.27,3.15,1.74,3.02
Eint Frankfurt,28,26.4,48.4,34,374,3060,34.0,44,34,42,2,2,,,1.29,1.00,2.29,1.24,2.24,43.5,41.9,31.8,73.8,1.28,0.94,2.21,1.23,2.17
Freiburg,29,24.8,44.5,34,374,3060,34.0,32,21,26,6,10,,,0.94,0.62,1.56,0.76,1.38,41.3,33.7,24.1,57.8,1.21,0.71,1.92,0.99,1.70
Hamburger SV,29,25.0,49.1,34,374,3060,34.0,28,18,25,3,5,,,0.82,0.53,1.35,0.74,1.26,37.0,33.3,24.8,58.1,1.09,0.73,1.82,0.98,1.71
Hannover 96,26,26.4,47.1,34,374,3060,34.0,44,26,40,4,5,,,1.29,0.76,2.06,1.18,1.94,46.0,42.1,32.2,74.3,1.35,0.95,2.30,1.24,2.19
Hertha BSC,25,26.4,45.9,34,374,3060,34.0,43,32,39,4,5,,,1.26,0.94,2.21,1.15,2.09,39.9,36.1,27.0,63.0,1.17,0.79,1.97,1.06,1.85
Hoffenheim,26,25.0,51.3,34,374,3060,34.0,64,47,60,4,5,,,1.88,1.38,3.26,1.76,3.15,51.7,47.9,38.7,86.5,1.52,1.14,2.66,1.41,2.55
Köln,31,25.3,47.5,34,374,3060,34.0,33,24,30,3,3,,,0.97,0.71,1.68,0.88,1.59,42.2,40.0,28.7,68.7,1.24,0.84,2.09,1.18,2.02
Leverkusen,24,24.0,54.6,34,374,3060,34.0,58,46,55,3,5,,,1.71,1.35,3.06,1.62,2.97,59.2,55.4,43.6,99.0,1.74,1.28,3.02,1.63,2.91
M'Gladbach,27,25.7,52.0,34,374,3060,34.0,46,26,40,6,7,,,1.35,0.76,2.12,1.18,1.94,51.4,46.6,35.6,82.1,1.51,1.05,2.56,1.37,2.42
Mainz 05,27,25.3,44.3,34,374,3060,34.0,38,27,34,4,4,,,1.12,0.79,1.91,1.00,1.79,35.3,32.3,24.2,56.5,1.04,0.71,1.75,0.95,1.66
RB Leipzig,23,23.4,54.9,34,374,3060,34.0,57,43,53,4,5,,,1.68,1.26,2.94,1.56,2.82,54.2,50.5,39.3,89.8,1.59,1.16,2.75,1.49,2.64
Schalke 04,24,26.1,46.7,34,374,3060,34.0,50,33,40,10,10,,,1.47,0.97,2.44,1.18,2.15,47.8,40.2,30.4,70.6,1.41,0.90,2.30,1.18,2.08
Stuttgart,26,25.6,46.7,34,374,3060,34.0,35,22,34,1,3,,,1.03,0.65,1.68,1.00,1.65,39.6,37.4,24.1,61.5,1.17,0.71,1.87,1.10,1.81
Werder Bremen,25,26.3,47.5,34,374,3060,34.0,34,27,34,0,0,,,1.00,0.79,1.79,1.00,1.79,39.9,39.9,30.4,70.2,1.17,0.89,2.07,1.17,2.07
Wolfsburg,29,25.1,49.2,34,374,3060,34.0,36,26,35,1,6,,,1.06,0.76,1.82,1.03,1.79,39.2,34.4,25.2,59.6,1.15,0.74,1.89,1.01,1.75
