Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Atalanta,25,25.7,55.2,38,418,3420,38.0,57,38,52,5,9,,,1.50,1.00,2.50,1.37,2.37,67.4,60.7,43.6,104.3,1.77,1.15,2.92,1.60,2.74
Benevento,41,26.0,47.7,38,418,3420,38.0,32,23,30,2,3,,,0.84,0.61,1.45,0.79,1.39,39.1,36.9,27.6,64.5,1.03,0.73,1.75,0.97,1.70
Bologna,30,26.8,47.2,38,418,3420,38.0,37,18,35,2,3,,,0.97,0.47,1.45,0.92,1.39,37.1,34.9,23.4,58.3,0.98,0.61,1.59,0.92,1.53
Cagliari,29,27.1,45.2,38,418,3420,38.0,33,21,29,4,7,,,0.87,0.55,1.42,0.76,1.32,40.1,34.8,25.4,60.1,1.05,0.67,1.72,0.91,1.58
Chievo,25,30.3,44.3,38,418,3420,38.0,36,20,35,1,2,,,0.95,0.53,1.47,0.92,1.45,32.3,30.8,22.1,52.9,0.85,0.58,1.43,0.81,1.39
Crotone,29,25.6,40.1,38,418,3420,38.0,38,21,36,2,3,,,1.00,0.55,1.55,0.95,1.50,36.2,33.8,24.0,57.8,0.95,0.63,1.58,0.89,1.52
Fiorentina,27,25.0,52.6,38,418,3420,38.0,53,32,46,7,8,,,1.39,0.84,2.24,1.21,2.05,57.2,51.3,37.1,88.3,1.51,0.98,2.48,1.35,2.32
Genoa,33,27.9,46.3,38,418,3420,38.0,31,18,27,4,5,,,0.82,0.47,1.29,0.71,1.18,43.3,39.5,31.8,71.3,1.14,0.84,1.98,1.04,1.88
Hellas Verona,32,25.9,41.8,38,418,3420,38.0,30,19,23,7,7,,,0.79,0.50,1.29,0.61,1.11,34.5,29.4,20.9,50.3,0.91,0.55,1.46,0.77,1.32
Inter,22,27.6,56.9,38,418,3420,38.0,64,34,58,6,7,,,1.68,0.89,2.58,1.53,2.42,60.8,55.6,44.4,100.0,1.60,1.17,2.77,1.46,2.63
Juventus,24,29.2,57.1,38,418,3420,38.0,82,39,78,4,8,,,2.16,1.03,3.18,2.05,3.08,59.8,54.0,38.3,92.2,1.57,1.01,2.58,1.42,2.43
Lazio,24,26.5,51.1,38,418,3420,38.0,86,51,77,9,11,,,2.26,1.34,3.61,2.03,3.37,63.5,55.2,42.4,97.7,1.67,1.12,2.79,1.45,2.57
Milan,23,25.0,55.9,38,418,3420,38.0,54,28,50,4,6,,,1.42,0.74,2.16,1.32,2.05,54.2,49.8,36.3,86.1,1.43,0.95,2.38,1.31,2.27
Napoli,23,28.0,63.2,38,418,3420,38.0,73,45,67,6,8,,,1.92,1.18,3.11,1.76,2.95,66.6,60.4,48.5,108.9,1.75,1.28,3.03,1.59,2.87
Roma,27,27.4,58.0,38,418,3420,38.0,56,37,53,3,6,,,1.47,0.97,2.45,1.39,2.37,69.3,64.9,48.7,113.7,1.82,1.28,3.11,1.71,2.99
Sampdoria,27,27.0,53.4,38,418,3420,38.0,56,33,49,7,8,,,1.47,0.87,2.34,1.29,2.16,51.3,45.2,32.8,78.1,1.35,0.86,2.21,1.19,2.05
Sassuolo,28,27.2,43.2,38,418,3420,38.0,28,16,24,4,10,,,0.74,0.42,1.16,0.63,1.05,49.4,41.8,29.2,71.1,1.30,0.77,2.07,1.10,1.87
SPAL,29,26.7,45.1,38,418,3420,38.0,37,14,32,5,6,,,0.97,0.37,1.34,0.84,1.21,37.9,33.3,20.1,53.4,1.00,0.53,1.53,0.88,1.40
Torino,27,28.1,51.0,38,418,3420,38.0,53,36,53,0,2,,,1.39,0.95,2.34,1.39,2.34,47.1,45.6,34.8,80.5,1.24,0.92,2.16,1.20,2.12
Udinese,27,26.5,44.7,38,418,3420,38.0,45,27,38,7,7,,,1.18,0.71,1.89,1.00,1.71,43.6,38.3,29.8,68.1,1.15,0.78,1.93,1.01,1.79
