Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Amiens,27,27.4,45.5,28,308,2520,28.0,31,20,28,3,5,57,4,1.11,0.71,1.82,1.00,1.71,26.7,22.8,16.7,39.5,0.95,0.60,1.55,0.81,1.41
Angers,26,28.0,45.1,28,308,2520,28.0,27,21,26,1,1,42,2,0.96,0.75,1.71,0.93,1.68,27.0,26.3,20.2,46.5,0.96,0.72,1.69,0.94,1.66
Bordeaux,26,26.9,53.9,28,308,2520,28.0,40,29,38,2,2,55,0,1.43,1.04,2.46,1.36,2.39,29.7,28.3,21.4,49.7,1.06,0.76,1.83,1.01,1.77
Brest,24,26.1,49.7,28,308,2520,28.0,32,27,31,1,5,45,2,1.14,0.96,2.11,1.11,2.07,30.2,26.4,21.0,47.3,1.08,0.75,1.83,0.94,1.69
Dijon,28,26.9,46.5,28,308,2520,28.0,26,17,25,1,1,43,2,0.93,0.61,1.54,0.89,1.50,28.9,28.2,21.3,49.6,1.03,0.76,1.79,1.01,1.77
Lille,25,24.3,53.0,28,308,2520,28.0,35,25,30,5,8,49,3,1.25,0.89,2.14,1.07,1.96,39.7,33.6,24.9,58.5,1.42,0.89,2.31,1.20,2.09
Lyon,27,24.8,56.4,28,308,2520,28.0,42,29,37,5,6,49,4,1.50,1.04,2.54,1.32,2.36,37.2,32.8,26.1,58.9,1.33,0.93,2.26,1.17,2.11
Marseille,23,27.1,54.0,28,308,2520,28.0,38,28,34,4,6,67,3,1.36,1.00,2.36,1.21,2.21,34.7,30.2,22.4,52.6,1.24,0.80,2.04,1.08,1.88
Metz,24,25.9,45.3,28,308,2520,28.0,27,20,25,2,4,45,4,0.96,0.71,1.68,0.89,1.61,27.3,24.3,18.0,42.3,0.98,0.64,1.62,0.87,1.51
Monaco,28,26.0,50.8,28,308,2520,28.0,44,29,40,4,4,60,10,1.57,1.04,2.61,1.43,2.46,48.0,44.9,32.3,77.2,1.71,1.15,2.86,1.60,2.76
Montpellier,27,28.5,47.6,28,308,2520,28.0,33,19,31,2,5,55,5,1.18,0.68,1.86,1.11,1.79,32.0,28.2,20.2,48.3,1.14,0.72,1.86,1.01,1.73
Nantes,29,25.4,48.1,28,308,2520,28.0,23,16,21,2,2,51,2,0.82,0.57,1.39,0.75,1.32,27.8,26.4,21.5,47.9,0.99,0.77,1.76,0.94,1.71
Nice,31,23.9,55.0,28,308,2520,28.0,41,30,36,5,5,54,7,1.46,1.07,2.54,1.29,2.36,35.2,31.6,21.2,52.8,1.26,0.76,2.02,1.13,1.88
Nîmes,28,25.4,44.6,28,308,2520,28.0,29,20,27,2,2,41,6,1.04,0.71,1.75,0.96,1.68,29.6,28.1,21.2,49.3,1.06,0.76,1.82,1.00,1.76
Paris S-G,31,27.2,65.6,27,297,2430,27.0,71,51,65,6,8,50,1,2.63,1.89,4.52,2.41,4.30,70.9,64.8,50.8,115.6,2.63,1.88,4.51,2.40,4.28
Reims,26,25.3,48.8,28,308,2520,28.0,25,16,20,5,5,52,5,0.89,0.57,1.46,0.71,1.29,28.4,24.7,18.4,43.1,1.01,0.66,1.67,0.88,1.54
Rennes,26,25.5,49.8,28,308,2520,28.0,37,26,34,3,5,51,1,1.32,0.93,2.25,1.21,2.14,36.3,32.5,23.6,56.1,1.30,0.84,2.14,1.16,2.00
Saint-Étienne,31,27.0,48.0,28,308,2520,28.0,28,20,23,5,5,59,3,1.00,0.71,1.71,0.82,1.54,28.8,25.1,18.2,43.3,1.03,0.65,1.68,0.90,1.55
Strasbourg,25,25.8,49.7,27,297,2430,27.0,32,21,29,3,4,46,1,1.19,0.78,1.96,1.07,1.85,34.9,31.9,23.6,55.5,1.29,0.87,2.17,1.18,2.06
Toulouse,30,25.1,44.0,28,308,2520,28.0,21,14,17,4,6,48,5,0.75,0.50,1.25,0.61,1.11,30.1,25.5,18.2,43.7,1.07,0.65,1.72,0.91,1.56
