Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Amiens,30,27.5,43.3,38,418,3420,38.0,36,24,33,3,4,72,5,0.95,0.63,1.58,0.87,1.50,35.3,32.2,23.5,55.7,0.93,0.62,1.55,0.85,1.47
Angers,27,27.1,44.7,38,418,3420,38.0,41,30,37,4,4,68,3,1.08,0.79,1.87,0.97,1.76,45.6,42.6,30.8,73.4,1.20,0.81,2.01,1.12,1.93
Bordeaux,31,25.1,50.5,38,418,3420,38.0,52,36,48,4,6,73,2,1.37,0.95,2.32,1.26,2.21,52.6,47.9,36.7,84.5,1.38,0.96,2.35,1.26,2.22
Caen,26,27.3,45.5,38,418,3420,38.0,25,19,20,5,8,68,4,0.66,0.50,1.16,0.53,1.03,42.2,36.2,28.0,64.2,1.11,0.74,1.85,0.95,1.69
Dijon,26,26.6,48.4,38,418,3420,38.0,52,36,47,5,5,69,5,1.37,0.95,2.32,1.24,2.18,42.9,39.2,26.1,65.2,1.13,0.69,1.81,1.03,1.72
Guingamp,23,27.2,49.8,38,418,3420,38.0,46,27,40,6,7,65,2,1.21,0.71,1.92,1.05,1.76,45.6,40.5,26.0,66.5,1.20,0.68,1.88,1.07,1.75
Lille,25,22.6,54.2,38,418,3420,38.0,41,31,39,2,2,59,6,1.08,0.82,1.89,1.03,1.84,37.7,36.2,30.4,66.6,0.99,0.80,1.79,0.95,1.75
Lyon,26,24.4,55.9,38,418,3420,38.0,85,62,79,6,7,71,2,2.24,1.63,3.87,2.08,3.71,67.0,61.9,45.4,107.4,1.76,1.20,2.96,1.63,2.83
Marseille,26,27.2,58.3,38,418,3420,38.0,79,54,74,5,8,81,2,2.08,1.42,3.50,1.95,3.37,72.1,66.1,47.0,113.1,1.90,1.24,3.13,1.74,2.98
Metz,36,27.4,45.3,38,418,3420,38.0,33,27,30,3,4,78,7,0.87,0.71,1.58,0.79,1.50,37.9,35.0,27.4,62.4,1.00,0.72,1.72,0.92,1.64
Monaco,32,25.8,51.2,38,418,3420,38.0,83,56,76,7,8,70,4,2.18,1.47,3.66,2.00,3.47,61.5,55.6,40.2,95.8,1.62,1.06,2.67,1.46,2.52
Montpellier,23,26.4,46.9,38,418,3420,38.0,36,28,36,0,2,72,1,0.95,0.74,1.68,0.95,1.68,42.4,40.8,30.6,71.4,1.11,0.81,1.92,1.07,1.88
Nantes,30,25.6,43.4,38,418,3420,38.0,36,24,32,4,5,63,6,0.95,0.63,1.58,0.84,1.47,43.3,39.5,28.5,68.1,1.14,0.75,1.89,1.04,1.79
Nice,31,25.0,58.3,38,418,3420,38.0,52,35,44,8,10,80,4,1.37,0.92,2.29,1.16,2.08,51.7,44.3,32.6,76.8,1.36,0.86,2.22,1.17,2.02
Paris S-G,28,26.1,66.8,38,418,3420,38.0,100,75,93,7,9,65,6,2.63,1.97,4.61,2.45,4.42,89.2,82.7,65.0,147.7,2.35,1.71,4.06,2.18,3.89
Rennes,28,24.2,50.2,38,418,3420,38.0,48,32,42,6,8,64,5,1.26,0.84,2.11,1.11,1.95,49.4,43.5,32.1,75.6,1.30,0.85,2.15,1.14,1.99
Saint-Étienne,30,26.6,51.2,38,418,3420,38.0,45,31,38,7,11,71,8,1.18,0.82,2.00,1.00,1.82,52.0,44.1,32.9,77.0,1.37,0.87,2.24,1.16,2.03
Strasbourg,25,27.2,49.2,38,418,3420,38.0,44,26,37,7,7,71,4,1.16,0.68,1.84,0.97,1.66,45.4,40.1,28.2,68.3,1.19,0.74,1.94,1.05,1.80
Toulouse,25,23.9,45.6,38,418,3420,38.0,36,24,28,8,11,92,3,0.95,0.63,1.58,0.74,1.37,46.0,37.8,28.3,66.1,1.21,0.75,1.96,0.99,1.74
Troyes,25,26.7,42.4,38,418,3420,38.0,30,21,28,2,3,76,7,0.79,0.55,1.34,0.74,1.29,36.9,34.6,24.7,59.3,0.97,0.65,1.62,0.91,1.56
