Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Atalanta,30,27.2,57.8,38,418,3420,38.0,96,68,89,7,10,80,2,2.53,1.79,4.32,2.34,4.13,81.8,74.2,53.5,127.7,2.15,1.41,3.56,1.95,3.36
Bologna,31,27.2,52.9,38,418,3420,38.0,48,31,43,5,6,109,7,1.26,0.82,2.08,1.13,1.95,53.1,48.5,36.3,84.8,1.40,0.95,2.35,1.28,2.23
Brescia,32,25.6,40.3,38,418,3420,38.0,34,22,30,4,4,95,6,0.89,0.58,1.47,0.79,1.37,42.4,39.4,25.4,64.8,1.12,0.67,1.79,1.04,1.71
Cagliari,33,27.4,45.5,38,418,3420,38.0,50,34,46,4,6,108,6,1.32,0.89,2.21,1.21,2.11,41.4,36.7,28.5,65.2,1.09,0.75,1.84,0.97,1.72
Fiorentina,33,25.1,47.3,38,418,3420,38.0,49,30,40,9,11,105,5,1.29,0.79,2.08,1.05,1.84,54.7,46.7,35.7,82.4,1.44,0.94,2.38,1.23,2.17
Genoa,34,26.8,49.5,38,418,3420,38.0,46,28,35,11,16,107,10,1.21,0.74,1.95,0.92,1.66,47.4,35.3,25.6,60.9,1.25,0.67,1.92,0.93,1.60
Hellas Verona,30,26.1,49.8,38,418,3420,38.0,45,27,37,8,9,87,7,1.18,0.71,1.89,0.97,1.68,49.2,42.4,31.7,74.1,1.29,0.83,2.13,1.12,1.95
Inter,29,27.7,54.2,38,418,3420,38.0,80,57,70,10,11,104,6,2.11,1.50,3.61,1.84,3.34,72.3,63.8,45.7,109.5,1.90,1.20,3.10,1.68,2.88
Juventus,30,28.6,58.3,38,418,3420,38.0,73,47,60,13,14,87,3,1.92,1.24,3.16,1.58,2.82,68.7,58.1,43.9,102.0,1.81,1.16,2.96,1.53,2.69
Lazio,27,27.9,50.5,38,418,3420,38.0,77,45,62,15,18,99,2,2.03,1.18,3.21,1.63,2.82,68.4,54.9,42.2,97.1,1.80,1.11,2.91,1.45,2.56
Lecce,30,28.7,44.6,38,418,3420,38.0,52,30,41,11,15,98,5,1.37,0.79,2.16,1.08,1.87,53.9,43.1,31.1,74.2,1.42,0.82,2.24,1.13,1.95
Milan,32,24.6,55.1,38,418,3420,38.0,60,38,52,8,9,97,6,1.58,1.00,2.58,1.37,2.37,59.5,52.8,41.9,94.6,1.56,1.10,2.67,1.39,2.49
Napoli,25,26.9,59.5,38,418,3420,38.0,60,45,55,5,5,73,2,1.58,1.18,2.76,1.45,2.63,62.4,58.6,47.5,106.1,1.64,1.25,2.89,1.54,2.79
Parma,25,28.8,43.6,38,418,3420,38.0,53,38,49,4,6,81,1,1.39,1.00,2.39,1.29,2.29,46.6,42.1,31.1,73.1,1.23,0.82,2.04,1.11,1.92
Roma,31,26.9,52.9,38,418,3420,38.0,73,47,61,12,14,111,7,1.92,1.24,3.16,1.61,2.84,72.6,62.2,47.3,109.5,1.91,1.24,3.15,1.64,2.88
Sampdoria,31,26.0,42.4,38,418,3420,38.0,48,25,39,9,12,111,7,1.26,0.66,1.92,1.03,1.68,51.2,42.0,30.2,72.3,1.35,0.80,2.14,1.11,1.90
Sassuolo,31,26.4,57.8,38,418,3420,38.0,69,49,64,5,6,99,3,1.82,1.29,3.11,1.68,2.97,56.0,51.4,39.4,90.8,1.47,1.04,2.51,1.35,2.39
SPAL,34,27.5,46.8,38,418,3420,38.0,27,17,22,5,7,98,4,0.71,0.45,1.16,0.58,1.03,39.1,33.8,23.1,56.9,1.03,0.61,1.64,0.89,1.50
Torino,27,27.3,47.5,38,418,3420,38.0,44,29,37,7,8,96,7,1.16,0.76,1.92,0.97,1.74,42.4,37.1,26.6,63.7,1.12,0.70,1.82,0.98,1.68
Udinese,25,26.5,44.7,38,418,3420,38.0,37,26,37,0,0,77,3,0.97,0.68,1.66,0.97,1.66,40.6,40.6,30.5,71.1,1.07,0.80,1.87,1.07,1.87
