Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Alavés,30,25.5,39.8,38,418,3420,38.0,40,31,39,1,3,105,4,1.05,0.82,1.87,1.03,1.84,39.6,37.3,25.9,63.2,1.04,0.68,1.72,0.98,1.66
Athletic Club,26,26.7,49.7,38,418,3420,38.0,39,25,33,6,8,93,0,1.03,0.66,1.68,0.87,1.53,45.4,39.6,30.9,70.5,1.19,0.81,2.01,1.04,1.85
Atlético Madrid,26,26.6,47.3,38,418,3420,38.0,57,41,53,4,5,93,5,1.50,1.08,2.58,1.39,2.47,47.3,43.7,33.3,77.0,1.25,0.88,2.12,1.15,2.03
Barcelona,25,27.7,63.1,38,418,3420,38.0,96,74,93,3,5,67,2,2.53,1.95,4.47,2.45,4.39,80.0,76.9,59.1,136.1,2.11,1.56,3.66,2.02,3.58
Betis,29,27.1,57.7,38,418,3420,38.0,56,43,54,2,3,90,3,1.47,1.13,2.61,1.42,2.55,42.9,40.9,33.0,73.8,1.13,0.87,2.00,1.08,1.94
Celta Vigo,23,25.7,56.1,38,418,3420,38.0,57,45,55,2,3,85,1,1.50,1.18,2.68,1.45,2.63,52.4,50.1,36.8,86.9,1.38,0.97,2.35,1.32,2.29
Eibar,27,27.4,52.4,38,418,3420,38.0,43,31,41,2,3,84,3,1.13,0.82,1.95,1.08,1.89,38.8,36.5,25.6,62.1,1.02,0.67,1.69,0.96,1.63
Espanyol,25,26.8,46.8,38,418,3420,38.0,34,24,32,2,3,87,1,0.89,0.63,1.53,0.84,1.47,42.9,40.6,29.0,69.6,1.13,0.76,1.89,1.07,1.83
Getafe,32,28.2,39.4,38,418,3420,38.0,41,27,36,5,12,130,5,1.08,0.71,1.79,0.95,1.66,45.5,36.3,25.5,61.7,1.20,0.67,1.87,0.95,1.62
Girona,25,26.3,46.8,38,418,3420,38.0,50,31,44,6,8,102,0,1.32,0.82,2.13,1.16,1.97,48.1,42.0,30.4,72.4,1.27,0.80,2.06,1.11,1.91
La Coruña,32,28.2,46.6,38,418,3420,38.0,38,30,35,3,5,99,2,1.00,0.79,1.79,0.92,1.71,49.2,45.4,34.1,79.4,1.29,0.90,2.19,1.19,2.09
Las Palmas,36,27.0,55.1,38,418,3420,38.0,24,15,18,6,8,88,3,0.63,0.39,1.03,0.47,0.87,37.4,31.3,23.3,54.6,0.98,0.61,1.60,0.82,1.44
Leganés,28,27.8,42.5,38,418,3420,38.0,32,23,30,2,3,102,5,0.84,0.61,1.45,0.79,1.39,40.2,37.9,27.1,65.0,1.06,0.71,1.77,1.00,1.71
Levante,33,25.7,42.5,38,418,3420,38.0,43,28,38,5,5,108,6,1.13,0.74,1.87,1.00,1.74,41.2,37.4,28.1,65.5,1.08,0.74,1.82,0.99,1.72
Málaga,37,27.2,44.0,38,418,3420,38.0,24,15,20,4,6,99,8,0.63,0.39,1.03,0.53,0.92,33.1,28.6,21.0,49.5,0.87,0.55,1.42,0.75,1.30
Real Madrid,24,27.1,60.5,38,418,3420,38.0,91,65,83,8,10,65,4,2.39,1.71,4.11,2.18,3.89,82.1,74.4,58.1,132.5,2.16,1.53,3.69,1.96,3.49
Real Sociedad,27,25.9,56.8,38,418,3420,38.0,64,47,60,4,5,60,5,1.68,1.24,2.92,1.58,2.82,54.0,50.2,38.6,88.9,1.42,1.02,2.44,1.32,2.34
Sevilla,31,27.1,54.5,38,418,3420,38.0,48,35,44,4,5,97,3,1.26,0.92,2.18,1.16,2.08,56.7,52.9,39.4,92.3,1.49,1.04,2.53,1.39,2.43
Valencia,25,24.8,48.9,38,418,3420,38.0,63,45,55,8,8,103,5,1.66,1.18,2.84,1.45,2.63,56.7,50.7,38.9,89.6,1.49,1.02,2.51,1.34,2.36
Villarreal,32,26.6,50.5,38,418,3420,38.0,56,45,52,4,5,113,6,1.47,1.18,2.66,1.37,2.55,51.5,47.7,38.1,85.8,1.36,1.00,2.36,1.26,2.26
