Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Augsburg,30,46.6,34.0,18983,2230,6929,8905,4287,690,17363,244,411,59.4,269,11,11481,57341,29418,987,358,66,410,377,13491,11138,82.6,1474
Bayern Munich,24,65.5,34.0,27361,1714,6943,14253,7935,1373,25802,453,689,65.7,486,27,20873,100298,54795,2487,664,220,421,379,22648,20506,90.5,2083
Dortmund,23,58.0,34.0,26019,1997,6979,14179,6536,945,24411,475,755,62.9,526,30,19411,93540,48827,2040,560,171,466,459,20919,18845,90.1,1593
Düsseldorf,24,43.1,34.0,18315,2165,6973,8342,4082,656,16690,267,451,59.2,300,14,11594,57566,31734,1128,335,121,389,310,13090,11146,85.1,1447
Eint Frankfurt,30,47.3,34.0,18741,2016,5968,9202,4714,785,17080,289,501,57.7,325,13,11432,60698,33402,1209,359,134,419,413,13466,10631,78.9,1521
Freiburg,28,44.2,34.0,18763,2342,6998,8963,4015,626,17124,273,478,57.1,305,18,12273,63961,33946,1192,337,102,411,371,13577,11490,84.6,1206
Hannover 96,32,46.3,34.0,19383,2375,7250,9218,4197,597,17674,316,538,58.7,345,14,12097,63468,34554,1201,352,84,523,449,13894,11428,82.3,1262
Hertha BSC,26,48.1,34.0,20031,2213,6504,10163,4547,699,18398,343,521,65.8,365,12,12880,62704,32560,1270,389,125,436,392,14827,12472,84.1,1370
Hoffenheim,29,53.6,34.0,22007,2118,7153,10571,5832,1065,20439,390,636,61.3,423,20,15017,81788,46806,1890,579,164,462,383,16799,14499,86.3,1688
Leverkusen,21,59.9,34.0,26110,2147,7622,13652,6459,977,24498,376,604,62.3,401,16,18453,88483,45941,1868,542,160,495,405,20774,18327,88.2,1846
M'Gladbach,22,53.1,34.0,22563,2297,7639,11461,5186,818,21025,323,519,62.2,346,6,16402,91069,51486,1905,501,145,401,349,17820,15778,88.5,1602
Mainz 05,28,46.1,34.0,19324,2121,6240,9109,5182,752,17665,353,605,58.3,385,14,12544,63570,34655,1338,428,113,423,407,13950,11560,82.9,1453
Nürnberg,27,42.3,34.0,17966,2496,7416,7901,3839,556,16335,299,498,60.0,321,22,11304,58749,32039,1060,316,65,403,318,12803,10598,82.8,1140
RB Leipzig,23,49.3,34.0,21006,1699,5575,10516,6203,906,19199,365,594,61.4,385,16,13066,65786,36675,1594,518,160,516,408,15206,12507,82.3,1811
Schalke 04,32,45.4,34.0,18475,1920,6200,9238,4347,750,16873,381,619,61.6,425,20,11939,63873,36401,1375,417,115,463,410,13094,10901,83.3,1363
Stuttgart,26,45.9,34.0,19237,2198,6765,9090,4566,666,17526,272,454,59.9,296,13,11649,58759,31261,1190,361,80,434,340,13604,11309,83.1,1052
Werder Bremen,24,52.2,34.0,22245,2258,6779,10969,5881,804,20567,271,431,62.9,292,12,14821,73895,40207,1644,510,111,427,372,16970,14504,85.5,1748
Wolfsburg,25,53.3,34.0,20957,2451,7628,9788,4850,747,19270,290,477,60.8,321,21,13763,71746,39345,1350,342,116,379,390,15703,13200,84.1,1566
