Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Augsburg,27,45.6,34.0,18332,2085,6452,8426,4557,693,16651,251,419,59.9,282,16,10518,56585,29165,1011,343,87,460,368,12522,10179,81.3,1479
Bayern Munich,28,65.9,34.0,27560,1897,6645,14579,8073,1194,26139,342,529,64.7,363,15,20716,100380,53524,2428,697,181,432,388,22679,20441,90.1,1974
Dortmund,30,59.0,34.0,24361,1797,6311,13227,6413,977,22708,382,623,61.3,415,19,17035,88378,47414,2109,596,181,466,413,19183,16586,86.5,1671
Eint Frankfurt,28,48.4,34.0,19633,1981,6347,10022,4436,772,17962,317,536,59.1,339,10,11883,61001,32318,1205,332,113,481,406,14030,11441,81.5,1543
Freiburg,29,44.5,34.0,18860,2348,6984,8992,3978,580,17209,268,459,58.4,303,12,11395,58027,29900,1037,328,85,443,366,13199,11014,83.4,1314
Hamburger SV,29,49.1,34.0,19354,1927,6147,9272,5041,787,17486,330,571,57.8,368,19,11339,59241,31545,1199,358,112,512,498,13356,10768,80.6,1502
Hannover 96,26,47.1,34.0,19329,2325,7214,8851,4396,668,17540,293,503,58.3,325,5,11129,57754,31596,1127,354,101,487,398,13408,10882,81.2,1540
Hertha BSC,25,45.9,34.0,19581,2184,6517,9820,4332,546,18017,290,514,56.4,323,13,12067,59091,29604,1092,343,94,462,342,14044,11673,83.1,1294
Hoffenheim,26,51.3,34.0,21227,2250,7481,10385,4785,860,19722,312,515,60.6,336,12,13987,72197,40081,1565,490,147,457,439,16075,13769,85.7,1597
Köln,31,47.5,34.0,19697,2134,6329,9869,4647,722,18059,278,477,58.3,301,5,12155,61079,31871,1259,359,112,452,342,14198,11700,82.4,1473
Leverkusen,24,54.6,34.0,22502,2030,6713,11427,5822,946,20838,430,633,67.9,464,18,15148,81196,42593,1771,526,166,467,465,16994,14642,86.2,1814
M'Gladbach,27,52.0,34.0,22062,2274,7179,11032,5310,823,20456,383,599,63.9,420,19,14900,77134,41714,1631,451,160,415,451,16711,14496,86.7,1551
Mainz 05,27,44.3,34.0,18314,1972,6236,8862,4316,626,16711,327,585,55.9,362,17,10891,56318,30665,1144,340,98,476,441,12373,10117,81.8,1386
RB Leipzig,23,54.9,34.0,22610,1863,6265,11888,5939,920,20869,468,773,60.5,505,17,14713,74893,40916,1866,556,165,511,470,16738,14201,84.8,1744
Schalke 04,24,46.7,34.0,19745,1876,6512,10303,4271,711,18186,382,626,61.0,411,18,12775,69494,38435,1453,467,138,455,422,14064,12031,85.5,1303
Stuttgart,26,46.7,34.0,19993,2184,6714,9888,4532,622,18370,268,480,55.8,291,7,12154,60901,31924,1208,390,110,391,344,14704,12101,82.3,1304
Werder Bremen,25,47.5,34.0,19944,2056,6355,9665,5136,732,18227,274,478,57.3,307,18,12099,65920,35394,1401,439,114,384,420,14416,12071,83.7,1568
Wolfsburg,29,49.2,34.0,20226,2290,7061,10129,4271,547,18664,300,506,59.3,327,17,12990,66072,34418,1315,388,94,435,380,14909,12757,85.6,1360
