Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Atalanta,27,57.8,38.0,26745,2067,7426,12846,8423,1275,24884,492,812,60.6,523,25,19054,103379,55613,2483,835,219,530,507,20896,18178,87.0,1963
Bologna,29,44.7,38.0,20538,2335,7012,9393,5506,820,18580,321,615,52.2,350,20,12688,69761,38945,1520,470,128,441,413,14902,12116,81.3,1506
Cagliari,30,50.0,38.0,23057,2531,7267,11360,5738,773,21147,261,478,54.6,284,11,14594,68773,35003,1363,443,80,461,388,17529,14565,83.1,1625
Chievo,36,43.1,38.0,20785,2471,7540,9844,4617,581,18995,281,449,62.6,293,11,12933,62084,31865,1158,416,58,405,431,15300,12555,82.1,1403
Empoli,29,47.9,38.0,22369,2522,7249,10442,6218,926,20508,367,610,60.2,393,20,15670,82911,47267,1847,566,153,431,387,17241,14685,85.2,1594
Fiorentina,27,50.7,38.0,21846,2284,6842,10875,5638,937,19990,364,641,56.8,403,29,14354,76616,43326,1778,547,163,454,483,15839,13356,84.3,1644
Frosinone,33,41.1,38.0,19686,2533,7431,9048,4402,596,17819,276,510,54.1,305,23,12328,63171,34695,1224,391,78,384,347,14229,11525,81.0,1307
Genoa,31,43.1,38.0,19706,2176,6137,9100,5797,877,17817,363,577,62.9,392,22,12252,65286,35958,1411,517,117,386,386,13999,11178,79.8,1439
Inter,23,59.6,38.0,27443,2274,7584,13810,7807,1135,25587,351,552,63.6,366,15,19533,99283,54007,2226,694,185,437,381,22123,19563,88.4,1900
Juventus,31,56.2,38.0,25889,2153,7122,13090,7438,1045,24208,444,774,57.4,475,20,18767,95840,51995,2268,682,189,414,350,20956,18393,87.8,1680
Lazio,30,50.8,38.0,24008,2250,7089,11424,7168,1103,22343,386,694,55.6,430,18,16380,88946,50449,2069,632,189,385,379,18599,15879,85.4,1870
Milan,23,54.2,38.0,25372,2621,8291,12354,6452,931,23566,425,690,61.6,462,27,18103,91032,50025,1982,601,152,452,421,20070,17532,87.4,1477
Napoli,26,59.4,38.0,28652,2114,7296,14815,8430,1068,26920,418,707,59.1,457,25,21516,103545,59341,2620,806,198,380,351,23865,21121,88.5,2045
Parma,31,37.3,38.0,18143,2944,7395,8038,3863,584,16288,364,656,55.5,396,26,10805,55745,29610,1004,324,93,411,402,12572,9996,79.5,1141
Roma,26,51.7,38.0,23350,2391,7026,11302,6521,1087,21528,470,786,59.8,499,21,15866,79617,42452,1741,591,181,441,378,18068,15367,85.1,1940
Sampdoria,24,55.3,38.0,25381,2672,7652,12710,6590,834,23577,380,614,61.9,400,24,17606,79645,44903,1828,552,112,404,467,20108,17188,85.5,1769
Sassuolo,29,54.0,38.0,24277,2463,7982,11994,5910,778,22404,460,755,60.9,494,32,17150,85861,47763,1828,504,157,470,411,18999,16500,86.8,1504
SPAL,28,50.6,38.0,22156,2658,7881,10440,5490,723,20255,351,570,61.6,375,15,14766,82624,46471,1796,611,128,471,427,16544,14319,86.6,1357
Torino,25,51.4,38.0,21765,2205,6804,10381,6018,906,19863,437,723,60.4,456,20,13837,74187,40506,1650,560,146,472,496,15611,12929,82.8,1487
Udinese,31,42.4,38.0,19810,2442,7124,9468,4507,685,18003,400,637,62.8,423,9,12400,66578,36983,1390,452,137,446,439,13940,11534,82.7,1272
