Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Atalanta,30,54.9,38.0,26478,1943,6889,12811,8433,1304,24879,422,712,59.3,448,31,18202,94212,48906,2258,682,233,523,529,21126,18159,86.0,1936
Benevento,29,42.3,38.0,19432,2586,7411,8796,4407,776,17591,230,406,56.7,251,18,11277,62711,33333,1156,363,101,413,350,14392,11710,81.4,1050
Bologna,37,50.9,38.0,22952,2934,7788,10696,5924,868,21155,374,648,57.7,410,19,14216,78654,41287,1552,506,166,439,435,17599,14811,84.2,1340
Cagliari,32,44.6,38.0,21080,2587,7322,9905,5277,773,19234,342,554,61.7,365,20,12760,71464,39423,1415,508,101,417,421,16042,13161,82.0,1108
Crotone,31,46.4,38.0,21409,3149,8546,9861,4283,648,19661,358,605,59.2,383,22,13304,68865,36658,1248,389,104,498,447,16272,13666,84.0,1109
Fiorentina,30,46.2,38.0,21197,2300,6428,10437,5657,737,19347,321,541,59.3,342,22,13554,72472,38371,1507,474,119,420,536,16122,13589,84.3,1156
Genoa,34,44.7,38.0,22140,2851,8120,10620,4603,618,20406,276,522,52.9,292,20,13617,65965,34845,1279,391,103,483,384,16889,14015,83.0,1010
Hellas Verona,32,49.8,38.0,22053,2381,6880,10789,5670,829,20228,315,524,60.1,347,24,13052,68876,37238,1454,498,130,448,412,16539,13339,80.7,1321
Inter,25,52.4,38.0,25449,2673,8240,11969,6860,1122,23883,261,446,58.5,279,18,17109,88968,49936,1926,544,193,460,353,20894,18514,88.6,1557
Juventus,30,57.1,38.0,27094,2816,8480,13443,6945,1189,25535,412,629,65.5,428,27,18577,98436,53812,2085,625,263,425,418,22414,19971,89.1,1575
Lazio,30,53.1,38.0,24943,2784,8266,11852,6576,988,23350,317,546,58.1,349,22,16236,94929,52733,1904,622,146,476,408,19826,17098,86.2,1490
Milan,29,51.9,38.0,23883,2621,7876,11304,6269,1030,22240,430,666,64.6,450,19,15342,85592,47450,1748,553,176,469,381,18711,16046,85.8,1343
Napoli,25,55.2,38.0,26110,2488,7995,12846,6955,1089,24357,360,589,61.1,380,36,17699,92736,50918,2107,579,246,375,341,21413,18947,88.5,1439
Parma,42,47.7,38.0,22540,3003,8485,10825,4666,715,20819,353,559,63.1,380,27,13609,74056,40680,1401,394,111,456,385,17608,14930,84.8,1211
Roma,31,52.5,38.0,24293,2478,7615,12352,6029,984,22680,382,642,59.5,415,27,16574,94357,51344,2044,610,222,394,336,19637,17066,86.9,1394
Sampdoria,27,45.1,38.0,21871,2724,7681,10003,5437,776,20033,271,470,57.7,291,19,12922,66533,35516,1305,417,116,461,354,16759,13561,80.9,1228
Sassuolo,28,60.8,38.0,27927,3004,8672,14168,6909,984,26274,405,684,59.2,434,39,19491,99219,55709,2095,598,171,416,437,22987,20547,89.4,1439
Spezia,35,52.2,38.0,23486,2668,7986,11457,5514,822,21701,286,460,62.2,312,14,14741,81281,41766,1567,456,165,498,386,18564,15637,84.2,1161
Torino,29,47.2,38.0,21426,2548,7577,10211,5038,733,19574,372,641,58.0,394,15,13558,71850,38333,1370,465,94,433,384,16218,13471,83.1,980
Udinese,33,46.1,38.0,21669,2498,7499,9970,5640,839,19994,382,593,64.4,408,23,14200,75833,41725,1576,504,119,453,451,16754,14149,84.5,1184
