Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,27,38.0,75,642,211,32.9,16.89,5.55,0.11,0.35,15.6,16,2,4,66.9,63.9,0.10,+8.1,+9.1
Bologna,29,38.0,45,495,159,32.1,13.03,4.18,0.08,0.25,17.7,23,5,5,47.4,43.6,0.09,-2.4,-3.6
Cagliari,30,38.0,36,433,124,28.6,11.39,3.26,0.08,0.27,16.8,12,2,3,39.1,36.9,0.09,-3.1,-2.9
Chievo,36,38.0,25,388,112,28.9,10.21,2.95,0.05,0.19,18.8,13,4,6,35.6,31.3,0.08,-10.6,-10.3
Empoli,29,38.0,48,454,142,31.3,11.95,3.74,0.10,0.31,16.9,16,4,7,52.0,46.7,0.11,-4.0,-2.7
Fiorentina,27,38.0,45,577,175,30.3,15.18,4.61,0.07,0.23,17.8,16,5,6,52.4,47.9,0.08,-7.4,-7.9
Frosinone,33,38.0,28,436,120,27.5,11.47,3.16,0.06,0.20,18.4,24,4,5,35.5,31.7,0.07,-7.5,-7.7
Genoa,31,38.0,37,526,150,28.5,13.84,3.95,0.06,0.22,18.0,23,4,5,43.6,39.8,0.08,-6.6,-6.8
Inter,23,38.0,57,617,185,30.0,16.24,4.87,0.08,0.26,16.9,9,8,9,64.1,57.2,0.09,-7.1,-8.2
Juventus,31,38.0,66,599,193,32.2,15.76,5.08,0.10,0.31,17.8,28,7,8,58.2,52.1,0.09,+7.8,+6.9
Lazio,30,38.0,54,612,189,30.9,16.11,4.97,0.08,0.25,17.1,22,6,6,56.4,52.0,0.09,-2.4,-4.0
Milan,23,38.0,52,580,190,32.8,15.26,5.00,0.08,0.26,18.6,20,3,4,48.1,45.0,0.08,+3.9,+4.0
Napoli,26,38.0,73,702,234,33.3,18.47,6.16,0.10,0.30,18.3,22,3,4,68.1,65.4,0.09,+4.9,+4.6
Parma,31,38.0,40,353,107,30.3,9.29,2.82,0.10,0.34,18.4,18,4,5,38.6,34.8,0.10,+1.4,+1.2
Roma,26,38.0,66,624,212,34.0,16.42,5.58,0.10,0.28,16.0,11,6,6,64.3,59.8,0.10,+1.7,+0.2
Sampdoria,24,38.0,60,479,168,35.1,12.61,4.42,0.10,0.30,19.0,18,10,12,49.8,40.8,0.09,+10.2,+9.2
Sassuolo,29,38.0,50,507,150,29.6,13.34,3.95,0.09,0.30,18.9,20,5,5,46.4,42.7,0.09,+3.6,+2.3
SPAL,28,38.0,44,457,128,28.0,12.03,3.37,0.08,0.29,17.6,14,7,8,41.5,35.5,0.08,+2.5,+1.5
Torino,25,38.0,50,519,173,33.3,13.66,4.55,0.09,0.26,17.5,23,5,6,49.3,44.8,0.09,+0.7,+0.2
Udinese,31,38.0,38,461,118,25.6,12.13,3.11,0.08,0.30,19.8,12,3,8,41.5,35.2,0.08,-3.5,-0.2
