Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Angers,31,38.0,39,399,137,34.3,10.50,3.61,0.09,0.25,18.6,19,5,6,41.7,37.2,0.09,-2.7,-3.2
Bordeaux,28,38.0,41,413,138,33.4,10.87,3.63,0.09,0.27,17.1,20,4,4,41.9,38.9,0.10,-0.9,-1.9
Brest,26,38.0,47,444,157,35.4,11.68,4.13,0.10,0.28,16.7,22,3,4,47.5,44.4,0.10,-0.5,-0.4
Dijon,33,38.0,25,346,88,25.4,9.11,2.32,0.06,0.25,17.4,9,3,5,31.5,27.7,0.08,-6.5,-5.7
Lens,27,38.0,53,441,135,30.6,11.61,3.55,0.10,0.32,17.8,22,10,12,56.0,46.9,0.11,-3.0,-3.9
Lille,21,38.0,62,481,174,36.2,12.66,4.58,0.12,0.33,18.8,21,5,5,50.0,46.2,0.10,+12.0,+10.8
Lorient,27,38.0,48,421,133,31.6,11.08,3.50,0.09,0.29,19.5,30,9,10,48.8,41.6,0.10,-0.8,-2.6
Lyon,29,38.0,76,603,222,36.8,15.87,5.84,0.11,0.29,16.6,23,11,11,84.6,76.4,0.13,-8.6,-11.4
Marseille,31,38.0,53,373,131,35.1,9.82,3.45,0.13,0.37,17.4,16,4,7,47.5,42.2,0.12,+5.5,+6.8
Metz,27,38.0,42,423,129,30.5,11.13,3.39,0.08,0.27,20.0,30,7,11,41.3,33.2,0.08,+0.7,+1.8
Monaco,30,38.0,76,474,161,34.0,12.47,4.24,0.14,0.40,16.4,18,12,15,66.9,55.4,0.12,+9.1,+8.6
Montpellier,25,38.0,60,465,171,36.8,12.24,4.50,0.12,0.34,16.5,27,2,5,47.9,44.2,0.10,+12.1,+13.8
Nantes,25,38.0,47,404,122,30.2,10.63,3.21,0.10,0.32,18.2,14,8,9,48.9,42.1,0.11,-1.9,-3.1
Nice,31,38.0,49,400,141,35.3,10.53,3.71,0.11,0.30,17.0,17,7,7,46.9,41.7,0.11,+2.1,+0.3
Nîmes,33,38.0,40,383,132,34.5,10.08,3.47,0.09,0.25,18.1,17,7,8,41.4,35.8,0.09,-1.4,-2.8
Paris S-G,33,38.0,85,559,203,36.3,14.71,5.34,0.13,0.36,16.3,33,12,13,82.4,73.1,0.13,+2.6,-0.1
Reims,29,38.0,39,359,120,33.4,9.45,3.16,0.09,0.28,19.0,15,5,5,33.3,29.7,0.08,+5.7,+4.3
Rennes,32,38.0,50,509,160,31.4,13.39,4.21,0.09,0.29,17.6,32,3,3,50.0,47.7,0.09,0.0,-0.7
Saint-Étienne,40,38.0,40,436,141,32.3,11.47,3.71,0.08,0.24,17.8,17,6,9,48.2,41.4,0.10,-8.2,-7.4
Strasbourg,26,38.0,49,421,126,29.9,11.08,3.32,0.09,0.31,18.1,16,10,12,52.6,43.2,0.11,-3.6,-4.2
