Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,32,38.0,34,299,99,33.1,7.87,2.61,0.09,0.28,16.5,10,6,6,37.0,32.5,0.11,-3.0,-4.5
Athletic Club,26,38.0,40,400,130,32.5,10.53,3.42,0.08,0.25,18.6,14,8,10,38.5,31.0,0.08,+1.5,+1.0
Atlético Madrid,30,38.0,50,437,136,31.1,11.50,3.58,0.10,0.32,16.6,12,6,8,52.6,46.5,0.11,-2.6,-2.5
Barcelona,28,38.0,84,491,214,43.6,12.92,5.63,0.16,0.36,16.8,46,6,6,66.2,61.8,0.13,+17.8,+16.2
Betis,27,38.0,48,461,153,33.2,12.13,4.03,0.09,0.27,17.9,19,6,8,47.3,41.4,0.09,+0.7,+0.6
Celta Vigo,30,38.0,37,358,131,36.6,9.42,3.45,0.09,0.24,18.3,23,6,9,37.7,30.9,0.09,-0.7,+0.1
Eibar,26,38.0,38,417,135,32.4,10.97,3.55,0.07,0.23,18.3,21,7,10,41.4,33.8,0.08,-3.4,-2.8
Espanyol,31,38.0,25,400,123,30.8,10.53,3.24,0.05,0.17,18.7,19,4,4,33.0,30.1,0.08,-8.0,-9.1
Getafe,30,38.0,42,397,120,30.2,10.45,3.16,0.09,0.30,18.1,27,6,7,37.9,32.6,0.08,+4.1,+3.4
Granada,27,38.0,50,384,118,30.7,10.11,3.11,0.12,0.38,18.7,25,5,5,40.9,37.1,0.10,+9.1,+7.9
Leganés,29,38.0,30,421,141,33.5,11.08,3.71,0.06,0.19,18.9,27,3,5,37.3,33.5,0.08,-7.3,-6.5
Levante,29,38.0,45,416,128,30.8,10.95,3.37,0.10,0.31,18.6,20,5,5,41.9,38.1,0.09,+3.1,+1.9
Mallorca,32,38.0,39,409,117,28.6,10.76,3.08,0.08,0.26,18.9,22,8,10,39.2,31.7,0.08,-0.2,-0.7
Osasuna,31,38.0,46,453,142,31.3,11.92,3.74,0.08,0.27,18.3,22,8,8,44.5,38.4,0.09,+1.5,-0.4
Real Madrid,26,38.0,70,552,222,40.2,14.53,5.84,0.11,0.27,17.4,17,11,11,63.4,55.0,0.10,+6.6,+4.0
Real Sociedad,27,38.0,53,418,139,33.3,11.00,3.66,0.12,0.35,17.2,12,4,5,45.2,41.5,0.10,+7.8,+7.5
Sevilla,26,38.0,53,475,163,34.3,12.50,4.29,0.10,0.28,16.5,17,7,7,47.1,42.0,0.09,+5.9,+4.0
Valencia,28,38.0,44,326,112,34.4,8.58,2.95,0.12,0.35,17.5,18,5,8,40.3,34.3,0.11,+3.7,+4.7
Valladolid,30,38.0,31,370,120,32.4,9.74,3.16,0.08,0.23,20.0,30,3,6,35.5,30.9,0.08,-4.5,-2.9
Villarreal,25,38.0,62,474,157,33.1,12.47,4.13,0.11,0.33,17.9,15,10,11,57.0,48.7,0.10,+5.0,+3.3
