Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Amiens,26,38.0,30,393,115,29.3,10.34,3.03,0.07,0.24,19.2,21,2,3,34.6,32.3,0.08,-4.6,-4.3
Angers,24,38.0,42,453,151,33.3,11.92,3.97,0.08,0.25,17.9,19,5,10,47.7,39.8,0.09,-5.7,-2.8
Bordeaux,33,38.0,34,431,133,30.9,11.34,3.50,0.07,0.22,19.4,22,5,6,40.3,35.8,0.08,-6.3,-6.8
Caen,26,38.0,29,338,92,27.2,8.89,2.42,0.07,0.27,19.7,18,4,4,31.1,28.1,0.08,-2.1,-3.1
Dijon,26,38.0,29,451,140,31.0,11.87,3.68,0.06,0.19,18.9,24,3,4,39.5,36.4,0.08,-10.5,-10.4
Guingamp,30,38.0,28,417,111,26.6,10.97,2.92,0.06,0.21,18.0,17,5,6,39.9,35.3,0.09,-11.9,-12.3
Lille,25,38.0,66,487,182,37.4,12.82,4.79,0.11,0.30,18.6,27,11,13,58.4,48.5,0.10,+7.6,+6.5
Lyon,25,38.0,70,665,244,36.7,17.50,6.42,0.10,0.27,17.3,48,5,10,73.8,66.5,0.10,-3.8,-1.5
Marseille,24,38.0,59,532,168,31.6,14.00,4.42,0.10,0.33,17.1,19,4,5,52.6,48.8,0.09,+6.4,+6.2
Monaco,42,38.0,38,475,151,31.8,12.50,3.97,0.07,0.23,17.5,25,4,5,48.7,45.0,0.10,-10.7,-11.0
Montpellier,25,38.0,50,499,168,33.7,13.13,4.42,0.09,0.28,18.6,26,3,3,45.2,43.0,0.09,+4.8,+4.0
Nantes,33,38.0,47,521,143,27.4,13.71,3.76,0.08,0.29,19.5,23,6,8,47.7,41.6,0.08,-0.7,-0.6
Nice,30,38.0,27,447,127,28.4,11.76,3.34,0.05,0.17,18.8,30,5,9,44.2,37.4,0.08,-17.2,-15.4
Nîmes,23,38.0,55,519,175,33.7,13.66,4.61,0.10,0.29,18.7,25,4,6,47.9,43.3,0.08,+7.1,+7.7
Paris S-G,30,38.0,103,558,200,35.8,14.68,5.26,0.17,0.47,16.2,29,10,12,91.0,82.0,0.15,+12.0,+11.0
Reims,27,38.0,39,412,136,33.0,10.84,3.58,0.09,0.27,17.6,15,2,2,40.6,39.1,0.10,-1.6,-2.1
Rennes,28,38.0,53,472,148,31.4,12.42,3.89,0.10,0.31,18.0,46,7,10,52.2,44.7,0.10,+0.8,+1.3
Saint-Étienne,29,38.0,56,499,162,32.5,13.13,4.26,0.10,0.31,17.6,18,5,5,55.8,52.0,0.11,+0.2,-1.0
Strasbourg,26,38.0,57,398,145,36.4,10.47,3.82,0.13,0.36,18.2,11,5,7,42.2,36.8,0.09,+14.8,+15.2
Toulouse,29,38.0,35,421,118,28.0,11.08,3.11,0.07,0.24,17.9,17,7,11,44.0,35.7,0.09,-9.0,-7.7
