Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,26,38.0,39,419,118,28.2,11.03,3.11,0.09,0.31,17.7,15,2,3,37.3,35.0,0.08,+1.7,+2.0
Athletic Club,27,38.0,38,368,133,36.1,9.68,3.50,0.09,0.25,16.5,6,5,7,40.2,34.8,0.10,-2.2,-1.8
Atlético Madrid,29,38.0,52,439,160,36.4,11.55,4.21,0.11,0.31,17.8,21,3,4,46.0,42.9,0.10,+6.0,+6.1
Barcelona,30,38.0,88,552,243,44.0,14.53,6.39,0.14,0.33,17.3,50,8,9,73.8,67.0,0.12,+14.2,+13.0
Betis,25,38.0,43,440,154,35.0,11.58,4.05,0.09,0.25,17.9,31,5,7,48.8,43.5,0.10,-5.8,-5.5
Celta Vigo,28,38.0,52,438,157,35.8,11.53,4.13,0.10,0.29,17.5,21,7,7,44.8,39.6,0.09,+7.2,+5.4
Eibar,25,38.0,46,519,154,29.7,13.66,4.05,0.08,0.25,16.7,19,7,8,50.7,44.8,0.09,-4.7,-5.8
Espanyol,25,38.0,44,464,153,33.0,12.21,4.03,0.09,0.26,18.4,25,4,4,48.8,45.8,0.10,-4.8,-5.8
Getafe,26,38.0,47,385,123,31.9,10.13,3.24,0.11,0.33,16.6,12,6,6,44.7,40.2,0.11,+2.3,+0.8
Girona,26,38.0,37,394,140,35.5,10.37,3.68,0.08,0.22,17.5,18,6,6,38.6,34.5,0.09,-1.6,-3.5
Huesca,30,38.0,43,470,140,29.8,12.37,3.68,0.08,0.26,17.3,18,6,7,45.9,40.6,0.09,-2.9,-3.6
Leganés,29,38.0,36,407,128,31.4,10.71,3.37,0.08,0.26,16.8,13,3,5,37.4,33.8,0.08,-1.4,-0.8
Levante,26,38.0,56,425,151,35.5,11.18,3.97,0.12,0.34,18.4,29,5,7,49.9,44.5,0.11,+6.1,+6.5
Rayo Vallecano,29,38.0,40,446,144,32.3,11.74,3.79,0.08,0.24,18.8,21,5,5,40.8,37.0,0.08,-0.8,-2.0
Real Madrid,27,38.0,61,579,202,34.9,15.24,5.32,0.09,0.26,17.2,19,9,9,61.3,54.8,0.10,-0.3,-2.8
Real Sociedad,30,38.0,44,413,131,31.7,10.87,3.45,0.09,0.27,17.9,15,8,10,46.5,39.3,0.10,-2.5,-3.3
Sevilla,27,38.0,61,516,170,32.9,13.58,4.47,0.11,0.33,16.4,12,5,6,63.5,58.8,0.12,-2.5,-2.8
Valencia,25,38.0,50,464,154,33.2,12.21,4.05,0.10,0.29,16.6,18,5,7,57.3,52.0,0.11,-7.3,-7.0
Valladolid,28,38.0,31,408,128,31.4,10.74,3.37,0.07,0.21,19.1,25,4,7,40.3,35.0,0.09,-9.3,-8.0
Villarreal,26,38.0,47,481,166,34.5,12.66,4.37,0.09,0.27,16.6,7,3,6,50.7,46.6,0.10,-3.7,-2.6
