Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,28,34.0,45,358,128,35.8,10.53,3.76,0.12,0.33,18.5,24,3,5,42.1,38.2,0.11,+2.9,+3.8
Bayern Munich,29,34.0,97,611,241,39.4,17.97,7.09,0.15,0.38,15.9,13,6,6,82.3,77.8,0.13,+14.7,+13.2
Dortmund,27,34.0,84,443,186,42.0,13.03,5.47,0.19,0.44,16.2,14,2,2,59.2,57.9,0.13,+24.8,+24.1
Düsseldorf,28,34.0,36,424,114,26.9,12.47,3.35,0.08,0.28,19.3,20,4,4,33.0,30.0,0.07,+3.0,+2.0
Eint Frankfurt,27,34.0,57,492,173,35.2,14.47,5.09,0.11,0.32,16.2,17,2,2,52.5,51.0,0.11,+4.5,+4.0
Freiburg,26,34.0,46,435,140,32.2,12.79,4.12,0.09,0.29,17.4,26,5,6,41.7,37.2,0.09,+4.3,+3.8
Hertha BSC,32,34.0,46,359,120,33.4,10.56,3.53,0.12,0.36,16.9,12,3,3,40.6,38.3,0.11,+5.4,+4.7
Hoffenheim,31,34.0,52,444,154,34.7,13.06,4.53,0.11,0.32,16.6,24,3,4,49.9,46.9,0.11,+2.1,+2.1
Köln,29,34.0,50,413,147,35.6,12.15,4.32,0.12,0.33,16.2,20,2,4,47.2,44.5,0.11,+2.8,+3.5
Leverkusen,24,34.0,57,490,183,37.3,14.41,5.38,0.11,0.30,16.2,4,2,2,56.6,55.1,0.11,+0.4,-0.1
M'Gladbach,25,34.0,64,476,189,39.7,14.00,5.56,0.13,0.32,16.3,23,4,6,66.4,61.7,0.13,-2.4,-1.7
Mainz 05,25,34.0,42,446,139,31.2,13.12,4.09,0.09,0.28,18.1,12,3,3,44.3,42.2,0.10,-2.3,-3.2
Paderborn 07,27,34.0,37,424,130,30.7,12.47,3.82,0.08,0.27,19.1,20,2,4,38.4,35.4,0.09,-1.4,-0.4
RB Leipzig,29,34.0,81,539,205,38.0,15.85,6.03,0.14,0.37,16.4,23,5,5,71.0,67.4,0.13,+10.0,+8.6
Schalke 04,29,34.0,35,383,123,32.1,11.26,3.62,0.09,0.27,17.6,10,2,2,35.4,33.8,0.09,-0.4,-0.8
Union Berlin,26,34.0,38,389,133,34.2,11.44,3.91,0.09,0.26,17.8,7,4,5,38.3,34.5,0.09,-0.3,-0.5
Werder Bremen,30,34.0,40,419,135,32.2,12.32,3.97,0.09,0.27,17.7,10,3,6,41.4,36.9,0.09,-1.4,+0.1
Wolfsburg,26,34.0,48,466,155,33.3,13.71,4.56,0.09,0.28,17.5,11,4,4,47.3,44.3,0.10,+0.7,-0.3
