Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,30,34.0,50,443,158,35.7,13.03,4.65,0.10,0.28,17.9,18,5,5,43.3,39.6,0.09,+6.7,+5.4
Bayern Munich,24,34.0,86,620,246,39.7,18.24,7.24,0.13,0.34,15.5,28,3,4,80.8,77.8,0.13,+5.2,+5.2
Dortmund,23,34.0,80,444,178,40.1,13.06,5.24,0.17,0.43,16.1,17,4,4,58.4,55.4,0.13,+21.6,+20.6
Düsseldorf,24,34.0,48,405,155,38.3,11.91,4.56,0.11,0.28,17.7,15,5,7,46.7,41.4,0.10,+1.3,+1.6
Eint Frankfurt,30,34.0,60,402,146,36.3,11.82,4.29,0.14,0.38,16.0,11,4,4,55.4,52.4,0.13,+4.6,+3.6
Freiburg,28,34.0,44,414,153,37.0,12.18,4.50,0.09,0.25,18.5,15,5,6,42.2,37.6,0.09,+1.8,+1.4
Hannover 96,32,34.0,30,380,113,29.7,11.18,3.32,0.07,0.24,17.7,11,3,3,33.7,31.4,0.08,-3.7,-4.4
Hertha BSC,26,34.0,49,394,144,36.5,11.59,4.24,0.11,0.31,15.8,14,4,4,47.9,44.9,0.12,+1.1,+0.1
Hoffenheim,29,34.0,69,596,214,35.9,17.53,6.29,0.11,0.29,16.2,15,6,7,73.1,68.0,0.12,-4.1,-5.0
Leverkusen,21,34.0,68,512,188,36.7,15.06,5.53,0.13,0.34,16.7,25,4,5,62.1,58.4,0.12,+5.9,+5.6
M'Gladbach,22,34.0,53,440,146,33.2,12.94,4.29,0.11,0.34,17.2,16,4,7,51.1,45.8,0.11,+1.9,+3.2
Mainz 05,28,34.0,44,483,145,30.0,14.21,4.26,0.08,0.28,18.1,17,3,3,48.5,46.3,0.10,-4.5,-5.3
Nürnberg,27,34.0,25,346,102,29.5,10.18,3.00,0.07,0.23,19.0,18,2,6,33.0,28.5,0.09,-8.0,-5.5
RB Leipzig,23,34.0,63,487,172,35.3,14.32,5.06,0.12,0.34,16.3,18,5,7,60.8,55.5,0.12,+2.2,+2.5
Schalke 04,32,34.0,37,407,121,29.7,11.97,3.56,0.07,0.25,17.3,18,7,9,43.1,36.3,0.09,-6.1,-6.3
Stuttgart,26,34.0,32,404,118,29.2,11.88,3.47,0.08,0.26,17.3,16,1,1,39.0,38.3,0.10,-7.0,-7.3
Werder Bremen,24,34.0,57,453,171,37.7,13.32,5.03,0.12,0.31,16.7,11,4,4,49.5,46.6,0.10,+7.5,+6.4
Wolfsburg,25,34.0,59,409,157,38.4,12.03,4.62,0.13,0.34,17.2,15,5,5,46.2,42.7,0.11,+12.8,+11.3
