Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,25,38.0,57,582,196,33.7,15.32,5.16,0.09,0.27,15.8,13,5,9,67.4,60.7,0.11,-10.4,-8.7
Benevento,41,38.0,32,470,146,31.1,12.37,3.84,0.06,0.21,19.0,23,2,3,39.1,36.9,0.08,-7.1,-6.9
Bologna,30,38.0,37,353,120,34.0,9.29,3.16,0.10,0.29,18.6,31,2,3,37.1,34.9,0.10,-0.1,+0.1
Cagliari,29,38.0,33,378,115,30.4,9.95,3.03,0.08,0.25,17.2,16,4,7,40.1,34.8,0.09,-7.1,-5.8
Chievo,25,38.0,36,396,137,34.6,10.42,3.61,0.09,0.26,18.0,8,1,2,32.3,30.8,0.08,+3.7,+4.2
Crotone,29,38.0,38,385,136,35.3,10.13,3.58,0.09,0.26,19.1,11,2,3,36.2,33.8,0.09,+1.8,+2.2
Fiorentina,27,38.0,53,624,185,29.6,16.42,4.87,0.07,0.25,18.4,20,7,8,57.2,51.3,0.08,-4.2,-5.3
Genoa,33,38.0,31,421,125,29.7,11.08,3.29,0.06,0.22,16.6,11,4,5,43.3,39.5,0.10,-12.3,-12.5
Hellas Verona,32,38.0,30,362,92,25.4,9.53,2.42,0.06,0.25,19.2,20,7,7,34.5,29.4,0.08,-4.5,-6.4
Inter,22,38.0,64,584,202,34.6,15.37,5.32,0.10,0.29,17.4,13,6,7,60.8,55.6,0.10,+3.2,+2.4
Juventus,24,38.0,82,564,201,35.6,14.84,5.29,0.14,0.39,17.7,40,4,8,59.8,54.0,0.10,+22.2,+24.0
Lazio,24,38.0,86,557,208,37.3,14.66,5.47,0.14,0.37,17.3,15,9,11,63.5,55.2,0.10,+22.5,+21.8
Milan,23,38.0,54,633,224,35.4,16.66,5.89,0.08,0.22,18.7,25,4,6,54.2,49.8,0.08,+0.8,+1.2
Napoli,23,38.0,73,651,247,37.9,17.13,6.50,0.10,0.27,18.3,19,6,8,66.6,60.4,0.09,+6.4,+6.6
Roma,27,38.0,56,667,202,30.3,17.55,5.32,0.08,0.26,17.4,28,3,6,69.3,64.9,0.10,-13.3,-11.9
Sampdoria,27,38.0,56,474,164,34.6,12.47,4.32,0.10,0.30,17.8,27,7,8,51.3,45.2,0.10,+4.7,+3.8
Sassuolo,28,38.0,28,496,132,26.6,13.05,3.47,0.05,0.18,18.3,18,4,10,49.4,41.8,0.09,-21.4,-17.8
SPAL,29,38.0,37,374,109,29.1,9.84,2.87,0.09,0.29,18.4,23,5,6,37.9,33.3,0.09,-0.9,-1.3
Torino,27,38.0,53,460,154,33.5,12.11,4.05,0.12,0.34,16.7,20,0,2,47.1,45.6,0.10,+5.9,+7.4
Udinese,27,38.0,45,445,133,29.9,11.71,3.50,0.09,0.29,17.9,13,7,7,43.6,38.3,0.09,+2.4,+0.7
