Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Amiens,1,38,38,3420,38.0,52,1.37,155,109,70.3,9,11,18,11,28.9,9,6,2,1,25.0
Angers,2,38,38,3419,38.0,49,1.29,160,115,71.3,10,16,12,13,34.2,5,3,2,0,40.0
Bordeaux,2,38,38,3420,38.0,42,1.11,147,111,75.5,10,11,17,10,26.3,7,6,1,0,14.3
Caen,1,38,38,3420,38.0,54,1.42,182,134,73.6,7,12,19,9,23.7,8,6,2,0,25.0
Dijon,2,38,38,3420,38.0,60,1.58,170,113,66.5,9,7,22,6,15.8,3,3,0,0,0.0
Guingamp,2,38,38,3420,38.0,68,1.79,163,97,60.1,5,12,21,10,26.3,6,3,2,1,40.0
Lille,1,38,38,3420,38.0,33,0.87,118,91,77.1,22,9,7,15,39.5,10,6,2,2,25.0
Lyon,2,38,38,3420,38.0,47,1.24,146,107,71.2,21,9,8,10,26.3,5,5,0,0,0.0
Marseille,2,38,38,3416,38.0,52,1.37,130,88,67.7,18,7,13,12,31.6,12,10,2,0,16.7
Monaco,3,38,38,3420,38.0,57,1.50,142,92,63.4,8,12,18,8,21.1,8,5,3,0,37.5
Montpellier,2,38,38,3420,38.0,42,1.11,137,101,71.5,15,14,9,12,31.6,5,3,1,1,25.0
Nantes,3,38,38,3420,38.0,48,1.26,126,83,65.1,13,9,16,8,21.1,8,4,4,0,50.0
Nice,2,38,38,3420,38.0,35,0.92,153,122,79.1,15,11,12,16,42.1,6,3,3,0,50.0
Nîmes,1,38,38,3420,38.0,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20.0
Paris S-G,2,38,38,3420,38.0,35,0.92,124,98,75.8,29,4,5,17,44.7,6,5,1,0,16.7
Reims,1,38,38,3420,38.0,42,1.11,147,114,76.2,13,16,9,14,36.8,7,7,0,0,0.0
Rennes,2,38,38,3420,38.0,52,1.37,152,105,68.4,13,13,12,11,28.9,5,4,1,0,20.0
Saint-Étienne,2,38,38,3420,38.0,41,1.08,152,119,77.6,19,9,10,13,34.2,9,7,1,1,12.5
Strasbourg,2,38,38,3420,38.0,48,1.26,152,112,73.0,11,16,11,9,23.7,9,7,2,0,22.2
Toulouse,2,38,38,3416,38.0,57,1.50,175,123,70.3,8,14,16,9,23.7,6,5,1,0,16.7
