Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,3,34,34,3060,34.0,71,2.09,180,111,61.1,8,8,18,5,14.7,2,1,1,0,50.0
Bayern Munich,2,34,34,3060,34.0,32,0.94,71,45,62.0,24,6,4,12,35.3,6,5,0,1,0.0
Dortmund,2,34,34,3060,34.0,44,1.29,130,89,69.2,23,7,4,10,29.4,5,4,0,1,0.0
Düsseldorf,2,34,34,3060,34.0,65,1.91,173,113,66.5,13,5,16,5,14.7,7,7,0,0,0.0
Eint Frankfurt,2,34,34,3060,34.0,48,1.41,167,121,71.9,15,9,10,9,26.5,1,1,0,0,0.0
Freiburg,2,34,34,3060,34.0,61,1.79,167,112,67.7,8,12,14,5,14.7,7,7,0,0,0.0
Hannover 96,3,34,34,3060,34.0,72,2.12,220,156,70.0,5,6,23,5,14.7,7,6,1,0,14.3
Hertha BSC,2,34,34,3060,34.0,57,1.68,154,102,65.6,11,10,13,9,26.5,6,4,1,1,20.0
Hoffenheim,2,34,34,3060,34.0,52,1.53,165,120,72.7,13,12,9,5,14.7,8,7,1,0,12.5
Leverkusen,2,34,34,3060,34.0,54,1.59,137,91,63.5,18,4,12,9,26.5,6,4,2,0,33.3
M'Gladbach,1,34,34,3060,34.0,43,1.26,154,115,74.0,16,7,11,13,38.2,3,3,0,0,0.0
Mainz 05,2,34,34,3060,34.0,57,1.68,169,115,68.0,12,7,15,7,20.6,4,3,0,1,0.0
Nürnberg,2,34,34,3060,34.0,68,2.00,176,107,62.5,3,10,21,4,11.8,4,2,1,1,33.3
RB Leipzig,2,34,34,3060,34.0,30,0.88,111,88,77.5,19,9,6,16,47.1,6,5,0,1,0.0
Schalke 04,2,34,34,3057,34.0,55,1.62,157,106,68.2,8,9,17,7,20.6,6,5,1,0,16.7
Stuttgart,1,34,34,3060,34.0,70,2.06,178,114,61.8,7,7,20,6,17.6,3,2,0,1,0.0
Werder Bremen,3,34,34,3060,34.0,49,1.44,156,110,71.2,14,11,9,5,14.7,5,4,0,1,0.0
Wolfsburg,2,34,34,3060,34.0,50,1.47,162,115,71.6,16,7,11,9,26.5,6,4,1,1,20.0
