Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Angers,1,38,38,3420,38.0,58,1.53,134,82,61.9,12,8,18,9,23.7,8,7,1,0,12.5
Bordeaux,1,38,38,3420,38.0,57,1.50,148,98,66.2,13,6,19,14,36.8,8,7,1,0,12.5
Brest,2,38,38,3420,38.0,66,1.74,169,111,66.3,11,8,19,7,18.4,11,9,1,1,10.0
Dijon,3,38,38,3420,38.0,73,1.92,181,115,63.5,4,9,25,6,15.8,10,7,2,1,22.2
Lens,2,38,38,3420,38.0,54,1.42,134,92,67.9,15,12,11,8,21.1,12,11,1,0,8.3
Lille,1,38,38,3420,38.0,23,0.61,107,86,79.4,24,11,3,21,55.3,2,1,1,0,50.0
Lorient,2,38,38,3420,38.0,69,1.82,159,102,62.9,11,9,18,5,13.2,12,10,1,1,9.1
Lyon,1,38,38,3420,38.0,43,1.13,130,94,70.8,22,10,6,11,28.9,8,5,2,1,28.6
Marseille,2,38,38,3420,38.0,47,1.24,131,87,66.4,16,12,10,8,21.1,3,3,0,0,0.0
Metz,2,38,38,3419,38.0,49,1.29,137,100,73.0,12,11,15,8,21.1,13,12,1,0,7.7
Monaco,3,38,38,3420,38.0,42,1.11,94,58,60.6,24,6,8,15,39.5,5,5,0,0,0.0
Montpellier,2,38,38,3418,38.0,62,1.63,187,136,73.3,14,12,12,5,13.2,12,12,0,0,0.0
Nantes,1,40,40,3420,38.0,55,1.45,158,113,71.5,9,13,16,5,12.5,13,10,2,1,16.7
Nice,1,38,38,3420,38.0,53,1.39,167,119,72.5,15,7,16,9,23.7,7,7,0,0,0.0
Nîmes,1,38,38,3420,38.0,71,1.87,192,125,66.1,9,8,21,8,21.1,10,6,3,1,33.3
Paris S-G,3,38,38,3420,38.0,28,0.74,128,101,78.9,26,4,8,19,50.0,2,1,1,0,50.0
Reims,2,38,38,3420,38.0,50,1.32,162,118,72.2,9,15,14,10,26.3,8,5,2,1,28.6
Rennes,3,38,38,3420,38.0,40,1.05,128,90,71.1,16,10,12,10,26.3,4,3,0,1,0.0
Saint-Étienne,3,38,38,3420,38.0,54,1.42,128,79,62.5,12,10,16,12,31.6,9,6,1,2,14.3
Strasbourg,3,38,38,3420,38.0,58,1.53,147,95,64.6,11,9,18,10,26.3,8,6,1,1,14.3
